Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Tiago Pinto,-,4,0.8,0.9,1.2,-,0.4,0.9
Issam Chebake,-,2,0.4,0.9,1.4,0.1,0.3,1.2
Hakan Arslan,7,2,0.5,0.2,1.5,0.1,0.5,0.6
Abdulsamed Damlu,-,-,-,0.1,0.2,-,-,-
Yusuf Erdogan,9,3,0.8,0.9,1.1,0.2,1.4,2.2
Ugur Ciftçi,-,3,0.6,0.7,0.7,0.1,0.6,1.2
Ali Sasal Vural,-,-,0.1,-,0.2,-,-,-
Fernando Muslera,-,-,-,-,0.1,-,-,-
Munir Mohamedi,-,-,-,-,0.2,-,-,0.1
Kristijan Bistrovic,-,4,1.1,1.1,0.9,-,0.8,1.5
Florent Hadergjonaj,2,2,0.9,0.5,0.8,0.1,0.1,0.4
Diego Angelo,3,1,0.3,0.1,0.4,-,0.2,0.1
Zymer Bytyqi,2,5,1.9,0.6,0.2,0.2,0.5,1.3
Sokol Cikalleshi,8,3,0.6,1,1.4,0.5,2.1,2.5
Ismail Aissati,-,-,1.1,1.6,0.5,-,0.3,0.6
Arda Turan,4,2,0.8,1,0.9,0.3,0.8,1.2
Rubén Ribeiro,1,1,0.7,0.8,2.4,-,0.9,1.2
Abdülkadir Ömür,2,3,1,1.4,1.4,0.1,1.3,2
Andrea Bertolacci,2,3,0.7,1,2,-,0.8,1.5
Naldo,2,-,-,0.2,0.3,-,-,0.3
Martin Linnes,-,1,0.7,0.8,1,-,0.5,1.5
Altay Bayindir,-,-,-,-,0.4,-,-,0.1
Metehan Mert,-,1,0.2,-,0.6,0.2,-,0.6
Yassine Meriah,1,-,0.1,0.4,0.5,0.1,0.2,0.8
Adolphe Teikeu,-,-,-,0.2,0.3,-,0.2,0.6
Loret Sadiku,-,-,0.2,0.4,0.4,-,0.4,0.9
Ajdin Hasic,2,-,0.3,1.3,0.4,-,0.8,1
Ozgur Sert,1,1,0.3,0.7,1,-,-,0.7
Wallace,-,-,0.1,0.2,0.3,-,-,0.6
Cherif Ndiaye,10,1,0.6,0.7,2.1,0.4,1.4,2.6
Mickael Tirpan,1,-,0.4,0.6,0.8,-,0.8,0.6
Abdulkadir Parmak,-,-,0.3,1.4,1.7,-,0.9,1.4
Berkan Emir,1,5,1.1,0.5,1.3,-,0.5,0.9
Dusko Tosic,-,-,0.1,0.3,0.8,-,0.2,0.8
Mame Thiam,6,2,0.6,0.4,0.5,0.4,1,1.5
Fousseni Diabaté,3,3,0.7,1.6,1.1,-,0.8,2.1
Badou Ndiaye,3,2,1.1,0.7,1.9,0.2,1.5,1.7
Deniz Türüç,2,2,1.4,1,1.2,0.1,1.5,1.6
Obinna Nwobodo,-,2,0.4,0.6,0.5,-,0.6,1.1
Robin Yalcin,1,1,0.5,0.5,0.6,-,0.2,0.7
Roderick Miranda,-,-,0.2,-,0.3,0.1,0.1,0.5
Nuri Sahin,-,4,0.9,0.3,0.5,-,0.3,0.4
Mbwana Samatta,5,-,0.6,0.9,0.7,0.1,0.8,1.3
Emre Akbaba,5,2,0.7,0.6,0.8,0.1,0.6,1.6
Nejc Skubic,2,5,1.2,0.4,1.3,0.3,0.3,0.6
Bunyamin Balci,2,3,0.5,0.4,1.1,0.2,0.5,1.3
Ibrahim Akdag,2,-,0.4,0.8,1.4,-,0.7,1.5
Bernard Mensah,4,1,0.9,1.6,1.4,0.1,0.8,1.5
Ertac Özbir,-,-,-,0.1,0.1,-,-,-
Adem Ljajic,2,3,1.5,0.7,0.5,0.1,0.5,0.7
Sandro Lima,2,2,0.6,1.1,2.1,0.5,1.1,2.9
Nacer Chadli,3,3,0.9,0.6,0.3,0.3,0.4,1.3
Alpaslan Ozturk,3,-,0.2,0.2,0.8,0.1,0.1,0.5
Brahim Darri,-,1,1.8,1.5,0.7,0.2,0.3,1.3
Mauricio Lemos,-,-,-,0.5,0.6,-,0.6,0.3
Zafer Görgen,-,-,-,-,-,-,-,0.5
Endri Cekici,2,1,1.3,0.9,1.7,0.3,1,1.5
Erdogan Yesilyurt,3,5,1,0.7,0.9,0.2,0.3,1.4
Teenage Hadebe,2,1,0.1,0.1,0.6,-,0.1,0.3
Ogulcan Çaglayan,4,1,0.8,0.6,0.3,0.3,0.6,1.8
Mykola Morozyuk,-,2,0.9,0.4,0.8,0.1,0.4,1
Eray Birnican,-,-,-,0.2,0.2,-,-,-
Cenk Ahmet Alkilic,3,4,1.3,1.2,1.5,0.1,1.1,2
Atakan Ridvan Çankaya,1,-,0.1,0.1,1.8,-,0.4,0.7
Alexandros Katranis,1,3,0.8,0.1,0.6,-,0.1,0.5
Hüseyin Türkmen,-,1,0.1,-,0.8,-,0.3,0.7
Recep Niyaz,5,2,1,0.8,0.6,-,0.9,0.9
Aatif Chahechouhe,-,-,0.6,2,0.8,-,0.8,1.6
Fehmi Mert Günok,-,-,-,-,-,-,-,-
Zvonimir Sarlija,1,-,0.1,0.3,1.6,-,0.3,0.5
Irfan Can Egribayat,-,-,-,0.1,0.1,-,0.1,0.1
Nouha Dicko,4,-,0.5,1.1,1,0.7,1.4,2.4
Yusuf Abdioglu,-,-,0.1,0.3,1,-,0.3,0.3
Adis Jahovic,6,1,0.4,0.1,0.7,0.4,0.7,1.8
Abdurrahim Dursun,-,-,-,1,1.5,0.5,1,1.5
Milan Skoda,9,2,0.4,0.4,0.8,0.3,0.7,1.4
Boli Bolingoli-Mbombo,-,-,0.3,0.3,0.3,0.1,0.5,1.3
Hakan Özmert,3,2,0.6,1,1.5,-,0.5,0.9
Bangaly-Fodé Koita,4,-,0.7,0.9,1.5,0.6,0.8,2.3
Oussama Haddadi,-,1,1.2,0.6,0.6,0.3,0.9,1.1
Ramazan Civelek,-,1,0.7,1.1,0.8,-,0.4,0.9
Eric Lichaj,-,-,0.2,0.2,0.5,-,0.4,0.2
Amedej Vetrih,1,-,0.3,0.1,0.6,0.1,0.2,0.5
Jimmy Durmaz,3,3,0.9,1,0.7,0.1,0.5,1
Mesut Çaytemel,-,3,0.8,0.4,0.3,-,0.3,0.6
Pawel Olkowski,-,1,0.6,0.5,0.7,-,0.6,1.3
Kubilay Kanatsizkus,5,1,0.3,0.4,0.9,0.2,0.9,1.6
