Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Facundo Quignón,-,-,0.2,0.7,0.8,-,0.9,1.1
Tomás Pochettino,1,2,1.9,1.3,0.7,0.1,1.1,1.9
Cristian Vega,-,1,0.5,1,1.1,0.1,0.9,1
Lucas Rodríguez,-,-,0.4,2.7,3.1,-,1.9,2.6
Alejandro Donatti,-,2,0.2,0.2,0.5,-,-,0.3
Víctor Salazar,-,2,0.8,1.4,0.4,-,0.6,2
Alexander Barboza,1,-,0.1,0.2,0.6,0.1,0.3,0.3
Julio Buffarini,-,-,0.5,1.4,0.6,-,0.9,1.2
Leandro Contín,4,3,0.7,0.8,0.9,-,1.3,3.1
Santiago García,6,2,0.9,0.8,1.3,0.6,0.8,2.9
Wilder Cartagena,1,-,0.5,0.5,0.5,-,0.3,0.8
Christian Chimino,2,-,0.7,0.5,0.5,-,0.2,0.8
Maximiliano Lovera,1,1,0.5,2.5,1,-,1.3,2.3
Eric Ramírez,3,-,0.4,0.5,1.6,0.1,0.4,1
Claudio Corvalán,-,2,0.5,0.2,1.4,0.4,0.1,0.7
Mauro Pittón,-,2,0.7,0.3,0.3,-,0.3,1.3
Manuel Castro,1,-,1,1.6,1.9,0.1,0.7,0.9
Lucas Hoyos,-,1,0.1,0.2,0.4,-,-,-
Santiago Sosa,-,-,-,-,-,-,0.5,1.5
Lautaro Valenti,3,-,0.1,0.4,0.8,-,0.3,0.5
Iván Marcone,-,-,0.4,0.4,1.2,-,0.4,0.7
Leonel Miranda,1,-,0.3,1.3,1.3,-,0.7,1.9
Mauro Zárate,2,2,0.8,1.7,1.3,0.1,0.5,1.9
Jonathan Cabral,-,-,0.3,0.3,0.6,-,0.3,0.6
Silvio Romero,12,-,1,0.8,1,0.9,1.1,1.8
Franco Fragapane,3,3,2.1,1.8,1.7,0.1,1.3,1.5
Lisandro Alzugaray,4,2,1.2,2.2,0.9,0.1,0.9,1.4
Maximiliano Coronel,1,-,0.2,-,0.4,-,-,0.4
Santiago Hezze,-,-,1,0.3,1.3,-,1,1.3
Juan Lucero,5,1,0.7,0.3,1.6,1.1,0.6,1.8
Mauro Formica,3,-,1.1,0.9,1.4,-,1.1,1.9
Rafael Delgado,-,-,1,1.3,1.3,-,1,0.7
Jesús Soraire,-,3,0.9,1.3,1.2,-,1.3,1.6
Agustín Urzi,-,1,1.6,1.9,1.9,-,1.4,4.4
Gabriel Carrasco,-,1,0.9,0.1,0.7,-,0.1,0.7
Marcos Rojo,-,1,1,1,-,-,2,1
Fernando Pellegrino,-,-,-,-,0.3,-,-,-
Harrinson Mancilla,-,1,0.7,0.6,0.7,-,0.6,0.4
Adolfo Gaich,5,-,0.5,1.1,0.5,0.5,0.8,2.7
Emiliano Méndez,2,2,0.3,0.3,0.6,-,0.3,0.7
Oliver Benítez,-,-,0.3,0.7,1.1,-,0.3,1
Diego González,2,-,0.1,0.7,0.7,-,1.1,1.4
Jorge Broun,-,-,-,-,-,-,-,-
Daniel Sappa,-,-,-,-,0.1,-,-,-
Nahuel Tenaglia,2,-,0.4,1.2,0.9,-,0.4,0.8
Mateo Carabajal,-,-,0.1,0.1,1,-,-,0.4
Jonathan Bay,1,-,0.4,1.1,1.1,-,0.4,1
Domingo Blanco,-,-,0.7,2.6,2.6,-,1.6,2.3
Nery Domínguez,1,-,0.4,0.6,0.5,-,0.4,0.2
Walter Bou,5,1,1.4,1.3,0.7,0.8,1.8,2.9
Federico Gino,4,1,0.4,0.5,1.1,-,0.6,1.7
Gonzalo Bettini,-,1,0.6,0.7,0.4,0.1,0.5,0.8
Alan Franco,-,-,0.2,0.4,0.7,0.2,0.4,0.9
Cesar Ibañez,-,-,0.3,0.8,1.7,-,1.1,1
Fabio Pereyra,1,-,-,0.5,0.2,0.1,0.1,0.2
Ignacio Piatti,-,1,0.7,2.3,0.3,-,1.3,1
Lucas Romero,-,-,0.8,1.1,1.4,-,0.8,0.8
Thiago Almada,4,-,1.3,1.7,0.9,-,1.6,1.6
David Barbona,-,2,1.8,1.6,0.5,0.1,0.9,1.6
Marcos Senesi,-,-,0.8,0.3,-,-,-,-
Diego Novaretti,-,-,0.1,0.1,0.6,-,-,0.6
Facundo Almada,1,-,-,0.3,-,-,-,0.7
Lucas Chaves,-,-,0.1,-,0.2,-,-,-
Gastón Togni,-,-,1.4,2.4,0.6,0.2,0.4,1
Jonathan Sandoval,-,1,0.4,0.4,1.5,0.1,0.6,1.5
Fernando Torrent,1,3,1.1,1.3,1.1,-,0.5,1.3
Pablo Pérez,-,3,1.2,1.4,1.4,-,1.5,2.8
Jonathan Schunke,1,-,-,-,0.5,-,0.1,0.2
Gino Perruzzi,1,-,0.9,0.8,1.1,-,0.4,1.3
Diego García,1,-,1.1,1.9,1.8,0.1,0.9,2.6
Luciano Abecasis,-,-,-,1.5,-,-,-,2.5
Tomás Guidara,-,1,0.4,1.1,1.4,-,1.4,2.4
Agustín Bouzat,-,-,0.8,1.9,1.5,0.2,0.9,2.5
Mauricio Arboleda,-,-,-,-,0.2,-,-,-
Marco Ruben,4,-,0.7,0.3,1.6,1.1,1.6,3
Matías Escudero,-,-,-,0.2,0.8,-,0.1,0.4
Franco Soldano,2,2,0.6,0.2,0.9,0.3,0.4,1.8
Daniele De Rossi,-,-,0.4,0.4,0.6,-,-,0.8
Manuel Guanini,1,-,0.2,0.3,0.3,0.2,0.1,0.3
Gerónimo Poblete,-,-,0.1,0.7,1.8,-,0.9,1
Marcelo Herrera,1,3,0.7,1.1,0.8,0.1,1,1.6
Francis Mac Allister,1,1,0.8,0.5,1,-,0.7,1.5
Luis Unsain,-,-,-,-,0.1,-,-,-
Alexis Soto,-,1,0.5,1.3,0.7,0.1,0.7,1.1
Cecilio Domínguez,2,2,1.2,1.5,1,0.2,1,1.3
Andrés Roa,2,-,1.1,2.2,1.7,0.1,1.2,2
Matías Esquivel,-,-,0.7,2,1,-,1.6,1.7
Eugenio Mena,-,-,0.8,0.4,1.1,0.4,0.6,1.5
Lucas Barrios,1,1,0.9,0.1,1,0.6,1,2.6
Jonathan Bottinelli,-,-,0.3,0.2,0.2,0.1,0.4,0.4
Saúl Salcedo,-,1,0.2,0.6,0.6,0.1,0.2,0.8
Raúl Loaiza,-,-,0.2,0.6,0.6,-,0.4,0.9
Marcelo Herrera,-,-,-,0.4,0.4,0.2,-,0.2
Leonel Di Plácido,-,-,0.5,1.2,1,-,0.9,1.3
Leandro Díaz,5,1,0.9,1.1,1.2,1.2,2.4,3
Gianluca Ferrari,-,-,-,-,0.5,-,0.2,1.2
Marcelo Díaz,1,-,0.4,0.6,0.9,-,0.5,0.7
Matías Rojas,1,3,1,1.4,0.8,-,0.8,1.3
Fabricio Bustos,-,3,0.7,1.1,1.2,-,0.6,1.1
Marcos Sánchez,1,-,0.6,1,0.4,-,0.4,0.8
Luis Abram,-,-,0.1,0.1,0.7,-,0.1,0.3
Nicolás Capaldo,-,1,0.8,0.7,1.4,0.1,1.2,2
Jonathan Galván,-,-,-,-,0.3,-,-,0.3
Santiago Gentiletti,-,-,0.2,0.3,0.5,-,0.2,0.3
Juan Cavallaro,1,1,1.4,1.5,1.5,-,1.4,1.1
Maxi Rodríguez,6,1,1.3,0.9,1.7,0.4,1.3,1.7
Agustín Almendra,1,-,0.5,0.5,1.5,-,0.3,1.2
Juan Cruz Komar,-,-,0.2,-,0.2,-,0.1,0.2
Matías Ibáñez,-,-,-,-,0.1,-,-,-
Ezequiel Bullaude,-,-,0.5,4,1,-,0.5,2.5
Nicolás Tripicchio,1,1,0.5,1,1,-,1.2,1.8
Guido Herrera,-,-,-,-,-,-,-,-
Matías Nani,-,-,0.2,0.1,0.8,0.1,0.2,0.9
Maximiliano Romero,7,3,0.6,0.5,0.5,0.4,1,2.2
Fernando Belluschi,1,2,1.2,1.2,1.6,0.1,1.7,1.4
Alejandro Sánchez,-,-,0.1,-,0.1,-,-,0.2
Lucas Licht,-,-,0.5,0.2,0.8,0.1,0.2,0.5
