Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Tolgay Arslan,3,-,0.3,1.1,1.5,-,0.7,0.7
Andreas Cornelius,1,4,0.8,0.4,1.7,0.5,1.2,1.9
Adrien Tameze,1,-,0.4,1.1,0.9,0.1,0.8,1.2
Giorgio Chiellini,-,1,0.1,0.1,0.9,0.1,0.1,0.3
Alex Meret,-,-,-,-,-,-,-,-
Charalampos Lykogiannis,4,2,0.5,0.4,0.8,0.1,0.3,1.1
Lucas Martínez Quarta,1,-,0.3,0.7,0.5,-,0.3,0.7
Thomas Strakosha,-,-,-,-,0.2,-,-,-
Mario Pasalic,6,2,0.7,0.4,0.4,-,0.7,1
Mário Rui,-,2,1.1,0.5,1.5,0.1,0.1,0.9
Julian Chabot,1,1,0.2,0.4,1.3,-,0.2,0.4
Maya Yoshida,1,2,0.2,0.2,0.6,-,-,0.4
Luca Cigarini,-,-,1.1,0.6,1.3,-,0.7,0.7
Arthur,1,-,0.8,0.9,1,-,0.5,0.7
Lorenzo Tonelli,1,-,-,0.2,1.1,-,0.2,0.2
Rodrigo Becão,1,-,0.2,0.1,1.3,-,0.3,0.3
Adam Ounas,-,-,1,2.7,1.3,0.1,1.4,1.6
Manuel Lazzari,2,5,0.9,1,1.7,0.1,0.7,1.3
Kastriot Dermaku,-,-,-,-,1,-,-,-
Samir Handanovic,-,-,-,-,0.1,-,-,-
Tommaso Augello,1,3,0.8,0.8,0.7,0.1,0.4,1.2
Kamil Glik,2,1,0.1,0.1,0.6,-,0.1,0.4
Stefano Sturaro,1,-,0.7,0.8,2,0.3,1.3,2.7
Kostas Manolas,-,-,0.2,0.1,0.4,-,-,-
Emmanuel Gyasi,4,6,0.7,1.1,1.4,0.8,1.2,2
Gervinho,5,1,1,2.1,0.4,0.7,0.9,1.7
Tommaso Pobega,6,-,0.4,0.2,0.9,-,0.3,0.9
Rolando Mandragora,3,1,0.9,0.6,1.8,0.1,0.4,1.2
Antonio Mirante,-,-,-,-,0.1,-,-,-
Graziano Pellè,1,2,0.9,0.1,1,0.3,0.7,1.2
Riccardo Sottil,2,1,0.8,1.9,1.7,-,1,1.4
Giacomo Raspadori,6,-,1,0.6,0.9,0.1,0.9,1.3
Brahim Díaz,4,3,0.7,0.9,1.1,-,0.9,1.6
Mikkel Damsgaard,2,4,0.7,1.5,0.8,0.1,0.8,1.5
Arturo Vidal,1,1,0.4,0.1,0.7,-,0.3,0.7
Nicola Sansone,2,2,1.2,1.3,1.5,0.1,1.1,1.4
Yann Karamoh,2,1,0.6,1.6,0.5,0.3,0.9,1.8
Cristiano Biraghi,1,5,1.4,0.4,0.7,0.1,0.1,0.9
Pierre Kalulu,1,1,0.5,0.2,0.2,-,0.1,0.3
