Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Jordan Rossiter,1,-,0.3,0.1,1.2,-,0.4,0.8
Ellis Harrison,4,-,1,0.2,1.6,0.3,1.4,1.2
Anthony Forde,1,5,1.5,0.3,0.3,0.1,0.5,0.7
Joshua Earl,-,1,0.3,1.6,0.8,-,0.5,0.6
Jack Stevens,-,1,-,-,0.1,-,-,-
Myles Kenlock,-,3,0.6,0.9,0.3,-,1.1,1.3
Stephen Ward,-,2,0.6,0.1,0.9,0.2,0.2,1
Thomas O'Connor,-,1,0.6,0.2,0.9,-,0.4,0.8
Christy Pym,-,-,0.1,-,0.1,-,-,-
Ben Garratt,-,-,-,-,0.2,-,-,-
Danny Mayor,1,3,1.4,1.5,1.1,0.1,1.9,1.2
Charles Vernam,2,1,0.8,1.6,1.6,0.1,1.3,1.7
Harvey Rodgers,-,1,0.8,0.2,0.9,-,0.3,0.5
Steve Arnold,-,-,-,-,0.3,-,-,-
Jed Ward,-,-,-,-,-,-,-,-
Tomas Holy,-,-,-,0.1,0.1,-,-,0.1
Michael Jacobs,2,3,1.3,0.5,1,-,0.9,1.3
Seamus Conneely,1,1,0.6,0.1,0.9,-,0.3,0.5
Funso Ojo,-,-,0.5,0.4,1,-,1,0.9
Regan Poole,1,1,0.5,0.6,0.7,0.2,0.7,1.2
Joseph Maguire,-,-,0.8,0.4,0.8,-,0.2,1
Lee Brown,2,3,1.3,0.3,0.1,0.1,0.3,0.6
Matt Butcher,2,4,1,0.7,0.6,-,1.3,1.3
Zain Westbrooke,2,6,2,0.4,0.4,0.1,0.8,0.8
Ryan Longman,8,2,1,0.9,0.3,0.5,0.9,2
Brett Pitman,11,-,0.5,0.1,0.9,0.3,0.4,1
Jack Bonham,-,-,0.1,-,0.2,-,-,-
Brett McGavin,-,-,1.6,0.4,1,-,1.2,0.4
George Williams,-,1,1,0.4,0.9,-,0.5,0.3
Tom Lowery,3,8,1.2,0.8,1.4,-,1.5,1.6
Lee Burge,-,-,-,-,0.1,-,-,-
Nikola Tzanev,-,-,-,-,0.1,-,-,-
Jack Payne,4,6,1.1,1.1,1.6,-,1.2,1.5
Louis Reed,-,2,0.6,0.2,0.1,-,0.5,0.6
Shaun McWilliams,-,-,0.3,0.3,1.6,-,0.5,1.2
Oliver Lancashire,1,-,-,0.1,0.9,-,-,-
Alex Rodman,1,1,0.9,0.6,0.9,0.3,0.3,0.8
Olamide Shodipo,11,2,0.6,0.6,1.5,0.1,1.3,1.5
Joe Powell,6,7,1.1,0.4,1.1,0.1,1.4,1.5
Matthew Smith,2,3,1.6,0.5,0.8,-,1.5,1.7
Sean Goss,3,1,0.4,0.5,1.3,0.1,0.5,1.2
Craig MacGillivray,-,-,0.1,-,0.2,-,-,-
Brad Halliday,1,-,0.9,0.4,1.5,0.1,1.1,1
Mickel Miller,-,2,0.8,0.7,1,0.2,1,2
Jack Rudoni,4,3,0.9,0.9,0.6,0.1,0.8,1.7
Alan Sheehan,1,-,0.6,0.1,1.1,-,0.2,0.2
Ro-Shaun Williams,-,-,0.2,0.2,1,-,0.2,0.4
Diallang Jaiyesimi,1,2,0.7,0.6,0.9,0.2,0.8,1.7
Ollie Younger,-,-,-,-,1,-,-,2
Ellery Balcombe,-,-,-,0.1,0.3,-,0.1,-
Omar Beckles,1,1,0.1,0.2,1,0.1,0.2,0.3
Josh Parker,-,1,1,0.7,1.5,0.2,1,1
Matthew Smith,1,3,1.1,0.6,1,-,0.9,1.5
Kevin Stewart,-,-,0.3,0.6,1.3,-,0.6,1.6
Sam Nicholson,6,3,0.7,1.1,1.8,0.3,1.8,1.8
Sean Roughan,-,-,0.3,0.8,0.7,0.2,0.2,0.8
Paddy Madden,7,4,1,0.2,0.4,0.6,0.8,1
Michael Mancienne,-,-,0.2,0.1,0.4,-,0.1,0.5
Colin Daniel,1,3,0.7,0.3,0.4,-,0.3,0.7
Danny Rose,4,2,0.4,0.1,1.6,0.6,0.9,1
Marlon Fossey,-,-,0.4,0.6,0.4,-,0.7,1.7
David Kasumu,-,1,0.4,0.6,2.5,-,1.3,1.2
Kane Vincent-Young,-,-,0.6,0.7,0.7,-,1.3,1.7
James Jones,1,4,0.8,0.4,1.1,0.1,0.9,1.2
Ryan Watson,8,-,0.4,0.6,1.1,-,1,1.6
Kyle Joseph,5,1,0.3,1,0.5,0.5,1.5,2.9
Conor Washington,11,2,0.6,0.7,0.7,0.3,0.9,1.6
Jay Lynch,-,-,0.1,-,0.1,-,-,-
Jordan Garrick,2,2,0.9,1.2,0.9,0.3,1.8,2.3
Aiden O'Brien,4,1,0.5,0.5,0.8,0.3,0.7,1.3
Tom Broadbent,1,3,0.3,0.2,0.6,-,0.2,0.7
Max Ehmer,1,1,0.5,0.1,0.9,-,0.1,0.3
Grant Ward,1,2,0.4,0.5,0.7,-,0.8,1.1
Harry Anderson,3,5,0.4,0.6,0.9,0.2,1,1.4
Matt Ingram,-,-,0.1,-,0.1,-,-,0.1
Harrison Burrows,1,4,1,0.3,0.6,0.3,0.7,1.1
Niall Canavan,1,-,0.1,0.1,0.5,-,-,0.2
Matthew Palmer,1,-,1.3,0.4,1,-,1.2,1.1
Archie Matthews,-,-,-,-,-,-,-,-
Michael Cooper,-,-,-,-,0.2,-,-,-
Oliver Finney,7,2,0.7,0.2,0.8,0.1,1,1.7
Curtis Main,2,2,0.7,0.2,1.6,0.5,1.3,1.8
Jordan Lawrence-Gabriel,-,1,0.7,0.2,1.4,-,0.7,0.8
Brad Walker,1,1,0.3,0.5,0.3,-,0.3,0.5
Gerard Garner,3,1,0.8,0.5,0.7,0.1,1.1,1.8
Pablo Martinez,-,-,0.3,0.3,0.3,-,0.5,1.1
Richard Keogh,-,-,0.1,0.3,0.7,-,0.5,0.2
Joshua Daniels,2,-,0.7,0.3,0.7,0.1,0.5,0.7
Josh Grant,1,-,0.5,0.5,0.7,-,0.9,1.5
Bryn Morris,-,-,0.7,0.3,0.5,-,1,1
Luke Robinson,-,1,0.5,0.2,0.7,-,0.6,1
Warren O'Hora,2,1,0.4,0.2,0.6,-,0.4,0.4
Marc Pugh,1,3,1.1,0.3,0.3,0.5,1.4,1.3
Fejiri Okenabirhie,11,3,0.5,0.2,0.6,0.6,1.2,2
Adam Matthews,-,2,0.4,0.3,0.4,-,0.5,0.5
Gavin Whyte,4,-,0.6,0.5,0.8,0.1,0.3,1.3
Ben Heneghan,2,1,0.2,-,0.2,-,-,0.2
David Cornell,-,-,-,-,0.1,-,-,-
Jake Vokins,-,-,0.5,0.8,0.5,-,0.3,-
Joe Walsh,-,-,-,-,-,-,-,-
Gabriel Osho,1,-,0.1,0.5,1,-,0.5,0.8
Luke Jephcott,16,-,0.7,-,1.1,0.2,0.9,1.3
Demetri Mitchell,1,3,0.8,0.9,1,0.1,0.8,1.1
Cian Harries,-,1,0.4,0.2,0.3,-,0.3,0.3
Olly Lee,5,2,0.5,0.3,0.4,0.3,1.3,1.9
Steve Seddon,1,3,0.9,0.3,0.8,0.2,0.4,1
Josef Bursik,-,-,-,-,0.1,-,-,-
Conor Shaughnessy,1,3,0.5,0.7,0.4,0.2,0.6,1.6
