Name,Drb,Fouled,Off,Disp,UnsTch,League
Callum Hudson-Odoi,0.7,0.3,0.2,0.7,0.6,Premier_league
Tariq Lamptey,1.2,2.5,0.1,0.5,1.9,Premier_league
David McGoldrick,1.3,0.9,0.5,1.3,2.5,Premier_league
Mason Greenwood,1.2,0.6,0.1,0.9,1.1,Premier_league
Martin Ødegaard,0.9,0.6,0.1,0.8,1,Premier_league
Sergio Reguilón,0.8,0.7,-,0.6,1.3,Premier_league
Conor Townsend,0.4,1,0.1,0.3,1.3,Premier_league
Ozan Kabak,0.3,0.3,-,0.3,0.4,Premier_league
Matthew Lowton,0.8,0.4,-,0.3,1.1,Premier_league
Pablo Marí,0.3,0.4,-,-,0.1,Premier_league
Robin Olsen,-,0.1,-,-,-,Premier_league
David Button,-,-,-,-,-,Premier_league
Fabián Balbuena,0.1,0.2,-,-,0.2,Premier_league
Rhys Williams,-,0.2,-,-,-,Premier_league
Hakim Ziyech,0.8,0.7,0.2,0.7,1.3,Premier_league
Jan Bednarek,0.1,0.4,-,0.1,0.3,Premier_league
Japhet Tanganga,1.5,1.2,-,0.8,0.3,Premier_league
Tyrick Mitchell,0.6,0.6,-,0.6,0.8,Premier_league
Ethan Ampadu,0.5,1,-,0.2,0.6,Premier_league
Tammy Abraham,0.3,0.5,0.2,0.3,1.5,Premier_league
Fraser Forster,-,0.4,-,-,-,Premier_league
Victor Lindelöf,0.1,0.3,-,0.1,0.3,Premier_league
Kenny Tete,0.5,0.8,0.1,0.4,0.9,Premier_league
Chris Basham,0.7,0.9,0.2,0.6,1,Premier_league
Héctor Bellerín,0.5,0.3,-,0.2,1,Premier_league
Daniel Podence,1.6,1.1,0.2,1,1.5,Premier_league
Kieran Tierney,0.6,0.7,-,0.5,0.9,Premier_league
Mbaye Diagne,0.6,1.4,1.1,1.2,1.6,Premier_league
Oliver McBurnie,0.2,1.1,0.2,0.7,1,Premier_league
João Moutinho,0.4,0.7,-,0.3,0.5,Premier_league
Douglas Luiz,0.7,1.5,-,0.5,0.8,Premier_league
Edinson Cavani,0.2,0.5,0.2,0.4,1.2,Premier_league
Rodrigo,0.6,0.3,0.1,0.8,1.5,Premier_league
Craig Dawson,-,0.5,0.1,-,0.2,Premier_league
Charlie Taylor,0.9,1.2,-,0.3,0.7,Premier_league
Davinson Sánchez,0.1,0.4,-,0.2,0.4,Premier_league
Isaac Hayden,0.3,0.7,-,0.6,0.8,Premier_league
Gylfi Sigurdsson,0.4,0.5,-,0.8,1.3,Premier_league
Danny Welbeck,0.8,0.7,0.2,0.5,2.1,Premier_league
Paul Dummett,0.2,0.3,-,-,0.6,Premier_league
Jacob Murphy,1.5,0.9,0.1,1,1.3,Premier_league
Mohammed Salisu,0.8,0.3,-,0.6,1,Premier_league
Eric Dier,0.1,0.4,-,-,0.4,Premier_league
Gabriel Martinelli,0.9,0.3,0.1,0.5,1.6,Premier_league
Harrison Reed,0.5,0.8,-,0.3,0.6,Premier_league
Miguel Almirón,1.1,1.1,0.2,1,1.4,Premier_league
Luke Thomas,0.4,1.1,-,0.9,1.1,Premier_league
Willian,0.5,0.8,0.2,0.6,0.9,Premier_league
Séamus Coleman,0.8,0.7,-,0.9,1.1,Premier_league
Leander Dendoncker,0.2,0.4,0.1,0.3,0.9,Premier_league
Jeffrey Schlupp,1.1,0.6,-,1.5,1.2,Premier_league
Dean Henderson,-,-,-,-,-,Premier_league
Jordan Pickford,-,0.1,-,-,-,Premier_league
Ahmed El Mohamady,0.1,0.2,-,0.2,0.4,Premier_league
Issa Diop,0.2,0.4,0.1,0.1,0.3,Premier_league
Sergio Agüero,0.7,0.6,0.1,0.9,1.3,Premier_league
Ciaran Clark,0.2,0.5,-,-,0.5,Premier_league
Federico Fernández,-,0.6,-,0.1,0.3,Premier_league
Matt Ritchie,0.4,1.1,0.1,0.3,0.7,Premier_league
Mason Holgate,0.3,1,-,0.2,0.5,Premier_league
Conor Gallagher,1,2.1,-,1.2,2.1,Premier_league
Ashley Westwood,0.3,1.1,-,0.3,0.8,Premier_league
Lucas Moura,1.1,1.6,0.1,1.2,1.6,Premier_league
Emerson,-,-,-,-,1,Premier_league
Benjamin Mendy,0.8,-,0.1,0.4,1.2,Premier_league
Ola Aina,0.7,0.8,0.1,0.3,0.9,Premier_league
Lukasz Fabianski,-,0.1,-,-,-,Premier_league
Darnell Furlong,0.3,0.9,0.1,0.3,1.1,Premier_league
Georginio Wijnaldum,0.9,0.6,-,0.7,1,Premier_league
Giovani Lo Celso,0.4,1.1,-,0.8,1.2,Premier_league
Ezgjan Alioski,0.3,1.2,0.2,0.4,1,Premier_league
Daniel James,0.7,0.9,0.3,0.6,1.4,Premier_league
Ederson,-,0.1,-,-,0.1,Premier_league
Ricardo Pereira,0.9,0.5,-,1.1,1.4,Premier_league
Jack Robinson,0.3,0.5,-,0.2,0.5,Premier_league
Fabio Carvalho,2,0.5,-,2.3,2.8,Premier_league
Kai Havertz,0.7,0.6,0.3,1,2,Premier_league
Ben White,0.7,0.3,-,0.3,0.6,Premier_league
Ayoze Pérez,1.2,0.9,0.3,1,1.5,Premier_league
Jamaal Lascelles,0.2,0.5,-,0.1,0.3,Premier_league
