Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Shaun Hobson,2,-,0.3,0.3,0.4,-,0.4,0.4
Aaron Collins,11,7,1.2,0.8,1,0.2,1.3,2.3
Rollin Menayese,-,-,0.3,0.1,0.6,0.1,0.6,0.7
Mark Beck,4,1,0.5,0.1,1.1,0.1,0.5,1.2
Joe Cracknell,-,-,-,-,0.4,-,-,-
Josh Doherty,-,-,0.6,0.9,0.9,-,0.5,0.9
Jon Mellish,11,-,0.9,0.5,0.8,0.2,1.1,2
Jamie Turley,1,2,0.1,-,0.4,0.1,0.2,0.3
Gethin Jones,3,5,0.9,0.3,0.7,0.2,0.5,1
Robbie Cundy,-,-,0.1,0.1,0.6,-,0.2,0.4
Cameron Borthwick-Jackson,2,1,0.6,0.7,0.5,0.1,0.4,0.4
Harrison Dunk,-,3,0.4,0.2,1.2,-,0.4,0.6
Kyle Jameson,2,1,0.3,0.8,0.5,-,0.8,0.8
Callum Harriott,9,5,1,1,0.8,0.2,1.5,2.4
Matty Blair,2,4,0.7,0.6,0.5,-,0.5,1.3
Devante Rodney,11,3,0.8,0.9,1.1,0.4,2.2,2.6
Archie Collins,4,2,0.8,0.6,0.8,-,0.8,1.5
Lawrence Vigouroux,-,1,-,-,0.3,-,-,-
Joel Randall,8,4,1.2,0.7,0.5,0.2,1.2,2
Josh Coulson,-,2,0.4,0.1,0.6,0.1,0.1,0.4
Farrend Rawson,-,-,0.1,0.1,1,-,0.1,0.2
Jay Spearing,1,3,0.6,0.2,0.8,-,0.6,0.6
Callum Cooke,3,6,1.3,0.7,0.5,0.1,0.9,1.8
Nathan Ralph,1,-,0.3,0.4,1,-,0.9,1.1
Carl Winchester,2,-,0.7,0.3,0.4,-,0.7,0.9
Calum MacDonald,1,2,0.5,0.5,0.9,-,1,1.1
Glenn Morris,-,-,-,0.1,0.2,-,-,-
George Francomb,6,4,0.7,0.2,0.5,0.1,0.4,0.7
Nathaniel Knight-Percival,1,-,0.1,-,0.9,-,0.1,0.3
Kevin Lokko,1,-,-,1.3,0.3,-,-,-
Sam Lavelle,1,-,0.1,0.1,0.9,-,0.1,0.4
Neal Eardley,-,-,1.4,0.1,0.5,-,0.2,0.7
Alfie McCalmont,8,6,0.9,0.4,0.7,0.1,1.3,0.8
Josh March,6,2,0.7,0.5,2.3,0.6,1.9,1.4
Declan John,2,1,1,0.8,0.3,-,0.5,1.5
Liam Feeney,3,8,2.3,0.6,0.6,0.1,2.1,1.8
Josh Doherty,-,-,0.8,0.2,1.4,-,0.4,1.2
Jack Sparkes,3,4,1,0.7,1.5,-,1,1.2
Jack Armer,1,1,0.8,-,0.7,-,0.3,1
Josh Kay,5,2,1.2,1.2,1.5,0.2,2.2,2
Bobby Thomas,1,-,0.5,0.1,1,-,0.2,0.2
Zak Jules,1,1,0.4,0.6,0.2,-,0.8,0.7
Kieran Lee,2,-,1.2,0.7,0.8,0.2,1,2.2
Daniel Kemp,5,3,1.3,0.5,1.5,0.2,1.7,2
James Wilson,7,1,0.8,0.5,0.9,0.3,1.2,2
Daniel Happe,3,2,0.2,0.2,0.8,-,0.2,0.3
Nick Anderton,2,3,0.7,0.4,0.9,-,0.6,0.6
Ryan Fallowfield,-,5,0.9,0.3,0.4,-,0.2,0.6
Liam Shephard,2,1,0.8,0.6,1.2,0.1,0.9,1.3
Nathan Ferguson,2,-,0.5,0.2,0.4,-,0.7,0.9
Tom Dallison-Lisbon,2,1,0.2,0.5,0.8,0.1,0.3,0.3
Joss Labadie,5,-,0.4,0.3,2.2,0.2,0.8,1.1
Calvin Miller,1,1,1.1,0.6,0.8,-,1.4,1.7
Gime Toure,2,3,0.9,1.3,1.4,0.2,1.7,1.6
Luke Hendrie,2,2,0.6,0.3,1.1,-,0.2,0.4
Jack Iredale,4,3,0.6,0.6,0.6,-,0.5,0.6
Robbie Gotts,3,2,1,1,1.3,0.2,2.3,2.6
