Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Thierry Correia,1,1,0.6,0.9,1.3,0.1,0.4,0.7
Vicente Iborra,-,-,0.2,0.3,0.6,-,0.3,0.3
Marc Cucurella,3,2,1.1,0.6,1.6,0.2,1.1,2.2
Javier Ontiveros,2,1,0.9,1.8,1.6,-,0.7,1
Miguel Gutiérrez,-,1,0.7,1,1.2,0.2,-,1.7
Diego Carlos,1,-,0.2,0.2,0.6,-,-,0.2
Jorge de Frutos,4,9,1.1,1.2,0.8,0.1,0.7,1.9
José Luis Morales,13,3,0.9,0.8,0.5,0.5,1,1.3
Robin Le Normand,-,1,0.1,0.2,0.5,0.1,0.3,0.3
Asier Illarramendi,-,-,0.2,-,1.7,-,-,-
Aarón Escandell,-,-,-,-,-,-,-,-
Uros Racic,1,1,0.3,0.8,0.8,-,0.5,0.9
Etienne Capoue,1,-,0.2,0.8,1.4,-,0.5,0.6
Marco Asensio,5,2,0.9,0.8,0.8,0.2,0.7,0.9
Aïssa Mandi,3,1,0.1,0.1,0.5,0.1,0.1,0.3
José Mari,1,-,0.4,0.7,0.8,-,0.6,0.5
Djené Dakonam,-,1,0.2,0.4,1.1,-,0.4,0.6
Lucas Boyé,7,2,0.4,1.9,1,0.3,2.3,4.8
Nacho Monreal,1,1,0.4,0.3,0.6,0.1,0.3,0.5
Eden Hazard,3,2,0.4,1,1.4,0.2,0.7,0.9
Manu Trigueros,1,7,1,0.8,1.1,0.1,1,1.1
Miguel Ángel Rubio,-,-,-,-,0.5,0.5,-,-
Raúl García,1,-,0.6,0.8,1,0.1,0.1,0.6
Rubén Peña,1,1,0.3,1.6,0.9,-,0.9,1.3
Guido Carrillo,3,2,0.4,0.4,0.7,0.1,0.5,1.3
Iñaki Williams,6,6,0.8,0.9,0.9,0.3,1.4,1.8
Gonzalo Melero,7,1,0.7,0.5,1.1,-,0.4,1
Anaitz Arbilla,-,1,0.3,0.7,0.4,-,0.3,0.6
Edgar Badia,-,-,-,-,0.1,-,-,-
Kenedy,4,3,0.6,1.3,0.8,-,1.4,1.4
Joaquín,2,5,1.2,0.7,0.4,0.1,0.6,1.1
Alfonso Pedraza,1,2,0.9,0.8,0.8,-,0.8,1.7
Sergi Gómez,-,-,0.1,-,0.1,-,0.1,0.1
Álvaro Fernández,-,-,-,-,0.1,-,-,-
Ander Capa,2,1,0.6,1,0.3,-,0.5,0.8
Rodrygo,1,6,0.9,0.8,1,-,0.7,1.4
Victor Chust,-,-,-,-,-,-,-,0.5
Lucas Olaza,1,1,1.1,0.5,1,0.1,0.3,0.4
Marc Bartra,-,1,0.2,0.4,0.8,0.1,0.1,0.6
Jonathan Calleri,5,2,0.4,0.7,1.6,0.7,1.2,2.4
Carlos Clerc,-,3,0.7,1,1,0.1,0.5,1
Rubén Rochina,-,1,0.6,1.2,1.2,-,1.4,1.4
Neto,-,-,-,-,-,-,0.3,0.1
Lucas Pérez,4,4,1.9,1,1,0.5,0.8,2.3
Sergiño Dest,2,1,0.8,1,0.4,0.1,0.9,1.1
Carlos Akapo,1,-,0.2,0.5,0.3,-,0.2,0.8
Juan Miranda,1,2,0.5,0.2,1,-,0.4,0.8
Ilaix Moriba,1,2,0.5,1.2,1.4,-,0.6,0.9
Gonzalo Verdú,-,2,0.2,0.3,1.2,0.1,0.1,0.3
Marc-André ter Stegen,-,-,-,-,-,-,-,-
Víctor Ruiz,2,-,0.1,0.2,0.2,0.1,0.1,0.3
Álvaro Odriozola,2,-,0.6,0.6,0.4,0.1,0.4,0.9
Ramiro Funes Mori,-,-,-,0.1,0.3,-,0.4,0.3
Vinícius Júnior,3,3,0.9,1.3,1.5,0.2,1.2,1.9
Roque Mesa,1,-,0.6,1.4,1.4,0.2,1.6,1.2
Martín Zubimendi,-,-,0.2,0.4,0.5,-,0.3,0.8
