Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Osaze Urhoghide,-,-,0.1,0.3,0.8,-,0.4,0.8
Brice Samba,-,-,0.1,-,0.2,-,-,-
Adrian Mariappa,-,-,0.1,0.2,0.4,-,0.2,0.5
James Garner,-,1,0.7,0.5,0.9,-,0.4,1
Ryan Woods,-,2,0.7,0.8,0.7,-,0.5,1
Dan Gosling,2,1,0.2,0.5,0.4,-,0.3,1.3
Moses Odubajo,-,-,0.2,0.8,1.7,0.1,0.7,1.1
Adebayo Akinfenwa,1,1,0.7,0.1,0.2,0.2,0.7,1.1
Tyler Walker,7,2,0.2,0.3,0.8,0.7,0.3,1.4
Luke Amos,-,-,0.8,0.2,0.8,0.4,1.2,2
Nicholas Ioannou,-,-,1.6,0.4,0.6,-,0.8,1.6
Ben Pearson,-,3,0.2,0.3,1.2,-,0.2,0.6
Jack Burroughs,-,-,0.5,0.5,1,-,0.5,2
Romoney Crichlow,-,-,-,0.5,0.3,-,0.5,-
Richard Keogh,-,-,0.2,0.2,0.3,-,0.1,0.3
Duane Holmes,2,2,0.9,0.7,0.7,0.1,1,1.1
Angus MacDonald,1,-,0.2,0.1,0.7,-,0.1,0.2
James Bree,1,-,1.1,0.4,0.5,0.1,0.3,1.1
Matty James,-,-,0.6,0.4,0.3,-,0.5,0.8
Duncan Watmore,9,1,0.6,0.8,0.6,0.3,1.1,2.4
Conor Chaplin,4,3,1.2,0.3,1.1,0.2,0.9,1.5
Shandon Baptiste,-,1,2,-,1,-,1,-
Freddie Woodman,-,-,-,-,0.1,-,-,-
Fankaty Dabo,-,-,0.4,1.3,1.1,-,1.3,1.5
Matt Godden,6,2,0.6,0.2,0.7,0.7,0.6,1.5
Rafael Cabral,-,-,-,-,0.1,-,-,-
Jack Colback,-,-,0.4,0.3,1.2,-,0.5,0.6
Juninho Bacuna,5,4,0.9,0.9,1.5,-,1.4,2.6
Simon Sluga,-,-,-,-,0.2,-,-,-
Marco Stiepermann,1,2,1,0.6,0.4,0.1,1.1,2.1
Dan Potts,1,-,0.1,0.2,0.6,0.3,0.3,0.6
Neil Etheridge,-,-,0.1,-,0.1,-,-,-
Rarmani Edmonds-Green,2,-,-,0.2,0.2,-,-,0.4
Scott Sinclair,9,1,0.4,1.1,0.7,0.6,0.9,1.6
Joe Allen,-,2,0.7,0.6,0.8,-,0.8,2.1
Josh Martin,1,1,0.7,0.9,0.6,-,1.1,0.9
Jay Dasilva,1,1,0.5,0.8,0.5,-,0.6,0.9
Todd Kane,2,3,0.7,0.2,0.4,-,0.5,0.8
Hakeeb Adelakun,-,-,-,1.5,-,-,-,1
Harry Cornick,1,7,0.8,1.4,0.6,0.8,1.3,2.1
Joost van Aken,-,-,0.1,0.2,0.6,-,-,0.5
Charlie Goode,-,-,-,0.1,1.4,-,0.3,0.1
Jordan Obita,-,-,0.6,0.2,0.3,-,0.1,0.2
Clarke Oduor,-,-,0.2,1.4,0.5,-,0.5,1.2
Martin Cranie,-,1,0.2,0.4,0.7,-,0.3,0.3
Max O'Leary,-,-,-,-,-,-,-,0.3
Toby Peter Sibbick,-,-,-,0.1,0.3,-,0.3,0.2
Luke Berry,2,1,0.9,0.3,1.2,-,0.6,0.9
Ben Pearson,-,1,0.7,0.2,0.4,-,0.1,0.6
Pelly-Ruddock Mpanzu,2,3,0.7,1,1.5,0.1,1.6,2.6
Jack Hunt,2,2,0.6,0.4,0.7,-,0.3,0.9
Marvin Johnson,3,4,0.8,0.6,1,0.3,0.5,0.9
Loïc Mbe Soh,1,-,0.4,0.1,0.1,-,-,-
Bruno Martins Indi,-,-,-,-,1,-,-,-
Jack Stacey,1,1,0.6,0.7,0.5,-,0.5,1.1
Kamil Jozwiak,1,2,0.6,1.4,1.3,0.1,1.5,1.9
Jacob Davenport,1,-,0.5,0.1,0.5,-,0.2,0.5
Antoine Semenyo,2,4,0.5,1.1,1.1,0.3,1.3,2.5
Daniel Bentley,-,-,-,-,0.3,-,-,-
Ryan Allsop,-,-,0.2,-,0.1,-,-,-
Romal Palmer,1,1,0.3,0.4,0.8,-,0.3,0.8
Philip Zinckernagel,1,5,1,0.7,0.4,-,0.8,1.9
Tom Barkhuizen,4,2,0.6,0.6,0.3,0.2,0.5,1.8
Adam Davies,-,-,0.1,-,0.2,-,-,0.1
Ádám Nagy,2,3,0.3,0.4,0.3,0.1,0.5,1.4
Tom Dele-Bashiru,-,-,-,1.5,1,-,0.5,0.5
Tyreeq Bakinson,4,1,0.3,0.6,0.6,-,0.7,1.3
Andre Wisdom,1,-,0.1,0.3,0.2,-,0.2,0.3
Josh Dacres-Cogley,-,-,0.2,0.8,0.8,-,0.2,1.2
Andrew Omobamidele,-,-,-,0.2,0.7,-,0.3,0.6
Emiliano Marcondes,2,3,0.7,0.1,0.8,-,0.4,0.9
Richard Stearman,-,1,-,0.1,1.1,-,0.2,0.3
Dominic Gape,-,-,-,-,0.8,-,0.1,0.4
