Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Japhet Tanganga,-,-,0.2,1.5,1.2,-,0.8,0.3
Tyrick Mitchell,1,1,0.2,0.6,0.6,-,0.6,0.8
Ethan Ampadu,-,-,0.4,0.5,1,-,0.2,0.6
Tammy Abraham,6,1,0.4,0.3,0.5,0.2,0.3,1.5
Fraser Forster,-,-,-,-,0.4,-,-,-
Victor Lindelöf,1,1,0.2,0.1,0.3,-,0.1,0.3
Kenny Tete,-,1,0.8,0.5,0.8,0.1,0.4,0.9
Chris Basham,-,1,0.4,0.7,0.9,0.2,0.6,1
Héctor Bellerín,1,2,0.8,0.5,0.3,-,0.2,1
Daniel Podence,3,2,0.9,1.6,1.1,0.2,1,1.5
Kieran Tierney,1,3,1.1,0.6,0.7,-,0.5,0.9
Mbaye Diagne,3,2,0.6,0.6,1.4,1.1,1.2,1.6
Oliver McBurnie,1,-,0.7,0.2,1.1,0.2,0.7,1
João Moutinho,1,1,1.4,0.4,0.7,-,0.3,0.5
Douglas Luiz,-,2,0.6,0.7,1.5,-,0.5,0.8
Edinson Cavani,10,3,0.5,0.2,0.5,0.2,0.4,1.2
Rodrigo,7,2,1.2,0.6,0.3,0.1,0.8,1.5
Craig Dawson,3,-,0.1,-,0.5,0.1,-,0.2
Charlie Taylor,-,1,0.4,0.9,1.2,-,0.3,0.7
Davinson Sánchez,-,-,0.1,0.1,0.4,-,0.2,0.4
Isaac Hayden,-,-,0.3,0.3,0.7,-,0.6,0.8
Gylfi Sigurdsson,6,5,1.2,0.4,0.5,-,0.8,1.3
Danny Welbeck,6,1,0.9,0.8,0.7,0.2,0.5,2.1
Paul Dummett,1,-,0.3,0.2,0.3,-,-,0.6
Jacob Murphy,2,3,0.7,1.5,0.9,0.1,1,1.3
Mohammed Salisu,-,-,0.2,0.8,0.3,-,0.6,1
Eric Dier,-,-,0.2,0.1,0.4,-,-,0.4
Gabriel Martinelli,2,1,0.6,0.9,0.3,0.1,0.5,1.6
Harrison Reed,-,2,0.7,0.5,0.8,-,0.3,0.6
Miguel Almirón,4,1,0.9,1.1,1.1,0.2,1,1.4
Luke Thomas,1,-,0.5,0.4,1.1,-,0.9,1.1
Willian,1,5,1.3,0.5,0.8,0.2,0.6,0.9
Séamus Coleman,-,3,0.8,0.8,0.7,-,0.9,1.1
Leander Dendoncker,1,-,0.5,0.2,0.4,0.1,0.3,0.9
Jeffrey Schlupp,2,3,0.7,1.1,0.6,-,1.5,1.2
Dean Henderson,-,-,-,-,-,-,-,-
Jordan Pickford,-,-,-,-,0.1,-,-,-
Ahmed El Mohamady,-,-,0.9,0.1,0.2,-,0.2,0.4
Issa Diop,2,-,0.1,0.2,0.4,0.1,0.1,0.3
Sergio Agüero,4,1,0.6,0.7,0.6,0.1,0.9,1.3
Ciaran Clark,1,-,0.1,0.2,0.5,-,-,0.5
Federico Fernández,-,-,0.3,-,0.6,-,0.1,0.3
Matt Ritchie,-,2,1.4,0.4,1.1,0.1,0.3,0.7
Mason Holgate,1,-,0.3,0.3,1,-,0.2,0.5
Conor Gallagher,2,2,0.7,1,2.1,-,1.2,2.1
Ashley Westwood,3,3,1.4,0.3,1.1,-,0.3,0.8
Lucas Moura,3,4,0.5,1.1,1.6,0.1,1.2,1.6
Emerson,-,-,-,-,-,-,-,1
Benjamin Mendy,2,1,0.4,0.8,-,0.1,0.4,1.2
Ola Aina,2,1,0.5,0.7,0.8,0.1,0.3,0.9
Lukasz Fabianski,-,-,-,-,0.1,-,-,-
Darnell Furlong,1,3,0.5,0.3,0.9,0.1,0.3,1.1
Georginio Wijnaldum,2,-,0.6,0.9,0.6,-,0.7,1
Giovani Lo Celso,1,1,0.8,0.4,1.1,-,0.8,1.2
Ezgjan Alioski,2,3,0.8,0.3,1.2,0.2,0.4,1
Daniel James,3,1,0.7,0.7,0.9,0.3,0.6,1.4
Ederson,-,1,-,-,0.1,-,-,0.1
Ricardo Pereira,-,1,0.7,0.9,0.5,-,1.1,1.4
Jack Robinson,-,1,0.1,0.3,0.5,-,0.2,0.5
Fabio Carvalho,1,-,0.5,2,0.5,-,2.3,2.8
Kai Havertz,4,3,0.7,0.7,0.6,0.3,1,2
Ben White,-,-,0.2,0.7,0.3,-,0.3,0.6
Ayoze Pérez,2,1,0.9,1.2,0.9,0.3,1,1.5
Jamaal Lascelles,2,-,0.2,0.2,0.5,-,0.1,0.3
Mario Lemina,1,-,0.4,0.9,0.5,-,0.8,0.9
Robert Sánchez,-,-,-,-,0.2,-,-,0.1
Saïd Benrahma,1,6,0.9,1.4,0.5,0.1,1.1,1.6
Naby Keita,-,-,0.6,0.8,0.2,-,0.8,1.4
Robin Koch,-,-,0.2,0.2,0.5,-,-,0.3
