Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Stanislav Agkatsev,-,-,-,-,0.5,-,-,0.5
Evgeni Shlyakov,-,-,0.6,0.3,1.4,0.2,0.8,0.9
Maksim Belyaev,-,-,0.1,0.1,0.5,-,-,0.1
Marat Bystrov,-,1,0.6,0.5,0.6,0.1,0.9,1
Daniil Shamkin,-,1,0.3,-,-,-,0.3,-
Nikolay Komlichenko,4,-,0.5,0.2,1.3,0.3,0.8,1
Aleksey Rybin,-,1,0.9,0.1,0.8,0.2,0.4,0.4
Anton Shvets,1,-,0.4,0.4,1,0.1,0.4,0.5
Charles Kaboré,-,-,0.2,0.1,1.2,-,0.4,0.4
Georgy Makhatadze,1,-,0.2,0.2,0.4,-,0.5,1.6
Vyacheslav Krotov,2,-,0.9,0.5,0.8,0.1,0.9,1.6
Aleksandr Denisov,-,-,-,-,-,-,-,-
Aleksandr Pavlovets,-,-,0.2,-,0.4,-,-,-
Aleksandr Zuev,-,-,0.5,0.2,0.6,-,0.6,0.4
Eldor Shomurodov,-,-,1,0.9,0.8,0.5,1.9,3
Vyacheslav Podberezkin,1,-,0.3,0.3,0.6,-,0.6,0.9
Mihail Levashov,-,-,-,-,-,-,-,-
Shapi Suleymanov,4,-,0.8,0.4,0.7,0.1,1.3,0.7
Ionut Nedelcearu,-,1,0.3,0.2,0.6,-,0.2,0.1
Kirill Panchenko,1,1,0.3,0.1,0.7,-,0.5,1.2
Kirill Kombarov,-,-,0.3,-,0.5,-,-,0.5
Leon Sabua,1,-,-,-,-,-,-,-
Evans Kangwa,4,2,0.6,0.7,1.2,0.4,0.8,2.3
Dmitri Rybchinsky,2,2,0.8,0.4,0.4,-,0.7,1.5
Arseni Logashov,-,-,0.4,0.3,0.9,-,0.3,0.3
Ivelin Popov,-,-,-,1,1,-,1.5,1.5
Bojan Jokic,1,-,0.5,0.1,1,-,0.2,0.7
Ilya Gaponov,-,-,0.1,0.2,0.2,-,-,0.3
Sergei Makarov,-,2,0.5,0.2,0.5,-,0.3,0.5
Danila Khotulev,-,-,-,-,-,-,-,-
Evgeni Lutsenko,2,1,0.7,0.3,0.7,0.2,0.7,1.3
Ilzat Akhmetov,-,1,0.4,0.5,0.1,-,0.4,0.9
Ilya Kamyshev,-,-,0.3,0.1,0.4,-,0.6,1.6
Maximilian Philipp,1,-,0.9,0.3,0.7,0.3,0.4,1.4
Sébastien Thill,-,1,1.1,0.3,0.4,0.1,-,1.3
Kirill Bozhenov,1,-,0.6,0.3,1,0.1,0.8,1.3
Vitali Lisakovich,2,4,0.5,0.3,0.5,0.2,0.8,1.3
Vladislav Panteleev,1,2,0.7,0.1,0.5,0.1,0.3,0.9
Artyom Arkhipov,3,-,1.1,0.5,1.5,1.1,0.6,2
Roman Tugarev,1,-,0.4,0.5,0.8,0.1,0.4,1.6
Maksim Glushenkov,2,-,-,0.5,1,0.3,1,0.5
Sly,1,-,0.3,0.5,0.9,0.4,0.2,0.6
Aleksandr Rudenko,2,1,0.3,0.7,0.8,0.1,0.9,1.6
Ari,2,-,0.4,0.6,0.6,0.7,-,0.7
Gia Grigalava,-,-,0.4,0.1,1.2,-,0.2,0.5
Oston Urunov,-,-,0.8,1.1,0.4,0.3,1.1,1.8
Egor Shamov,-,-,0.1,-,0.2,-,-,-
Mikhail Kostyukov,1,1,0.6,0.6,1.6,0.2,0.9,1.6
Maksim Martusevich,-,-,0.8,1.2,1.8,-,0.2,1
Dmitriy Chistyakov,-,-,-,-,-,-,-,-
Marco Aratore,-,-,1.5,0.5,0.5,-,1.5,1
Aleksandre Karapetian,3,-,0.2,0.1,0.4,0.5,1.6,1.6
George Melkadze,3,1,0.7,0.6,0.9,0.3,1.7,2.2
Vitali Shakhov,-,-,-,0.2,0.4,-,-,0.2
Armin Gigovic,1,-,0.5,0.2,0.6,-,0.5,1.2
Taras Burlak,-,-,0.1,0.1,0.3,-,-,0.1
Rodion Syamuk,-,-,-,-,0.2,-,-,-
Kirill Klimov,1,-,0.5,1.1,0.8,-,0.8,1.7
Ladislav Almasi,-,1,0.1,0.1,0.8,0.5,0.4,0.6
Danil Lipovoy,-,-,-,-,0.5,-,0.5,1.5
Aleksandr Sukhov,-,1,0.4,0.3,0.4,0.1,0.6,0.9
Vladimir Obukhov,-,-,1,0.2,1.3,0.3,0.6,1.3
Nayair Tiknizyan,2,-,0.6,0.2,0.3,0.1,0.6,1
Pavel Alikin,1,-,0.1,-,0.3,-,-,0.1
Azer Aliev,1,1,0.7,0.6,0.5,0.2,0.5,1.3
Nikita Chicherin,-,-,0.2,0.2,0.1,-,0.3,0.4
Ilia Shkurin,3,-,0.8,0.1,0.2,0.9,0.9,1
