Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Filipe Augusto,-,-,0.6,1,2.2,-,0.8,0.8
Lourency,5,1,1,1.3,1.4,0.2,1.3,2.1
Yanis Hamache,2,4,0.8,0.7,0.3,0.1,0.2,0.8
Jovane Cabral,5,4,0.8,1.1,0.7,0.1,0.6,1
Miguel Cardoso,6,3,1,1,1.8,0.9,1.1,1.8
Pepelu,1,-,0.5,0.4,1,-,0.5,0.6
Morato,-,-,-,-,0.5,-,-,-
Fábio Cardoso,3,1,0.4,0.1,1,0.2,0.1,0.1
Raúl Silva,1,1,0.3,0.2,0.9,0.1,0.1,0.3
Luquinhas,1,3,1.7,0.8,0.8,0.1,0.8,1.2
Jonatan Lucca,1,2,1.2,0.6,0.8,-,0.6,1.4
Joel Pereira,-,1,0.8,0.8,0.7,-,0.5,0.8
Abdoulaye Ba,-,-,-,0.3,0.3,0.2,-,0.7
Jorge Silva,-,-,1.5,-,0.5,-,-,3
Léo Jardim,-,-,-,-,0.1,-,-,-
Pedro Marques,5,2,0.7,0.5,1.4,0.2,0.5,1.8
João Mário,2,3,0.5,1.4,0.9,-,0.1,0.9
Fransergio,6,1,0.7,0.3,1.5,0.1,1,1.2
Pelé,2,1,0.2,2.4,1.6,-,1.4,1
Nanu,-,-,0.3,2.1,0.5,-,0.8,1.4
Marcus Edwards,3,1,0.6,2.2,1.9,0.1,1.5,1.9
Lincoln,1,4,1.3,0.4,2.3,0.1,0.7,1.4
Mansur,-,1,0.3,0.5,0.4,-,0.5,0.7
Lucas Mineiro,2,1,0.2,0.9,1.8,-,0.7,1.1
Antonio Adán,-,1,-,-,0.2,-,-,0.1
Chidozie Awaziem,-,1,0.1,0.1,0.9,0.1,0.1,0.3
Pedro Nuno,2,-,1.5,0.2,1.2,0.8,0.5,1.7
Marco Baixinho,-,-,0.1,-,-,-,-,0.3
Mikel Agu,-,-,0.1,0.4,-,-,0.1,0.6
Eduardo Mancha,2,-,0.1,0.2,0.6,0.1,0.3,0.6
Agustín Marchesín,-,1,-,0.1,0.1,-,-,-
Jorge Fernandes,1,-,0.1,0.1,0.4,0.1,0.3,0.3
Toni Borevkovic,-,1,0.2,0.2,0.9,-,-,0.3
Srdjan Babic,1,2,0.1,0.3,0.6,-,-,0.4
Denis,-,-,-,-,0.3,-,-,-
Carlos Valenzuela,3,1,0.8,1.8,1.9,0.1,0.8,1.3
Marcelo,-,-,0.1,0.1,0.9,-,0.2,0.4
Gonçalo Ramos,2,-,0.3,0.3,0.8,-,0.3,0.3
Mikel Villanueva,1,-,0.1,0.5,0.4,-,0.1,0.4
Tomás Ribeiro,1,-,0.2,0.1,1,-,-,0.4
Jhon Murillo,4,4,0.9,1,1.6,0.3,1.5,1.7
Pedro Rebocho,-,2,0.9,0.7,0.6,-,0.1,0.7
Tiago Sá,-,-,-,-,-,-,-,-
Reggie Cannon,-,1,0.6,0.3,1,-,0.4,1
Kewin,-,-,-,-,-,-,-,-
Pedro Henrique,5,1,0.4,0.2,1.4,0.5,0.7,1.8
Jackson Porozo,2,-,0.1,0.2,0.1,0.1,0.3,0.5
Yan,4,3,1,1.5,0.9,0.2,0.8,1.6
Luiz Carlos,3,3,0.7,0.4,1.4,0.1,0.6,1.4
Gelson Dala,3,5,1.1,1.1,1.9,0.6,1,2.5
Jordi,-,-,0.1,0.1,0.1,-,-,-
Stefano Beltrame,1,-,0.3,1.7,0.3,-,1,0.7
Pedrão,1,-,0.2,0.1,0.9,-,0.3,0.3
Iván Jaime,4,2,0.8,1.2,2,0.1,1.3,1.5
Aylton Boa Morte,5,4,0.7,1.7,1.1,0.6,2.2,3.1
Nicolás Gaitán,2,1,1.8,0.4,0.6,0.1,0.2,0.5
Riccieli,1,-,0.2,0.2,0.3,-,0.1,0.1
Silvio,-,-,0.3,0.3,1,-,0.1,1
Yohan Tavares,-,-,-,0.1,0.2,-,0.1,0.3
Samuel Lino,9,1,0.3,0.6,1.7,0.4,0.9,1.6
Lazar Rosic,-,-,0.2,0.1,0.7,-,-,0.2
Mateus Pasinato,-,-,-,-,0.1,-,-,-
Filipe Soares,2,2,0.9,1.6,1.8,0.2,1.7,2.5
David Carmo,-,-,0.2,0.2,0.4,-,0.1,0.4
Rafik Guitane,-,1,1.1,2.7,1.7,-,1.7,2.3
Pawel Kieszek,-,-,-,-,0.1,-,-,0.1
Dudu,1,-,-,0.7,-,-,-,0.7
Anthony D'Alberto,-,-,0.3,0.6,0.2,-,0.5,1.2
Enzo Martínez,-,1,0.2,0.3,0.7,-,0.2,0.6
Samuel,-,-,0.1,0.1,0.2,-,-,-
Luiz Lúcio Reis Júnior,-,-,-,-,0.4,-,-,-
Fábio Coentrão,2,-,0.3,0.9,1.8,0.2,0.6,1
Ygor Nogueira,-,-,0.2,0.2,0.9,-,0.2,0.4
Rodrigão,1,1,0.2,0.2,0.1,-,-,0.3
Lucas Piazon,4,4,0.6,0.3,1,0.1,0.2,0.9
Afonso Taira,-,1,0.5,0.7,0.9,-,0.3,0.8
Andraz Sporar,3,1,0.4,0.4,0.9,0.2,0.6,0.7
Patrick Willian,-,-,0.2,0.2,0.6,-,0.2,0.5
Gonçalo Silva,1,-,0.2,0.1,0.2,0.1,0.1,0.3
Amine Oudrhiri,-,2,0.7,0.5,1.6,-,0.3,0.8
Júlio Romao,-,-,-,1.6,0.6,-,0.6,0.8
Walterson,2,2,0.7,1.4,2,0.2,2.3,3.2
Bebeto,-,4,0.5,0.5,0.8,-,0.6,1
Claude Goncalves,2,2,0.4,0.7,1.3,0.1,0.7,0.9
