Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Ertugrul Ersoy,Gaziantep FK, 24, D(CR),,,4(2),306,-,-,1,-,-,85.1,1.5,-,6.39
Osman Celik,Erzurum BB, 29, D(C),DMC,,14(13),1462,1,1,6,-,0.3,79.3,0.7,-,6.39
Erkan Kas,Yeni Malatyaspor, 29, D(L),M(L),,2(1),156,-,-,-,-,0.3,71.1,-,-,6.39
Selim Ilgaz,Hatayspor, 25, AM(LR),,,15(12),1172,2,2,-,-,0.5,77.7,0.1,-,6.38
Efkan Bekiroglu,Alanyaspor, 25, M(C),,,7(16),792,2,1,2,-,1.2,87.8,0.1,-,6.38
Ilhan Parlak,Ankaragucu, 34, AM(CLR),FW,,1,84,-,-,-,-,1,75,4,-,6.38
Musa Cagiran,Konyaspor, 28, M(C),,,3(13),448,1,-,2,-,0.7,81.2,0.6,-,6.38
Benik Afobe,Trabzonspor, 28, AM(C),FW,,10(18),1012,5,-,1,-,0.8,73.6,1.3,1,6.37
Mahmut Tekdemir,Istanbul Basaksehir, 33, D(C),DMC,,24(7),1856,1,-,3,1,0.6,88.2,0.6,-,6.37
Hasan Ali Kaldirim,Istanbul Basaksehir, 31, D(L),,,21(3),1801,-,1,3,-,0.4,81.7,0.8,-,6.37
Fabien Farnolle,Erzurum BB, 36, GK,,,13,1126,-,-,-,-,-,54.3,0.4,-,6.37
Onur Bulut,Rizespor, 27, D(R),M(R),,9(9),921,-,-,-,-,0.6,79.7,0.6,-,6.37
Mitchell Donald,Erzurum BB, 32, M(C),,,8(8),868,1,-,2,-,0.4,84.7,0.9,-,6.37
Mirza Cihan,Gaziantep FK, 20, Midfielder,,,0(4),38,-,1,-,-,0.5,100,0.8,-,6.37
Rashid,Gaziantep FK, 29, DMC,,,12(2),931,-,-,2,-,0.6,80.9,0.9,-,6.36
Ersan Gülüm,Antalyaspor, 34, D(C),,,9(5),756,-,1,1,1,0.2,85.9,1.4,-,6.36
Mete Demir,Istanbul Basaksehir, 23, Midfielder,,,1(3),92,-,-,-,-,1.8,78.4,-,-,6.36
Stephen Mallan,Yeni Malatyaspor, 25, M(C),,,8(9),776,2,-,-,-,1.1,81.3,0.2,-,6.36
Kamil Ahmet Çörekçi,Trabzonspor, 29, D(LR),M(CR),,10(9),870,-,1,4,-,0.3,84.4,0.4,-,6.36
Ugur Uçar,Istanbul Basaksehir, 34, D(R),,,4(6),409,-,-,1,-,0.1,85.6,0.6,-,6.36
Pierre-Yves Polomat,Genclerbirligi, 27, D(L),M(L),,27(6),2463,-,1,7,1,0.2,78.9,0.6,1,6.36
Cemali Sertel,Istanbul Basaksehir, 21, D(L),,,5(7),404,-,-,-,-,0.3,84.5,0.6,-,6.36
Enzo Crivelli,Istanbul Basaksehir, 26, AM(L),FW,,21(15),1961,2,1,4,-,1,65.8,1.7,-,6.36
Hasan Ayaroglu,Denizlispor, 26, Midfielder,,,6(13),653,-,1,2,-,0.2,82.3,0.3,-,6.36
Denis Alibec,Kayserispor, 30, FW,,,8(7),667,2,1,3,-,1.1,71.1,0.6,-,6.35
Yunus Malli,Trabzonspor, 29, M(CLR),FW,,5(8),417,-,-,-,-,0.5,82.7,0.2,-,6.35
Alexander Søderlund,Rizespor, 33, FW,,,6(6),535,1,-,-,-,1.1,65.1,1.4,-,6.35
Besard Sabovic,Kayserispor, 23, M(C),,,3(8),380,-,1,-,-,0.5,84.2,0.2,-,6.35
Sinan Gümüs,Fenerbahce, 27, AM(R),FW,,5(13),572,3,1,3,1,1.1,79.3,0.3,-,6.35
Zargo Toure,Genclerbirligi, 31, D(C),,,22(1),1991,-,-,3,-,0.3,82.2,0.8,-,6.35
Sakib Aytac,Denizlispor, 29, D(CL),M(L),,15(2),1301,1,1,4,-,0.1,77.6,1.2,-,6.35
Amedej Vetrih,Rizespor, 30, M(C),,,2,105,-,-,-,-,-,81.8,-,-,6.35
Giovanni Sio,Genclerbirligi, 32, AM(LR),FW,,15(7),1277,2,1,5,-,1.7,74.8,0.8,-,6.35
Rahmetullah Berisbek,Genclerbirligi, 22, Midfielder,,,3(13),556,-,-,1,-,0.1,74.2,0.4,-,6.34
Abdulkadir Sunger,Denizlispor, 21, GK,,,7,630,-,-,-,-,-,65.3,0.4,-,6.34
Márcio Mossoró,Goztepe, 37, AM(C),,,7(7),539,1,1,2,-,0.2,87.3,0.1,-,6.34
Ramazan Civelek,Kayserispor, 25, D(R),,,5(13),632,-,2,-,-,0.2,76.6,0.2,-,6.34
Ceyhun Gülselam,Alanyaspor, 33, M(C),,,6(15),616,1,2,5,-,0.8,79.9,0.7,-,6.34
Paul Mukairu,Antalyaspor, 21, AM(LR),FW,,2(1),137,-,-,1,-,-,78.3,0.7,-,6.34
Mustafa Akbas,Genclerbirligi, 31, D(CL),,,5(1),287,-,-,-,-,0.2,74.7,0.8,-,6.33
Ricardo Friedrich,Ankaragucu, 28, GK,,,23(1),2067,-,-,2,-,-,46.9,0.2,-,6.33
Geraldo,Ankaragucu, 29, AM(CR),,,7(9),696,-,-,2,1,0.8,69.3,0.4,-,6.33
Alper Uludag,Konyaspor, 30, D(CL),,,4(3),245,-,1,4,-,0.3,87.9,0.3,-,6.32
Mehmet Goktug Bakirbas,Erzurum BB, 25, GK,,,2(1),220,-,-,-,-,-,71.4,-,-,6.32
Mamadou Samassa,Sivasspor, 31, GK,,,17(1),1531,-,-,2,-,-,60.6,0.2,2,6.32
Dogan Erdogan,Rizespor, 24, DMC,,,9(10),749,1,1,2,-,0.3,74.5,0.6,-,6.32
Fede Varela,Denizlispor, 25, AM(C),,,3(4),271,-,-,-,-,0.3,79.3,0.1,-,6.32
Yusuf Sari,Trabzonspor, 22, AM(R),,,5(21),704,1,1,4,-,0.7,83.6,0.1,1,6.32
Guven Yalcin,Besiktas, 22, AM(L),FW,,3(10),280,1,-,1,-,0.9,75.2,0.3,-,6.32
Bulent Cevahir,Yeni Malatyaspor, 29, D(L),,,4(6),412,-,-,-,-,0.1,77.2,0.2,-,6.31
Burak Camoglu,Hatayspor, 24, M(R),,,7(10),636,-,-,-,-,0.1,77.7,0.4,-,6.31
Dever Orgill,Antalyaspor, 31, FW,,,16(16),1550,1,1,7,-,0.8,72.4,1.7,-,6.31
André Sousa,Gaziantep FK, 30, M(CL),,,13(11),1122,1,2,6,-,0.5,83.3,0.3,-,6.31
Ferdi Kadioglu,Fenerbahce, 21, AM(CLR),,,6(20),724,1,2,3,-,0.4,80.7,-,-,6.30
Muris Mesanovic,Denizlispor, 30, AM(LR),FW,,19(17),1887,6,2,5,-,1.2,80.7,0.4,-,6.30
Ibrahim Sissoko,Erzurum BB, 29, AM(CLR),,,6(7),511,1,1,-,-,0.4,85.4,-,-,6.30
Veton Tusha,Denizlispor, 18, Forward,,,4(7),337,2,-,-,-,0.6,76.5,-,-,6.30
Yannis Salibur,Fatih Karagumruk, 30, AM(CLR),FW,,8(14),801,-,-,3,-,1.3,78.6,0.3,-,6.30
Umut Günes,Alanyaspor, 21, AM(C),,,5(11),469,-,2,1,-,0.6,87.1,0.5,1,6.30
Ali Eren Iyican,Antalyaspor, 21, Defender,,,3(5),319,-,-,1,-,-,74.5,0.5,-,6.30
Mert Yilmaz,Antalyaspor, 22, D(R),,,10(1),778,-,1,1,-,0.2,84.7,0.4,-,6.30
Yaw Ackah,Kayserispor, 22, DMC,,,6(5),481,-,-,3,-,0.1,82.1,0.6,-,6.30
Umut Bulut,Yeni Malatyaspor, 38, AM(CLR),FW,,20(11),1766,2,1,2,-,0.7,67.4,1,-,6.30
Farouk Miya,Konyaspor, 23, AM(CL),FW,,9(7),729,-,-,2,-,0.7,77.8,0.4,-,6.29
Alan Carius,Kasimpasa, 24, Midfielder,,,8(7),689,1,1,1,-,1,68.9,0.2,1,6.29
Ismaël Diomandé,Konyaspor, 28, D(C),DMC,,10(5),821,1,-,6,-,1.2,83.5,1.2,-,6.29
Ahmed Ildiz,Yeni Malatyaspor, 24, M(C),,,19(16),1738,1,-,3,-,0.5,84.1,0.8,-,6.29
Halil Pehlivan,Genclerbirligi, 27, D(CL),,,17(6),1481,-,2,2,-,0.1,79.7,0.6,-,6.29
Omurcan Artan,Genclerbirligi, 21, D(R),,,8(3),617,-,1,4,-,-,61.1,0.5,-,6.29
Murat Yildirim,Genclerbirligi, 34, M(CL),,,16(14),1509,1,4,6,-,0.3,85.6,0.2,-,6.28
Jody Lukoki,Yeni Malatyaspor, 28, AM(R),,,3(7),333,-,1,3,-,0.4,67.1,0.1,-,6.28
Gorkem Can,Denizlispor, 21, Defender,,,1(2),126,-,-,-,-,-,78.4,0.3,-,6.28
Murat Sarigül,Fatih Karagumruk, 20, Defender,,,1(2),103,-,-,1,-,-,76.3,0.3,-,6.28
Fernando,Rizespor, 28, AM(LR),FW,,16(13),1262,2,3,4,1,0.7,83.5,0.2,-,6.27
Jorge Félix,Sivasspor, 29, Midfielder,,,1(16),269,2,-,-,-,0.5,88.1,0.3,-,6.27
Jimmy Durmaz,Galatasaray, 32, M(CLR),,,0(1),10,-,-,-,-,1,90.9,-,-,6.27
Kartal Kayra Yilmaz,Besiktas, 20, Midfielder,,,0(1),8,-,-,-,-,-,66.7,-,-,6.27
Mirkan Aydin,Hatayspor, 33, Forward,,,0(8),80,1,-,-,-,0.5,60.9,1,-,6.26
Hasan Ayaroglu,Alanyaspor, 26, Midfielder,,,0(1),11,-,-,-,-,1,100,1,-,6.26
Zakarya Bergdich,Denizlispor, 32, D(L),M(L),,13(4),1228,-,-,4,-,0.1,78.6,0.9,-,6.26
Omar Imeri,Antalyaspor, 21, Midfielder,,,5(11),594,-,-,-,-,0.3,72.2,0.1,-,6.26
Bogdan Butko,Erzurum BB, 30, D(R),,,7(3),707,-,-,1,-,-,77.7,0.9,-,6.25
Dusan Jovancic,Rizespor, 30, DMC,,,0(4),38,-,1,-,-,-,84,-,-,6.25
Kemal Ademi,Fenerbahce, 25, FW,,,1(6),174,-,1,1,-,0.3,59.1,0.9,-,6.25
Kerim Frei,Istanbul Basaksehir, 27, AM(LR),,,1(6),163,-,-,1,-,0.1,80.7,0.1,-,6.25
Harun Tekin,Fenerbahce, 31, GK,,,7,541,-,-,2,-,-,73.9,0.3,-,6.25
Brown Ideye,Goztepe, 32, FW,,,11(19),1084,2,3,2,-,0.6,71,0.9,-,6.25
Erdon Daci,Konyaspor, 22, AM(L),FW,,6(13),702,2,-,3,-,0.9,72.6,0.4,1,6.25
Guilherme,Trabzonspor, 30, D(L),M(CR),,1(1),90,-,-,-,-,-,84.4,-,-,6.25
Hadi Sacko,Denizlispor, 27, AM(LR),,,16(11),1368,2,2,3,1,0.7,77.7,0.8,-,6.24
Batuhan Kirdaroglu,Goztepe, 20, Midfielder,,,0(1),8,-,-,-,-,-,83.3,1,-,6.24
Deniz Türüç,Fenerbahce, 28, M(CLR),,,2(1),151,-,-,-,-,2,91.1,1,-,6.24
Jeremain Lens,Besiktas, 33, M(CLR),FW,,0(2),39,1,-,1,-,1.5,72,-,-,6.24
André,Gaziantep FK, 30, FW,,,4(15),579,2,-,1,-,0.7,70.7,0.5,-,6.23
Ismail Yüksek,Fenerbahce, 22, Midfielder,,,0(1),12,-,-,-,-,1,66.7,-,-,6.23
Rashad Muhammed,Erzurum BB, 27, FW,,,8(5),672,1,-,2,-,1.3,73,0.2,-,6.23
Ahmet Oguz,Kasimpasa, 28, D(R),,,1(5),78,-,2,1,-,-,65.1,0.5,-,6.23
Olcay Sahan,Yeni Malatyaspor, 34, M(CLR),,,4(8),363,-,-,2,-,0.3,66.9,-,-,6.22
Oguz Guctekin,Konyaspor, 22, DMC,,,7(12),751,-,-,3,-,0.2,91.5,0.2,-,6.22
Assane Dioussé,Ankaragucu, 23, DMC,,,9(11),841,-,-,3,-,0.4,84.3,0.5,-,6.22
Emirhan Kascioglu,Denizlispor, 20, Midfielder,,,1(2),147,-,-,1,-,0.3,69,1.3,-,6.22
Mevlüt Erdinç,Fatih Karagumruk, 34, FW,,,9(21),1023,3,1,3,-,1.2,70.3,0.9,-,6.22
Idriz Voca,Ankaragucu, 24, DMC,,,13(13),1311,-,-,3,-,0.3,82.6,0.4,-,6.22
Furkan Soyalp,Gaziantep FK, 25, M(C),,,2(20),427,1,-,1,-,0.3,70.9,0.3,-,6.22
Yasin Öztekin,Sivasspor, 34, M(LR),,,4(9),498,-,-,1,-,0.6,76.7,0.3,-,6.21
Berat Kalkan,Kasimpasa, 18, Midfielder,,,0(1),3,-,-,-,-,-,-,-,-,6.21
Hasan Yesilyurt,Kasimpasa, 20, Forward,,,0(3),36,-,-,-,-,0.3,76.2,0.3,-,6.21
Valentine Ozornwafor,Galatasaray, 22, Defender,,,0(1),8,-,-,-,-,-,100,1,-,6.21
Feyzi Yildirim,Kasimpasa, 25, Defender,,,3(7),422,1,-,2,-,0.1,75,0.4,-,6.21
Ali Yavuz Kol,Denizlispor, 20, Forward,,,4(4),308,-,-,2,1,0.6,78.6,0.1,-,6.21
Zvonimir Kozulj,Gaziantep FK, 27, Midfielder,,,3(15),469,-,-,2,-,0.4,76.3,0.3,-,6.21
Gökhan Karadeniz,Hatayspor, 31, AM(C),,,6(3),451,-,2,-,2,0.9,80.4,0.7,-,6.21
Yasin Pehlivan,Rizespor, 32, DMC,,,8(9),774,1,-,10,1,0.1,88.7,0.4,-,6.21
Kemal Ademi,Fatih Karagumruk, 25, FW,,,4(2),277,-,-,-,-,1.5,82.2,1.3,-,6.21
Casimir Ninga,Sivasspor, 28, AM(LR),FW,,5(11),466,-,-,1,-,0.5,82.8,0.6,-,6.20
Azubuike Okechukwu,Istanbul Basaksehir, 24, DMC,,,6(5),560,-,-,1,-,0.1,87.5,0.5,-,6.20
Berk Yildiz,Yeni Malatyaspor, 25, Midfielder,,,0(2),54,-,-,-,-,-,75,0.5,-,6.20
Emre Colak,Fatih Karagumruk, 30, M(CLR),,,0(9),145,-,1,1,-,0.4,86.9,-,-,6.20
Muhammed Egemen Pehlivan,Fatih Karagumruk, 21, Midfielder,,,1(7),140,-,-,-,-,0.4,83.9,0.1,-,6.20
Ahmed Yasin,Denizlispor, 30, AM(LR),,,3(4),308,-,-,-,-,0.4,83.3,0.1,-,6.20
Ravil Tagir,Istanbul Basaksehir, 18, Defender,,,3(4),288,-,-,-,-,-,95.2,0.3,-,6.19
Bora Kadioglu,Fatih Karagumruk, 19, Midfielder,,,0(1),3,-,-,-,-,-,100,-,-,6.19
Eric Ndizeye,Yeni Malatyaspor, 21, Defender,,,0(2),25,-,-,-,-,-,33.3,1,-,6.19
Omer Uzun,Kayserispor, 21, Forward,,,1(1),104,-,-,-,-,1,40.9,2.5,-,6.19
Muhammet Özkal,Denizlispor, 21, D(C),,,10(8),1032,-,-,1,-,0.4,86.2,0.6,-,6.19
Mustafa Çeçenoglu,Genclerbirligi, 27, Midfielder,,,1(5),204,-,-,-,-,0.8,63.2,-,-,6.19
