Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Damien Marcq,Zulte Waregem, 32, M(C),,,26(1),2161,-,2,5,1,0.5,79.1,2.1,-,6.92
Michael Murillo,Anderlecht, 25, D(CR),,,33(3),3032,4,4,6,-,0.8,81.1,1.5,2,6.92
Saad Agouzoul,Royal Excel Mouscron, 23, D(C),,,33,2970,1,1,8,-,0.7,69.9,3.1,-,6.91
Louis Patris,OH Leuven, 19, Defender,,,2,180,-,-,-,-,-,82.1,1.5,-,6.90
Ilombe Mboyo,Kortrijk, 34, FW,,,19,1684,8,4,2,-,2.2,66.2,2.4,2,6.90
Stef Peeters,Eupen, 29, DMC,,,33,2915,3,4,9,-,1.6,78.7,0.5,2,6.90
Jere Uronen,Genk, 26, D(L),M(L),,21(1),1881,-,1,3,-,0.6,81.5,0.8,-,6.90
Jean Marcelin,Cercle Bruges, 21, D(C),,,20,1714,1,-,8,-,0.8,86.2,2.2,-,6.90
Osman Bukari,Gent, 22, AM(R),FW,,18(7),1617,4,4,3,-,2.1,75,0.3,1,6.90
Mergim Vojvoda,Standard Liege, 26, D(CR),M(R),,3,270,-,-,1,-,-,84.8,2,-,6.90
Paul Mukairu,Anderlecht, 21, AM(LR),FW,,15(10),1280,2,2,2,-,1.1,82.2,0.4,2,6.89
Kylian Hazard,Cercle Bruges, 25, AM(L),,,15(3),1259,1,3,3,-,1.4,79.1,0.4,-,6.89
Collins Fai,Standard Liege, 28, D(R),M(R),,15(2),1321,-,4,5,-,0.5,77.5,1.4,-,6.89
Simon Deli,Club Bruges, 29, D(C),,,11(2),969,1,-,2,-,0.5,84.3,1.9,-,6.89
Smail Prevljak,Eupen, 26, FW,,,23(4),1955,15,3,3,-,2.6,77,0.4,3,6.89
Casper de Norre,OH Leuven, 24, D(L),M(L),,23,2020,1,3,3,-,0.7,79.3,0.2,-,6.88
Giorgi Chakvetadze,Gent, 21, AM(L),,,2(1),176,-,-,1,-,1.7,83.1,0.3,-,6.88
Alessandro Ciranni,Royal Excel Mouscron, 24, D(R),,,31,2760,1,2,9,-,0.6,68.7,0.5,1,6.88
Nordin Jackers,Waasland-Beveren, 23, GK,,,28,2520,-,-,1,-,-,61.8,0.5,3,6.88
Ibrahima Seck,Zulte Waregem, 31, DMC,,,30(1),2680,2,3,7,-,1.1,76,4.9,1,6.87
Jack Hendry,Oostende, 26, D(C),,,26(1),2337,2,1,4,-,0.3,85.1,3,-,6.87
Didier Lamkel Ze,Royal Antwerp, 24, FW,,,19(2),1730,8,4,6,-,2.3,72.9,3,2,6.87
Dino Hotic,Cercle Bruges, 25, AM(CR),,,26(6),2294,4,3,3,-,1.4,83.9,0.6,1,6.87
Tarik Tissoudali,Gent, 28, AM(L),FW,,5(4),514,4,1,-,-,1.3,72.1,0.3,1,6.87
Zinho Gano,Kortrijk, 27, FW,,,9(2),812,6,1,-,-,2,62.1,3.7,-,6.87
Niklas Dorsch,Gent, 23, DMC,,,23(6),2080,3,2,6,-,0.6,87.9,0.4,1,6.87
Bogdan Mykhaylichenko,Anderlecht, 24, D(L),,,23,2054,1,1,3,-,0.5,82,1.5,2,6.86
Jérémy Taravel,Cercle Bruges, 34, D(C),,,18,1557,1,3,4,-,0.4,81.5,1.3,-,6.86
Ognjen Vranjes,Sporting Charleroi, 31, D(CR),,,9,797,-,-,1,-,0.6,82.7,3.4,-,6.85
Ike Ugbo,Cercle Bruges, 22, FW,,,32,2738,16,-,4,-,1.8,73.5,2.1,3,6.85
Christian Brüls,St.Truiden, 32, AM(CLR),,,12(2),965,1,3,1,-,1.7,77.6,1,1,6.85
Daiki Hashioka,St.Truiden, 22, Defender,,,5(1),476,-,3,1,-,1,79.1,2.2,-,6.85
