Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Mark Connolly,Dundee United, 29, D(C),,,21(2),1961,-,-,4,-,0.8,70.7,4.1,1,6.84
Zdenek Zlamal,St. Johnstone, 35, GK,,,2,180,-,-,-,-,-,45.2,-,-,6.82
Diego Laxalt,Celtic, 28, D(L),M(CL),,13(4),1231,1,-,1,-,1.1,77.3,1.2,-,6.82
Joe Shaughnessy,St. Mirren, 28, D(C),,,30,2628,1,1,5,1,0.8,68.7,5.3,2,6.82
Jonny Hayes,Aberdeen, 33, M(LR),,,34,2881,2,3,4,-,0.6,72.4,1.1,-,6.82
Andrew Considine,Aberdeen, 34, D(C),,,36,3236,1,1,6,1,0.4,75.2,3.6,1,6.82
Jordan Jones,Rangers, 26, AM(CR),,,2(1),152,1,-,-,-,1,86.3,-,-,6.82
Scott Tanser,St. Johnstone, 26, D(L),M(L),,23(7),2058,2,-,1,-,0.7,59.4,3.4,-,6.82
Scott Brown,Celtic, 35, DMC,,,25(6),2133,1,2,6,1,0.6,88.4,1.2,1,6.82
Kyle Gourlay,Hamilton Academical, 22, GK,,,5(1),477,-,-,-,-,-,31.2,-,-,6.82
Ricki Lamie,Motherwell, 27, D(C),,,22(4),1994,-,-,4,-,0.3,64.1,4.2,-,6.81
Alexandros Gogic,Hibernian, 27, DMC,,,30(4),2657,1,-,8,-,0.5,68.2,3.4,1,6.80
Shaun Want,Hamilton Academical, 24, D(C),,,11,907,-,-,1,-,0.5,68.2,3.2,1,6.79
Alan Power,Kilmarnock, 33, DMC,,,27,2394,1,2,13,-,0.7,76,1.6,2,6.78
Nicky Devlin,Livingston, 27, D(R),M(R),,35(1),3130,2,2,7,-,0.5,60.2,2.9,1,6.77
Ismaila Soro,Celtic, 23, DMC,,,11(8),1029,1,1,2,-,0.4,90,0.5,1,6.77
Adrián Spörle,Dundee United, 25, D(L),M(L),,12(8),1037,4,2,-,-,1.2,69.3,0.9,1,6.77
Chris Burke,Kilmarnock, 37, AM(R),,,24(8),2138,8,3,2,-,1.6,77.2,0.1,2,6.76
Zdenek Zlamal,St. Mirren, 35, GK,,,3,270,-,-,-,-,-,38.4,0.3,-,6.76
Kirk Broadfoot,Kilmarnock, 36, D(CR),,,26,2296,-,-,1,-,0.8,66.1,3.7,-,6.74
Ofir Marciano,Hibernian, 31, GK,,,32,2847,-,-,-,-,-,56.8,0.3,2,6.74
Alistair McCann,St. Johnstone, 21, AM(C),,,32(2),2901,2,2,7,-,0.9,74.4,1.6,-,6.74
Julien Serrano,Livingston, 23, D(L),M(L),,19(5),1805,1,3,3,-,0.5,54.4,2,-,6.74
Jamie Murphy,Hibernian, 31, AM(CL),FW,,14(5),1223,1,1,-,-,1.2,78.3,0.4,-,6.74
David Gray,Hibernian, 33, Defender,,,1(1),87,-,-,-,-,-,73.3,1,-,6.74
Liam Craig,St. Johnstone, 34, DMC,,,18(5),1621,3,3,7,1,1,65.7,1.6,2,6.73
