Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Kevin Gameiro,Valencia, 34, FW,,,10(17),1070,4,1,-,-,0.6,77.4,0.4,-,6.24
Idrissa Doumbia,SD Huesca, 23, DMC,,,7(16),770,-,-,4,-,0.2,92,0.3,-,6.24
Toni Lato,Valencia, 23, D(L),,,8(7),727,1,-,3,-,0.1,77.1,0.6,-,6.24
Fede Vico,Granada, 26, M(CLR),,,9(11),768,-,-,1,-,0.5,73.6,0.2,-,6.23
Edgar Sevikyan,Levante, 19, Midfielder,,,0(1),7,-,-,-,-,-,75,-,-,6.23
Álex Baena,Villarreal, 19, Midfielder,,,2(4),137,-,-,-,-,0.3,84.3,-,-,6.23
Omenuke Mfulu,Elche, 27, M(C),,,9(11),789,-,-,4,-,0.2,87.2,0.5,-,6.23
Kiko Olivas,Real Valladolid, 32, D(C),,,1(4),173,-,-,1,-,-,85.6,0.4,-,6.23
Chema Rodríguez,Getafe, 29, D(CL),,,7(3),557,-,-,3,1,0.3,61.1,1,1,6.22
Dani Raba,Villarreal, 25, AM(CR),,,1(4),146,-,-,-,-,1.2,78.7,0.2,-,6.22
Oussama Idrissi,Sevilla, 25, AM(LR),,,0(3),24,-,-,-,-,0.3,75,-,-,6.22
Dani Escriche,SD Huesca, 23, Forward,,,7(16),851,1,1,5,1,0.4,73.5,0.7,-,6.22
Álvaro Bravo,Granada, 23, Midfielder,,,0(1),14,-,-,-,-,-,88.9,1,-,6.22
Rodrigo Sánchez,Real Betis, 21, Midfielder,,,5(10),532,-,-,-,-,0.3,85.7,0.1,-,6.22
Guillem Molina,Valencia, 21, Defender,,,1(1),153,-,-,1,-,-,78.6,2.5,-,6.22
Luka Jovic,Real Madrid, 23, FW,,,2(2),149,-,-,-,-,1.5,84.6,0.8,-,6.22
Jesús Vallejo,Granada, 24, D(C),,,15(6),1349,-,-,2,1,-,72.7,1,-,6.21
Martin Ødegaard,Real Madrid, 22, AM(CR),,,3(4),233,-,-,-,-,0.4,88.9,-,-,6.21
Jon Ander Garrido,Cadiz, 31, M(C),,,7(16),792,-,-,1,-,0.2,78.5,1,-,6.21
Iñigo Pérez,Osasuna, 33, D(L),M(CL),,16(6),1356,-,-,2,1,0.4,73.8,0.5,-,6.21
Nehuen Pérez,Granada, 20, D(C),,,9(5),740,-,-,4,-,0.4,76,1.1,-,6.21
Pablo Piatti,Elche, 32, M(LR),,,3(6),359,-,-,1,-,0.4,80.6,0.1,-,6.21
Ante Palaversa,Getafe, 21, M(C),,,0(2),7,-,-,-,-,-,57.1,-,-,6.21
Cifu,Elche, 30, Defender,,,4(7),449,-,-,1,-,0.3,76.1,0.5,-,6.20
Jairo Izquierdo,Cadiz, 27, Midfielder,,,11(19),1270,1,-,4,-,0.3,75.3,0.3,-,6.20
Iñigo Córdoba,Deportivo Alaves, 24, AM(L),,,3(4),216,-,-,-,-,0.1,65.7,0.9,-,6.20
Jordan Holsgrove,Celta Vigo, 21, Midfielder,,,0(5),142,-,-,-,-,0.2,89.1,-,-,6.20
Loren Morón,Real Betis, 27, FW,,,10(17),984,1,-,3,-,0.9,63.2,1.2,-,6.20
Luisinho,SD Huesca, 36, D(L),M(L),,2(3),178,-,-,1,-,0.2,82.4,0.4,-,6.20
Takefusa Kubo,Villarreal, 19, AM(CLR),,,2(11),293,-,-,-,1,0.6,77.8,-,-,6.19
Franco Vázquez,Sevilla, 32, AM(CLR),FW,,1(14),154,1,-,1,-,0.2,90.2,0.7,-,6.19
Ángel Rodríguez,Getafe, 34, FW,,,12(21),1364,5,-,4,-,1.2,69.7,0.7,1,6.19
Jon Bautista,Real Sociedad, 25, FW,,,0(21),353,-,1,3,-,0.6,61.4,1.1,-,6.19
Abdallahi Mahmoud,Deportivo Alaves, 21, Midfielder,,,1(1),66,-,-,-,-,-,86.7,0.5,-,6.19
José Manuel Fontán,Celta Vigo, 21, Defender,,,7(7),652,-,-,1,1,0.4,83.7,0.4,-,6.19
Hugo Duro,Real Madrid, 21, FW,,,0(2),53,-,-,-,-,0.5,85.7,0.5,-,6.19
Iñigo Córdoba,Athletic Bilbao, 24, AM(L),,,1(2),95,-,-,-,-,0.7,48.4,0.7,-,6.18
Kenan Kodro,Real Valladolid, 27, FW,,,4(10),453,-,-,1,-,0.4,65.5,1.6,-,6.18
Kingsley Fobi,Granada, 22, Defender,,,0(1),45,-,-,-,-,-,66.7,-,-,6.18
Vitolo,Atletico, 31, M(CLR),FW,,4(7),295,-,-,2,-,0.2,84.5,0.3,-,6.18
Javier López,Deportivo Alaves, 19, Defender,,,2(8),245,-,-,1,1,0.1,81.8,0.2,-,6.18
Urko Gonzalez,Real Sociedad, 20, Defender,,,1(1),47,-,-,1,-,-,90.3,-,-,6.17
Miguel Baeza,Celta Vigo, 21, Midfielder,,,4(18),532,1,-,-,-,0.5,82.1,0.4,-,6.17
Manuel Nieto,Cadiz, 23, Forward,,,0(2),12,-,-,-,-,0.5,100,0.5,-,6.17
Moussa Dembele,Atletico, 24, FW,,,0(5),95,-,-,-,-,1.2,64.5,1,-,6.16
Juan Sánchez Miño,Elche, 31, D(L),M(CL),,5(4),497,-,-,2,-,-,84,0.3,-,6.16
Sergio León,Levante, 32, FW,,,6(22),734,2,-,1,-,0.7,71.1,0.4,-,6.16
Augusto Fernández,Cadiz, 35, M(CR),,,4(8),366,-,-,1,-,-,77.1,0.3,-,6.15
Ricard Sánchez,Atletico, 21, Defender,,,0(1),29,-,-,-,-,1,61.5,-,-,6.15
