Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Sebastián Assis,Union, 28, Midfielder,,,1(1),98,-,-,-,-,0.5,73.4,1,-,6.05
Joaquín Arzura,Huracan, 28, DMC,,,2(1),154,-,-,1,-,-,67.3,0.7,-,6.05
Nahuel Barrios,Defensa y Justicia, 23, AM(CL),,,0(2),51,-,-,-,-,0.5,71,-,-,6.05
Cristian Chávez,Independiente, 33, AM(L),FW,,0(7),119,-,-,-,-,0.4,70.8,0.1,-,6.04
Franco Ibarra,Argentinos Juniors, 20, Midfielder,,,0(1),11,-,-,-,-,-,100,-,-,6.04
Nicolás Leguizamón,Defensa y Justicia, 26, FW,,,0(1),5,-,-,-,-,-,100,-,-,6.04
Tomás Andrade,Argentinos Juniors, 24, AM(C),,,0(3),48,-,-,-,-,0.3,70.4,-,-,6.03
Claudio Villagra,Banfield, 25, Forward,,,0(3),32,-,-,-,-,0.3,70,-,-,6.02
Agustín Álvarez,Godoy Cruz, 21, Defender,,,1(1),98,-,-,-,-,-,53.8,-,-,6.02
Francesco Lo Celso,Rosario Central, 21, Midfielder,,,0(1),11,-,-,1,-,-,40,-,-,6.02
Israel Damonte,Banfield, 39, DMC,,,1(3),111,-,-,1,-,-,71.4,0.5,-,6.02
Francisco Silva,Independiente, 35, D(C),M(C),,0(1),18,-,-,-,-,-,50,-,-,6.01
Matías Caruzzo,Argentinos Juniors, 36, D(C),,,1(1),91,-,-,-,-,0.5,90.6,0.5,-,6.01
Victor Ramis,Argentinos Juniors, 26, AM(LR),FW,,0(5),28,-,-,-,-,0.2,25,0.2,-,6.01
Facundo Farías,Colon, 18, Midfielder,,,0(2),35,-,-,-,-,-,90,-,-,6.01
Carlos Alcaraz,Racing Club, 18, Midfielder,,,0(1),11,-,-,-,-,-,100,-,-,6.00
Cristian Núñez,Velez Sarsfield, 23, Midfielder,,,0(1),7,-,-,-,-,-,-,-,-,6.00
Elías Pereyra,San Lorenzo, 22, D(L),,,1,61,-,-,-,-,-,88.5,-,-,6.00
Mauro Barraza,Central Cordoba de Santiago,,,,,0(2),30,-,-,-,-,0.5,60,-,-,6.00
Nicolás Avellaneda,Defensa y Justicia, 28, Goalkeeper,,,1,1,-,-,1,-,-,-,-,-,6.00
Leonel Ferroni,Central Cordoba de Santiago,,,,,1,46,-,-,-,-,2,66.7,-,-,5.99
Rodrigo Cabral,Huracan, 20, Forward,,,0(2),25,-,-,-,-,0.5,62.5,0.5,-,5.99
Sebastián Cocimano,Gimnasia LP, 21, Forward,,,0(2),49,-,-,1,-,1,41.7,0.5,-,5.99
Tobías Zarate,Velez Sarsfield, 20, Forward,,,0(3),8,-,-,-,-,-,100,-,-,5.97
Fabián Bordagaray,Banfield, 34, AM(R),FW,,0(1),7,-,-,-,-,-,-,-,-,5.97
Jorge Ortega,Colon, 30, Forward,,,0(1),31,-,-,-,-,1,57.1,1,-,5.97
Juan Miritello,Defensa y Justicia, 22, Midfielder,,,0(1),14,-,-,-,-,-,50,1,-,5.96
Néstor Ortigoza,Rosario Central, 36, M(C),,,0(2),37,-,-,-,-,-,74.3,-,-,5.96
Luca Andrada,Racing Club, 20, Midfielder,,,0(2),72,-,-,1,-,1,73.3,-,-,5.94
Faustino Dettler,Patronato de Parana, 22, Midfielder,,,0(1),11,-,-,-,-,-,33.3,-,-,5.92
Favio Cabral,Talleres, 20, Forward,,,0(1),21,-,-,-,-,-,50,-,-,5.92
Franco Godoy,Union, 20, Defender,,,1(1),94,-,-,1,-,-,76.6,1,-,5.90
Lucas Ambrogio,Argentinos Juniors, 21, Forward,,,0(1),4,-,-,-,-,-,100,-,-,5.90
Brian Fernández,Colon, 26, FW,,,0(1),31,-,-,-,-,1,87.5,1,-,5.89
Fernando Cosciuc,Huracan, 23, Defender,,,0(1),13,-,-,-,-,-,100,-,-,5.89
Braian Maidana,Huracan, 21, Defender,,,0(1),9,-,-,-,-,1,83.3,-,-,5.88
Francisco González,Newell's Old Boys, 20, Forward,,,0(1),6,-,-,-,-,-,-,-,-,5.86
Rodrigo Contreras,Aldosivi, 25, FW,,,0(3),101,-,-,1,-,0.7,57.1,1,-,5.86
Agustin Hausch,San Lorenzo, 18, Forward,,,0(1),45,-,-,1,-,-,85.7,-,-,5.82
Hernán Burbano,Aldosivi, 33, Midfielder,,,0(3),65,-,-,-,1,-,66.7,-,-,5.74
Rodrigo Villagra,Rosario Central, 20, Midfielder,,,0(1),14,-,-,1,-,-,85.7,-,-,5.72
Marcos Peano,Union, 22, Goalkeeper,,,3,270,-,-,-,-,-,54.8,1,-,5.70
Marcelo Herrera,Defensa y Justicia, 29, D(C),,,2,136,-,-,1,-,0.5,86.5,1,-,5.67
Nelson Insfrán,Gimnasia LP, 26, Goalkeeper,,,2,119,-,-,-,1,-,45.8,-,-,5.26
Khalil Caraballo,Gimnasia LP, 22, Forward,,,0(1),7,-,-,-,1,-,100,2,-,5.16
