Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Devyne Rensch,Ajax, 18, D(R),,,12(6),897,3,2,-,-,0.4,85.4,0.1,2,6.95
Mike Trésor,Willem II, 22, AM(CL),,,28(6),2434,4,11,3,-,1.4,75,0.3,2,6.94
Ko Itakura,FC Groningen, 24, D(C),,,34,3060,1,1,3,-,0.4,87.9,2.1,-,6.94
Azor Matusiwa,FC Groningen, 23, DMC,,,21(1),1729,-,-,2,1,0.1,83.3,0.9,3,6.93
Maarten Stekelenburg,Ajax, 38, GK,,,12,1080,-,-,-,-,-,79.3,0.2,1,6.93
Luis Sinisterra,Feyenoord, 21, AM(L),FW,,13(7),1214,3,5,3,-,1.3,85.1,1.1,-,6.92
Dirk Abels,Sparta Rotterdam, 23, D(R),,,28(3),2509,1,3,3,-,0.2,75.2,1.1,-,6.92
Queensy Menig,Twente, 25, AM(LR),FW,,31(1),2604,8,2,3,-,2.1,69.3,0.7,2,6.92
Jørgen Strand Larsen,FC Groningen, 21, FW,,,28(2),2312,9,5,1,-,1.9,54.4,4.3,3,6.91
Maximilian Wittek,Vitesse, 25, D(L),M(LR),,32,2735,1,2,5,-,1.5,78.6,0.8,-,6.91
Ridgeciano Haps,Feyenoord, 27, D(L),M(L),,13(8),1270,3,2,1,-,0.8,83.8,0.8,2,6.91
Jonas Svensson,AZ Alkmaar, 28, D(R),DMC,,17(1),1414,-,3,3,1,0.2,84.6,0.9,-,6.90
Laros Duarte,Sparta Rotterdam, 24, DMC,,,10(7),985,2,1,3,-,1.1,80.4,0.6,3,6.90
Eli Dasa,Vitesse, 28, D(R),M(R),,30,2669,-,6,2,-,0.4,79.6,0.5,1,6.90
Miguel Araujo,FC Emmen, 26, D(C),,,33,2962,4,1,3,-,0.8,84.9,2.3,2,6.89
Mohammed Kudus,Ajax, 20, M(C),,,8(9),800,4,3,3,-,1.2,90.7,0.3,1,6.89
Django Warmerdam,FC Utrecht, 25, D(L),M(CL),,33,2898,-,2,-,-,0.4,78.8,1.2,-,6.89
Robin Pröpper,Heracles, 27, D(C),DMC,,30,2661,1,3,5,-,0.4,82.6,2.6,1,6.89
Noni Madueke,PSV Eindhoven, 19, FW,,,7(17),960,7,4,1,-,1.3,86.3,0.4,3,6.89
Benson Manuel,PEC Zwolle, 24, AM(L),,,9(4),806,-,4,1,-,1.8,80.7,0.3,1,6.89
Xandro Schenk,Twente, 28, D(CL),,,3,270,-,-,-,-,0.7,72.9,3,-,6.89
Milan van Ewijk,ADO Den Haag, 20, D(R),,,33,2919,1,3,5,-,0.3,74.4,0.9,3,6.89
Ahmed Touba,RKC Waalwijk, 23, D(C),,,32,2877,3,1,5,-,0.8,81.1,2.9,2,6.89
Jordy Clasie,AZ Alkmaar, 29, D(C),DMC,,4(4),391,1,-,-,-,0.6,92.6,0.8,1,6.89
Bart van Hintum,FC Groningen, 34, D(CL),,,29(2),2514,2,3,5,-,0.3,80.4,1.3,2,6.89
Willem Janssen,FC Utrecht, 34, D(C),M(C),,20(2),1709,-,-,5,-,0.6,85,2.6,-,6.88
David Neres,Ajax, 24, AM(CLR),,,10(15),1165,3,6,2,-,1,82.8,0.2,-,6.88
Ryan Thomas,PSV Eindhoven, 26, M(CL),,,11(5),903,1,2,-,-,0.6,82.2,0.9,-,6.88
Bart Vriends,Sparta Rotterdam, 30, D(C),,,23,2020,-,-,1,-,0.6,78.2,3.1,1,6.87
Quincy Promes,Ajax, 29, M(CLR),FW,,10(9),1020,6,-,-,-,2.5,88.9,0.1,-,6.87
Tibor Halilovic,SC Heerenveen, 26, M(C),,,19,1490,2,-,-,-,0.9,83.4,0.7,-,6.87
Mats Seuntjens,Fortuna Sittard, 29, M(CLR),FW,,28(3),2477,6,6,7,-,1.7,72,0.8,2,6.87
Hidde ter Avest,FC Utrecht, 24, D(R),M(R),,18,1427,2,3,-,-,1,78.6,1.3,-,6.87
Glenn Bijl,FC Emmen, 25, D(R),DMC,,30,2573,2,2,5,1,1.4,80.2,1.9,1,6.86
Sondre Tronstad,Vitesse, 25, M(CR),,,22(1),1792,2,1,5,-,0.3,86.1,1.1,-,6.86
Danilho Doekhi,Vitesse, 22, D(C),,,32,2880,1,1,1,-,0.5,85.5,3.1,1,6.86
Justin Bijlow,Feyenoord, 23, GK,,,14,1260,-,-,-,-,-,67.3,0.4,1,6.86
Jeff Hardeveld,Heracles, 26, D(CL),,,10(4),939,-,-,1,-,0.3,75.2,0.6,-,6.86
Sai van Wermeskerken,PEC Zwolle, 26, D(LR),,,22,1975,-,3,-,-,1.2,81.2,0.9,-,6.86
