Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Ademir,America MG, 26, Forward,,,0(1),10,-,-,-,-,-,100,-,-,6.00
Eltinho,Juventude, 33, D(L),,,0(1),1,-,-,-,-,-,-,-,-,6.00
Elton,Juventude, 31, DMC,,,0(1),1,-,-,-,-,-,-,-,-,6.00
Baralhas,Atletico GO, 22, Midfielder,,,0(1),1,-,-,-,-,-,-,-,-,6.00
Guilherme Azevedo,Gremio, 20, Forward,,,0(1),1,-,-,-,-,-,-,-,-,6.00
Nonato,Internacional, 23, AM(C),,,0(1),17,-,-,-,-,-,71.4,-,-,6.00
José Welison,Sport Recife, 26, D(R),DMC,,0(1),1,-,-,-,-,-,100,-,-,6.00
Júnior Alonso,Atletico MG, 28, D(CL),,,1,90,-,-,-,-,-,88.5,1,-,6.00
Laércio Soldá,Chapecoense AF, 28, D(C),,,1,90,-,-,-,-,1,91.4,-,-,6.00
Rodrigo Muniz,Flamengo, 20, Forward,,,0(1),1,-,-,-,-,-,100,1,-,6.00
Wendson,Ceara, 23, Forward,,,0(1),1,-,-,-,-,-,-,-,-,6.00
Adson,Corinthians, 20, Midfielder,,,0(1),17,-,-,-,-,-,84.6,-,-,5.99
Marcos Leonardo,Santos FC, 18, FW,,,0(1),6,-,-,-,-,-,100,-,-,5.99
Walter,Cuiaba, 33, GK,,,1,90,-,-,-,-,-,88.6,-,-,5.99
Ângelo Gabriel,Santos FC, 16, Forward,,,0(1),4,-,-,-,-,-,50,-,-,5.97
Lucas Braga,Santos FC, 24, AM(LR),,,1,86,-,-,-,-,-,90,-,-,5.97
Wellington Paulista,Fortaleza, 37, AM(R),FW,,1,66,-,-,1,-,-,53.8,1,-,5.97
Matias Viña,Palmeiras, 23, D(L),,,1,76,-,-,1,-,-,69.2,-,-,5.96
Alan Empereur,Palmeiras, 27, D(C),,,1,90,-,-,-,-,2,82.8,-,-,5.94
Luan Garcia,Palmeiras, 28, D(C),,,1,90,-,-,-,-,-,86,-,-,5.94
Lucas Ramon,Cuiaba, 27, Defender,,,1,46,-,-,-,-,-,53.8,2,-,5.93
Hyoran,Atletico MG, 28, M(CLR),,,0(1),2,-,-,-,-,-,75,-,-,5.92
Thiago Galhardo,Internacional, 31, AM(CL),FW,,0(1),12,-,-,-,-,-,100,-,-,5.92
João Ricardo,Ceara, 32, GK,,,1,46,-,-,-,-,-,60,-,-,5.91
Nathan,Atletico MG, 25, M(CL),,,0(1),19,-,-,-,-,-,100,-,-,5.90
Pedrinho,Red Bull Bragantino, 21, Forward,,,0(1),2,-,-,-,-,1,100,-,-,5.90
Wesley Ribeiro,Palmeiras, 22, AM(L),,,0(1),28,-,-,1,-,-,40,-,-,5.89
Yony González,Ceara, 26, AM(LR),FW,,0(1),18,-,-,-,-,-,33.3,-,-,5.89
Kaio Jorge,Santos FC, 19, FW,,,1,84,-,-,-,-,-,86.7,-,-,5.88
Jô,Corinthians, 34, FW,,,0(1),7,-,-,-,-,1,50,1,-,5.87
Luan,Corinthians, 28, AM(CLR),FW,,1,83,-,-,1,-,3,80,-,-,5.87
Lima,Chapecoense AF, 22, Midfielder,,,0(1),45,-,-,-,-,2,80,-,-,5.86
Marcelo,Juventude, 31, Goalkeeper,,,1,90,-,-,-,-,-,64,2,-,5.84
Marcos Vinicios,Juventude, 20, Forward,,,0(1),14,-,-,-,-,-,66.7,1,-,5.84
Ángelo Araos,Corinthians, 24, AM(C),,,0(1),31,-,-,1,-,-,92.3,-,-,5.81
Carlos Palacios,Internacional, 20, Forward,,,0(1),6,-,-,1,-,1,100,-,-,5.77
Ronei,Chapecoense AF, 23, Midfielder,,,1,46,-,-,-,-,1,70,-,-,5.75
Titi,Fortaleza, 33, D(C),,,1,90,-,-,-,-,1,83.3,2,-,5.74
Derlan,Chapecoense AF, 25, Defender,,,1,90,-,-,-,-,-,85.3,-,-,5.72
Paulinho Moccelin,Sport Recife, 27, Forward,,,1,78,-,-,-,-,-,58.3,-,-,5.72
Anselmo Ramón,Chapecoense AF, 32, FW,,,1,90,-,-,-,-,-,70,-,-,5.69
Sander,Sport Recife, 30, D(L),,,1,46,-,-,-,-,-,68.2,3,-,5.69
Ruan,Gremio, 21, D(C),,,1,90,-,-,-,-,1,92.5,5,-,5.52
Nenê,Fluminense, 39, AM(CLR),FW,,1,85,-,-,-,-,1,55.6,-,-,5.51
Kaiky,Santos FC, 17, Defender,,,1,74,-,-,-,-,-,86.7,1,-,5.43
João Paulo,Santos FC, 25, GK,,,1,90,-,-,-,-,-,85.2,-,-,5.21
