Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Alan McCormack,Southend, 37, D(R),DMC,,12(8),1012,-,-,6,-,0.9,70,0.7,-,6.40
Freddie Price,Morecambe, 19, Midfielder,,,2(9),236,1,1,1,-,0.7,55.2,0.5,-,6.40
Michael Folivi,Colchester, 23, FW,,,12(15),1109,5,1,1,-,0.9,63.2,0.9,-,6.40
Julien Lamy,Grimsby, 21, Forward,,,6(3),462,-,2,1,-,0.6,60.7,1,1,6.40
Remeao Hutton,Stevenage, 22, D(LR),,,20(6),1704,-,1,4,-,0.2,63.2,0.7,1,6.39
Callum Whelan,Oldham, 22, DMC,,,23(8),2017,-,2,1,-,0.5,82.7,0.2,-,6.39
Mark Oxley,Southend, 30, GK,,,41,3690,-,-,2,-,-,35.2,0.2,2,6.39
Ellis Chapman,Cheltenham, 20, DMC,,,9(12),998,-,-,1,-,0.1,71.2,0.8,-,6.39
Max Hunt,Carlisle, 22, Defender,,,0(2),70,-,-,-,-,-,48,2.5,-,6.39
Filipe Morais,Grimsby, 35, D(R),M(CLR),,13(3),1121,1,-,1,-,0.8,63.2,0.3,-,6.38
David Longe-King,Newport, 26, D(C),,,8(3),631,-,-,-,-,0.1,57.1,1.7,-,6.38
John McAtee,Scunthorpe, 21, AM(C),,,12(18),1245,1,2,1,-,0.7,71.6,0.2,-,6.38
Harry Kyprianou,Southend, 24, Defender,,,2(3),350,-,-,-,-,0.2,64,2.2,-,6.38
Marcus Dinanga,Stevenage, 23, Forward,,,5(1),429,1,-,-,-,2,69,2.2,-,6.38
Luke Spokes,Grimsby, 20, M(C),,,10(7),961,1,-,2,-,1.2,70.8,1.1,1,6.38
George Hornshaw,Scunthorpe, 21, D(R),,,7(1),582,-,-,2,-,0.1,63.8,1.5,-,6.38
Nigel Atangana,Exeter, 31, DMC,,,11(17),1071,-,2,2,-,0.2,67,1.4,-,6.38
Padraig Amond,Newport, 33, FW,,,26(18),2345,6,1,-,-,1.1,56.1,1.6,-,6.38
Ajibola Alese,Cambridge U, 20, D(C),,,1(1),89,-,-,-,-,1,62.5,-,-,6.38
Corey Blackett-Taylor,Tranmere, 23, AM(L),FW,,11(11),894,1,1,1,-,0.8,80,0.1,-,6.37
Lewis Collins,Newport, 20, FW,,,11(8),1091,2,1,2,-,0.9,66.3,0.6,-,6.37
Jordan Maguire-Drew,Leyton Orient, 23, AM(LR),,,3(10),438,2,1,1,-,1,61.9,0.2,-,6.37
Luke Gambin,Newport, 28, M(CL),,,5(6),446,1,2,-,-,0.9,70.5,0.2,-,6.37
Sam Hird,Barrow, 33, D(C),,,15,1223,1,-,2,1,0.4,71.4,2.1,-,6.37
Oliver Crankshaw,Bradford, 22, AM(LR),,,11(8),935,1,2,2,-,0.8,75.9,0.6,-,6.37
Zachary Dearnley,Oldham, 22, FW,,,6(9),553,6,-,-,-,1.3,71.8,0.2,-,6.37
Richard Taylor,Southend, 20, Defender,,,4(8),520,-,-,5,-,0.3,71.3,1.4,-,6.37
Myles Hippolyte,Scunthorpe, 26, M(L),,,15(11),1312,1,1,2,1,0.6,65.9,0.7,-,6.36
Dannie Bulman,Crawley, 42, DMC,,,4(2),344,-,-,-,-,0.3,75.8,1.2,-,6.36
Caolan Lavery,Walsall, 28, AM(R),FW,,22(19),2147,6,3,4,-,1,65.1,1.3,1,6.36
Taylor Allen,Forest Green, 20, Forward,,,2(3),205,-,-,-,-,0.6,70.5,0.6,-,6.36
Terrell Egbri,Southend, 19, AM(R),,,18(7),1701,1,2,2,-,0.7,74.6,0.2,1,6.36
Tom Lapslie,Colchester, 25, DMC,,,6(7),685,-,-,3,-,0.2,70.6,0.5,-,6.36
Harry Brockbank,Bolton, 22, D(R),M(L),,13(5),1071,-,-,4,-,0.7,73.7,1.6,-,6.35
Ricky Holmes,Southend, 33, AM(CR),,,8(6),657,-,2,-,-,0.9,62.6,1,-,6.35
Josh Davison,Forest Green, 21, FW,,,12(11),1008,4,-,1,-,0.6,56.8,1.3,1,6.35
Andrea Badan,Oldham, 23, D(L),,,12(7),1060,-,1,3,-,0.1,72.3,0.6,-,6.35
Tom Elliott,Salford City, 30, FW,,,3(11),428,-,-,2,-,0.6,51.6,4,-,6.35
Tom White,Bolton, 24, Midfielder,,,4(5),486,-,-,2,-,0.6,85,0.8,-,6.34
Liam Gordon,Bolton, 22, Defender,,,4(6),525,-,-,1,-,0.6,75.9,0.8,-,6.34
Callum Cockerill-Mollett,Walsall, 22, D(L),,,5(6),457,-,-,1,-,0.1,55.1,2.4,-,6.34
Greg Halford,Southend, 36, D(CR),M(CR),FW,9(7),854,1,-,3,1,0.6,56.3,3.7,-,6.34
Stuart Sinclair,Walsall, 33, M(C),,,9(8),758,-,-,-,-,0.2,66.7,1.4,-,6.34
Brendan Kiernan,Harrogate, 28, AM(LR),,,15(15),1554,4,-,-,-,1.4,71.8,0.1,1,6.34
Joe Adams,Grimsby, 20, Midfielder,,,3(3),253,1,1,1,-,0.5,68.8,0.2,1,6.34
Mark Ellis,Tranmere, 32, D(C),,,5(1),366,-,-,-,-,0.5,52.3,2.7,-,6.33
Jake Caprice,Exeter, 28, D(R),M(R),,13(21),1374,-,-,-,-,0.1,71.6,0.6,-,6.33
Matt Stevens,Forest Green, 23, FW,,,0(10),174,2,1,-,-,1,75,0.3,-,6.33
Nicky Maynard,Mansfield, 34, FW,,,9(8),764,3,-,2,-,1.5,72.5,0.5,1,6.33
Stuart Nelson,Crawley, 39, Goalkeeper,,,1,90,-,-,-,-,-,18.8,-,-,6.33
Jon Maxted,Exeter, 27, GK,,,9,810,-,-,1,-,-,40.2,0.2,-,6.33
Nicky Law,Exeter, 33, AM(CL),,,4(14),608,1,4,1,-,0.5,87.9,0.1,-,6.33
Frank Vincent,Walsall, 22, M(C),,,3(5),352,-,-,1,-,0.3,72.3,0.4,-,6.33
Nick Freeman,Leyton Orient, 25, AM(C),,,10(5),908,-,-,-,-,0.7,74,0.5,-,6.33
David Sesay,Crawley, 22, D(LR),,,5(8),549,-,-,-,1,0.5,58,1.2,-,6.33
Will Dean,Exeter, 20, Midfielder,,,2,180,-,-,-,-,0.5,60.8,4.5,-,6.32
Alex Hurst,Port Vale, 21, AM(L),,,13(7),1176,1,-,-,-,0.6,74.3,0.1,-,6.32
Alex Denny,Salford City, 21, DMC,,,4(5),410,-,-,1,-,0.1,78.7,1,-,6.32
Devarn Green,Scunthorpe, 24, AM(LR),,,23(13),1964,3,1,2,-,0.6,61.2,1.2,-,6.32
Kurtis Guthrie,Bradford, 28, FW,,,4(4),365,-,-,-,-,1,73.4,3,-,6.32
Luke Gambin,Colchester, 28, M(CL),,,6(5),570,-,-,2,-,0.3,80.7,0.3,-,6.31
Josh March,Forest Green, 24, FW,,,1(3),119,-,-,-,-,0.3,72.7,1,-,6.31
Danny Lloyd,Tranmere, 29, AM(CL),,,17(15),1520,3,2,3,-,0.9,67.4,0.3,-,6.31
Robbie Willmott,Newport, 31, M(CLR),,,5(14),666,-,-,2,-,0.3,73.7,0.3,-,6.31
Jamie Devitt,Newport, 30, AM(C),,,1(7),216,1,-,-,-,1.4,69.3,0.1,-,6.31
Matt Green,Grimsby, 34, AM(R),FW,,17(11),1419,3,-,3,-,0.8,56.2,2.3,-,6.31
Louis Dennis,Leyton Orient, 28, AM(CL),,,11(13),979,1,1,2,-,0.7,74.6,0.8,-,6.30
Harvey Knibbs,Cambridge U, 22, FW,,,7(16),799,2,1,-,-,0.8,70,0.7,1,6.30
Dion Donohue,Barrow, 27, D(L),,,3(1),278,-,-,1,-,0.3,81.1,1,-,6.30
Brad Lyons,Morecambe, 24, Midfielder,,,5(12),475,1,-,2,-,0.5,54.9,1,-,6.30
Alex Bass,Southend, 23, GK,,,1,46,-,-,-,-,-,20,2,-,6.30
Alister Crawford,Tranmere, 29, AM(C),,,4(5),335,-,-,-,-,1,77.9,0.2,-,6.30
Jayden Richardson,Forest Green, 20, M(LR),,,16(18),1643,-,-,1,-,0.6,78.6,0.4,-,6.30
Emile Acquah,Southend, 20, FW,,,20(11),1595,2,1,1,-,1.1,58.6,2.5,-,6.30
Scott Burgess,Port Vale, 23, M(C),,,18(6),1645,-,-,-,-,0.7,72.6,1,-,6.30
Jake Taylor,Port Vale, 22, AM(C),,,8(4),706,1,1,-,-,0.6,78.9,0.4,-,6.29
George Boyd,Salford City, 35, M(CLR),,,2(9),254,-,1,-,-,0.3,65.3,0.3,-,6.29
Connor Kirby,Harrogate, 22, DMC,,,10(6),948,-,-,3,-,0.6,72.8,0.6,-,6.29
Will Swan,Port Vale, 20, Forward,,,4(6),348,1,-,1,-,0.8,69.1,0.2,-,6.29
Jake Taylor,Scunthorpe, 22, AM(C),,,8(5),757,-,1,1,-,1.1,78.5,0.3,-,6.29
Kevin Ellison,Newport, 42, AM(L),,,2(23),523,3,-,1,-,0.3,51.9,0.7,-,6.29
Dior Angus,Barrow, 27, FW,,,12(10),1107,4,-,2,-,1,70.8,0.8,-,6.29
Saikou Janneh,Newport, 21, Forward,,,4(4),395,1,-,-,-,0.9,70.9,0.5,-,6.29
Tristan Abrahams,Newport, 22, FW,,,15(8),1300,4,2,2,-,1.3,72.1,0.6,1,6.29
Liam McAlinden,Morecambe, 27, AM(R),,,7(24),878,3,3,-,-,0.7,58.3,0.8,1,6.28
Femi Akinwande,Stevenage, 25, Forward,,,3(4),262,-,-,1,-,1.1,66,0.3,-,6.28
Jay Williams,Harrogate, 20, Defender,,,3(4),310,1,-,1,-,0.3,62.7,1.3,-,6.28
Owen Windsor,Newport, 19, FW,,,0(1),23,-,-,-,-,-,70,-,-,6.28
Matt Rush,Southend, 20, Forward,,,2(5),247,1,-,-,-,0.7,74.4,0.4,-,6.28
Taylor Charters,Carlisle, 19, Midfielder,,,2(7),207,-,1,2,-,0.6,62.7,1.1,-,6.28
Jak Hickman,Bolton, 22, Defender,,,3(1),254,-,-,1,-,0.3,60.8,0.3,-,6.28
Teddy Howe,Scunthorpe, 22, D(R),,,7(5),645,-,-,1,-,0.1,65.5,1.3,-,6.27
Dylan Mottley-Henry,Bradford, 23, M(R),,,4(7),501,-,-,-,-,0.5,70.9,1,-,6.27
Jamie Mascoll,Bolton, 24, Defender,,,2(5),217,-,-,-,-,0.3,71.9,0.7,-,6.27
Danny Walker-Rice,Tranmere, 20, Forward,,,0(1),52,-,-,-,-,-,80,-,-,6.27
