Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Tyrone Mings,Aston Villa, 28, D(CL),,,36,3195,2,2,4,1,0.5,77.9,2.5,-,6.81
Jonjo Shelvey,Newcastle, 29, M(C),,,29(1),2617,1,3,7,-,1.4,76.4,0.9,-,6.80
Leandro Trossard,Brighton, 26, AM(CLR),FW,,30(5),2622,5,5,2,-,1.7,78.8,0.1,2,6.80
Andreas Christensen,Chelsea, 25, D(C),DMC,,15(2),1375,-,-,2,1,0.2,91.3,2.2,-,6.80
Joachim Andersen,Fulham, 25, D(C),,,30(1),2730,1,1,7,1,0.4,81.4,3.2,2,6.79
Karl Darlow,Newcastle, 30, GK,,,25,2250,-,-,3,-,-,45.7,0.7,1,6.79
Calum Chambers,Arsenal, 26, D(CR),DMC,,8(2),752,-,2,-,-,0.8,83.9,2,-,6.79
Rob Holding,Arsenal, 25, D(CR),,,28(2),2558,-,1,2,-,0.5,87,2.4,1,6.79
Anwar El Ghazi,Aston Villa, 26, AM(LR),FW,,17(11),1617,10,-,2,-,2.3,75.3,1,2,6.78
Conor Hourihane,Aston Villa, 30, M(C),,,3(1),228,1,1,-,-,1.3,87.2,0.5,-,6.78
Abdoulaye Doucouré,Everton, 28, M(C),,,29,2452,2,3,6,-,0.6,85.1,1.3,-,6.78
Amad,Man Utd, 18, Forward,,,2(1),167,-,1,-,-,0.3,82.5,0.3,-,6.78
Pablo Fornals,West Ham, 25, M(CLR),,,31(2),2583,5,4,3,-,1.5,79.4,0.7,1,6.78
Pierre-Emerick Aubameyang,Arsenal, 31, M(CLR),FW,,26(3),2337,10,3,2,-,2,78,1.2,1,6.78
Ben Godfrey,Everton, 23, D(CLR),,,29(2),2683,-,2,4,-,0.5,84.7,1.8,-,6.78
Che Adams,Southampton, 24, AM(CL),FW,,30(6),2675,9,5,1,-,1.5,70.3,1.5,-,6.77
Adam Webster,Brighton, 26, D(C),,,29,2595,1,-,4,-,0.9,80.9,2.7,1,6.77
Kyle Bartley,West Brom, 30, D(C),,,28(2),2584,3,1,4,-,0.5,77.1,3.6,1,6.77
Emile Smith Rowe,Arsenal, 20, AM(CL),,,18(2),1448,2,4,-,-,0.7,88.7,0.2,-,6.77
Allan,Everton, 30, DMC,,,23(1),2052,-,-,6,-,0.3,85.7,0.2,-,6.77
Kyle Walker,Man City, 31, D(CR),M(R),,22(2),1947,1,1,1,-,0.4,90.2,1.1,1,6.77
Josh Brownhill,Burnley, 25, M(CR),,,32(1),2816,-,1,2,-,1,78.3,2,-,6.76
Aymeric Laporte,Man City, 27, D(CL),,,14(2),1343,-,-,1,-,0.4,91.1,2.6,-,6.76
Ferran Torres,Man City, 21, AM(LR),FW,,15(9),1306,7,2,1,-,1.5,85.2,0.6,2,6.76
Nicolas Pépé,Arsenal, 26, AM(LR),FW,,16(13),1614,10,1,1,1,1.7,81.1,1.2,4,6.76
Ross Barkley,Aston Villa, 27, M(CLR),,,18(6),1537,3,1,-,-,1.6,84.8,0.9,-,6.75
Hugo Lloris,Tottenham, 34, GK,,,38,3420,-,-,-,-,-,69.3,0.2,2,6.75
Willy Boly,Wolves, 30, D(C),,,21,1880,1,1,2,-,0.7,82.5,2.7,1,6.75
Dan Burn,Brighton, 29, D(CL),M(L),,23(4),2060,1,-,5,-,0.6,75.6,3.6,3,6.75
Sébastien Haller,West Ham, 26, FW,,,10(6),935,3,-,-,-,1.6,64.1,4.2,1,6.75
Ezri Konsa,Aston Villa, 23, D(CR),,,35(1),3193,2,-,3,-,0.6,84.7,2.7,1,6.75
Jarrod Bowen,West Ham, 24, AM(CLR),FW,,30(8),2579,8,5,-,-,1.4,74.4,0.6,1,6.75
Matt Doherty,Tottenham, 29, D(LR),M(R),,13(4),1239,-,2,2,1,0.2,80.5,2.9,1,6.75
