Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Korey Smith,Swansea, 30, D(R),M(C),,27(11),2571,-,3,2,-,0.3,79.4,0.7,-,6.43
Mads Rasmussen,Brentford, 21, D(R),M(R),,13(7),1060,-,3,1,-,0.1,68.8,0.3,-,6.43
David Marshall,Derby, 36, GK,,,33,2922,-,-,-,-,-,64.7,0.2,1,6.43
George Moncur,Luton, 27, AM(CL),,,10(11),823,3,1,-,-,1.2,86.5,0.2,-,6.43
Jordan Cousins,Stoke, 27, D(R),M(CLR),,8(11),842,-,-,2,-,0.3,72,1.7,-,6.43
Tomás Esteves,Reading, 19, D(R),,,12(17),1231,1,-,-,-,0.5,75.7,0.3,-,6.43
Tom Carroll,QPR, 29, M(CL),,,19(3),1651,-,1,3,-,0.5,80.9,0.6,1,6.42
Tyrhys Dolan,Blackburn, 19, AM(R),,,10(27),1245,3,2,-,-,0.6,84,0.3,-,6.42
Jordan Shipley,Coventry, 23, AM(CL),,,15(12),1373,3,1,1,-,0.6,71.7,0.4,1,6.42
Christoph Zimmermann,Norwich, 28, D(C),,,13(9),1212,-,-,4,-,0.2,81.8,1.6,-,6.42
Ben Hamer,Huddersfield, 33, GK,,,15,1306,-,-,2,-,-,76.7,0.4,-,6.42
Chuba Akpom,Middlesbrough, 25, FW,,,20(18),1924,5,2,2,-,1.1,50.8,2.4,2,6.42
Ryan Shawcross,Stoke, 33, D(C),,,0(2),41,-,-,-,-,-,93.3,1.5,-,6.42
Martyn Waghorn,Derby, 31, AM(CLR),FW,,21(11),1893,5,4,3,1,1.6,70.8,0.7,1,6.42
Dominic Ball,QPR, 25, D(C),DMC,,24(15),2177,1,-,9,-,0.6,81,1.3,1,6.42
Viktor Gyökeres,Coventry, 22, AM(L),FW,,7(12),755,3,-,-,-,0.9,72,0.9,-,6.42
Teden Mengi,Derby, 19, D(C),,,7(2),669,-,-,1,-,0.3,85.7,2.6,-,6.42
Lee Gregory,Derby, 32, FW,,,6(5),567,3,1,-,-,1.1,62.4,1.4,-,6.42
Maikel Kieftenbeld,Millwall, 30, DMC,,,8(3),740,-,-,2,-,0.3,72.4,0.5,-,6.42
Jayden Stockley,Preston, 27, FW,,,4(12),522,1,-,-,-,0.9,53.2,3.8,-,6.42
Alex Mighten,Nottingham Forest, 19, AM(L),,,13(11),1197,3,1,1,-,0.9,78.3,0.3,1,6.42
Aapo Halme,Barnsley, 23, D(C),DMC,,3(15),654,-,1,4,-,0.2,53.8,2.8,-,6.42
George Puscas,Reading, 25, FW,,,9(12),840,4,-,1,-,1,68.2,1.3,2,6.41
Albert Adomah,QPR, 33, AM(LR),,,7(27),845,2,5,1,-,0.4,77.6,0.2,-,6.41
