Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Julius Biada,Sandhausen, 28, AM(C),FW,,23,1832,2,1,3,-,2.5,67.2,0.4,1,6.72
John-Patrick Strauß,Erzgebirge Aue, 25, D(LR),DMC,M(R),30(1),2613,2,2,5,1,0.6,75,0.8,1,6.72
Fabian Holland,Darmstadt, 30, D(L),DMC,,29,2602,1,3,9,-,0.3,74.9,1,-,6.72
Danny Blum,Bochum, 30, AM(LR),FW,,14(8),1176,4,3,4,1,1.5,69.8,1,1,6.71
Andre Hoffmann,Fortuna Duesseldorf, 28, D(C),DMC,,20(2),1764,1,-,6,-,0.6,85.4,2.9,1,6.71
Robin Bormuth,Karlsruher SC, 25, D(C),,,23(4),2047,4,1,8,-,0.4,74,2.4,2,6.71
Sebastian Vasiliadis,Paderborn, 23, M(C),,,12(7),1160,-,2,4,-,1.4,72.6,0.6,-,6.71
Ognjen Gnjatic,Erzgebirge Aue, 29, DMC,,,20(3),1567,-,-,5,-,0.3,70.2,2,1,6.71
Ioannis Gelios,Holstein Kiel, 29, GK,,,24,2160,-,-,-,-,-,81.9,0.3,1,6.70
Maxim Leitsch,Bochum, 23, D(C),,,33,2925,-,1,5,-,0.3,85.3,1.9,-,6.70
Alexander Rossipal,Sandhausen, 24, M(L),,,6(4),580,1,2,1,-,0.9,62.1,1.3,1,6.70
Georg Margreitter,Nuernberg, 32, D(C),,,11(7),1103,1,-,-,-,0.6,75.4,2.8,1,6.70
Steve Breitkreuz,Erzgebirge Aue, 29, D(CR),,,23(3),2000,-,2,3,1,0.3,78.4,2.3,-,6.70
Nicolai Rapp,Darmstadt, 24, D(C),DMC,,27(2),2371,2,1,9,1,0.5,79.7,3,-,6.69
Jannis Nikolaou,Eintracht Braunschweig, 27, D(C),DMC,,30(1),2661,1,-,3,-,0.6,72.1,2.9,2,6.69
Jannik Dehm,Holstein Kiel, 25, D(R),,,24(7),2166,1,2,4,-,0.8,77.1,0.5,1,6.69
Erik Wekesser,Jahn Regensburg, 23, D(L),M(C),FW,29(1),2607,-,5,14,-,0.5,71.6,1.4,2,6.69
Sebastian Nachreiner,Jahn Regensburg, 32, D(CR),,,18,1551,-,-,8,-,0.4,76.7,2.5,-,6.69
Asger Sørensen,Nuernberg, 24, D(C),,,30(1),2691,1,2,5,-,0.4,82.4,3,-,6.69
Leopold Zingerle,Paderborn, 27, GK,,,33,2970,-,-,1,-,-,79.7,0.4,-,6.69
Benedikt Saller,Jahn Regensburg, 28, D(R),M(C),,22(5),2005,-,2,8,1,0.4,67,1,-,6.69
Tom Krauß,Nuernberg, 19, DMC,,,27(4),2206,2,-,9,-,0.9,76.6,1.2,1,6.68
David Kinsombi,Hamburg, 25, D(C),M(C),,16(10),1477,4,4,2,-,0.8,77.1,0.8,1,6.68
Luca-Milan Zander,St. Pauli, 25, D(R),M(R),,13(9),1156,3,-,4,-,0.4,69.6,1.2,1,6.68
Nico Klaß,Eintracht Braunschweig, 24, D(L),,,10(5),759,-,-,2,1,0.6,65,1.5,-,6.68
Leart Paqarada,St. Pauli, 26, D(L),M(L),,28(2),2297,1,2,4,-,0.8,72.3,0.9,1,6.68
Nikolas Nartey,Sandhausen, 21, M(CL),,,20(4),1652,-,3,6,-,0.5,72.6,1.5,-,6.68
Maximilian Bauer,Greuther Fuerth, 21, D(C),,,25(4),2283,2,-,7,-,0.3,85.9,2.6,1,6.67
Norman Theuerkauf,FC Heidenheim, 34, D(CL),DMC,,22(2),1946,1,3,5,-,0.5,74.2,1.6,1,6.67
Erik Shuranov,Nuernberg, 19, FW,,,8(6),692,5,1,1,-,1.7,66.2,1.3,1,6.67
Hendrik Weydandt,Hannover, 25, FW,,,20(10),1812,4,2,2,-,1.5,51.9,3.7,-,6.67
Timo Beermann,Osnabrueck, 30, D(C),,,30,2662,2,1,8,-,0.6,79.3,4,-,6.67
Hendrik Hansen,Wuerzburger Kickers, 26, D(C),,,9(4),886,1,-,5,-,0.5,79.4,2.5,1,6.67
Marcel Correia,Paderborn, 32, D(CR),,,7(1),609,-,-,2,-,0.1,84.4,2.5,1,6.66
Christian Clemens,Darmstadt, 29, M(LR),,,5(9),493,1,4,1,-,0.7,70.1,0.1,-,6.66
Maximilian Thalhammer,Paderborn, 23, DMC,,,14(7),1297,-,3,2,-,0.4,80.5,0.9,-,6.66
Philipp Klingmann,Sandhausen, 33, D(R),M(R),,5(2),390,1,-,1,-,0.9,54,0.7,-,6.66
Jamil Siebert,Fortuna Duesseldorf, 19, Defender,,,1(1),91,-,-,-,-,-,81.8,3,-,6.65
Dominik Kaiser,Hannover, 32, M(CR),,,28(1),2311,2,3,7,-,0.8,77.7,0.3,-,6.65
Christian Santos,Osnabrueck, 33, FW,,,22(7),1790,8,1,2,-,1.1,63.2,4,1,6.65
Finn Becker,St. Pauli, 20, DMC,,,27(3),2137,1,3,3,-,0.9,77.7,0.4,-,6.64
Robin Hack,Nuernberg, 22, AM(CLR),,,19(4),1562,4,4,3,-,1.4,83,0.5,-,6.64
Sebastian Stolze,Jahn Regensburg, 26, M(CLR),FW,,22(4),1706,6,2,4,-,1.2,62.1,0.4,-,6.64
Oumar Diakhite,Eintracht Braunschweig, 27, D(C),,,17,1441,-,1,4,1,0.5,75.6,2.8,1,6.64
Benjamin Goller,Karlsruher SC, 22, AM(R),,,18(9),1635,4,2,2,-,0.8,71.7,0.8,-,6.63
Jan Gyamerah,Hamburg, 25, D(CR),M(R),,21(4),1854,-,-,3,-,0.3,86,0.4,1,6.63
Robert Leipertz,FC Heidenheim, 28, AM(CLR),FW,,21(2),1597,2,-,1,-,1.5,62.6,1.3,-,6.63
Dimitrij Nazarov,Erzgebirge Aue, 31, AM(CL),FW,,18(12),1561,8,3,4,-,1.6,67.2,0.6,1,6.63
Hendrik Bonmann,Wuerzburger Kickers, 27, GK,,,20,1800,-,-,-,-,-,65.1,0.5,-,6.63
Edgar Prib,Fortuna Duesseldorf, 31, D(L),M(CL),,18(8),1459,1,2,4,-,0.7,79.2,0.6,-,6.62
