Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Luther Singh,Pacos de Ferreira, 23, AM(LR),,,24(5),1964,5,5,5,-,1.6,81.3,0.3,2,6.77
Crysan,Santa Clara, 24, FW,,,15(9),1315,4,6,4,-,1.3,71.8,1.2,2,6.77
César Martins,Farense, 28, D(C),,,16,1325,1,-,4,-,0.3,73.9,2.7,1,6.77
Moussa Marega,Porto, 30, AM(LR),FW,,25(5),2014,7,1,3,-,1.8,64.3,1.8,1,6.77
Zé Carlos,Braga, 22, Defender,,,2(2),229,-,-,1,-,0.3,72.1,1,-,6.77
Allano,Santa Clara, 26, AM(LR),,,14(4),1112,2,-,6,1,1.4,77,0.9,-,6.76
Ricardo Mangas,Boavista, 23, D(L),M(L),,21(7),1968,4,1,3,-,0.7,72.9,1.4,-,6.76
Pêpê,Famalicao, 24, M(C),,,17(1),1545,-,-,3,-,0.7,85.4,0.5,-,6.76
Manuel Ugarte,Famalicao, 20, DMC,,,18(2),1523,1,2,4,1,0.8,85.3,0.6,1,6.76
Anderson Carvalho,Santa Clara, 31, M(C),,,24(5),1995,1,1,9,-,1,77.3,0.7,2,6.75
Marko Grujic,Porto, 25, DMC,,,9(14),818,2,-,3,-,0.5,84.9,2.7,-,6.75
Vitor Tormena,Braga, 25, D(CR),,,20(5),1913,-,1,2,-,0.4,85.2,2.2,2,6.74
Brian Araújo,Gil Vicente, 21, Goalkeeper,,,1,90,-,-,-,-,-,48.3,1,-,6.74
Danilo Pereira,Porto, 29, D(C),DMC,,3,270,-,-,-,-,0.3,89.9,1.7,-,6.74
André Amaro,Vitoria de Guimaraes, 18, D(C),,,10(2),871,1,-,2,-,0.4,88.4,1.8,-,6.74
Rafael Ramos,Santa Clara, 26, D(R),,,29(1),2561,-,3,7,-,0.5,73.9,0.8,-,6.73
Gian-Luca Waldschmidt,Benfica, 25, AM(CR),FW,,18(9),1400,7,2,2,-,1.7,81.6,0.2,-,6.73
Lucas Possignolo,Portimonense, 27, D(C),,,29,2419,2,-,4,-,0.4,81.7,2.7,-,6.73
Chancel Mbemba,Porto, 26, D(CLR),DMC,,27,2353,1,-,5,-,0.3,89,1.5,-,6.73
Filipe Augusto,Rio Ave, 27, DMC,,,23(2),2028,-,-,8,1,0.8,86.7,0.9,1,6.72
Lourency,Gil Vicente, 25, AM(LR),,,27(7),2323,5,1,3,-,1.3,77.2,0.3,2,6.72
Yanis Hamache,Boavista, 21, D(L),,,13(11),1203,2,4,1,1,1,67.3,1.1,2,6.72
Jovane Cabral,Sporting, 22, AM(L),,,6(18),677,5,4,2,-,0.8,78.2,0.3,1,6.72
Miguel Cardoso,Belenenses SAD, 26, AM(CLR),FW,,30,2532,6,3,8,-,2.2,65.4,2.4,2,6.72
Pepelu,Vitoria de Guimaraes, 22, DMC,,,26(4),2392,1,-,7,-,0.5,85.8,1.3,1,6.72
Morato,Benfica, 19, Defender,,,1(1),91,-,-,-,-,0.5,84.7,3,-,6.72
Fábio Cardoso,Santa Clara, 27, D(C),,,28,2504,3,1,9,1,0.4,82.2,3.3,-,6.71
Raúl Silva,Braga, 31, D(C),,,13(2),1019,1,1,3,1,0.4,87,2,1,6.71
Luquinhas,Portimonense, 20, AM(C),,,11(9),1102,1,3,2,-,1.3,79,0.5,-,6.71
Jonatan Lucca,Farense, 27, M(C),,,21(4),1858,1,2,6,-,1.1,78.7,1.9,1,6.71
Pelé,Rio Ave, 29, M(C),,,21(4),1860,2,1,5,-,0.4,86.5,0.8,2,6.71
Joel Pereira,Gil Vicente, 24, D(R),M(R),,28(4),2532,-,1,3,-,0.1,75.9,0.5,-,6.71
Abdoulaye Ba,Moreirense, 30, D(C),,,11(1),984,-,-,2,-,0.6,79.7,2.6,-,6.70
Jorge Silva,Pacos de Ferreira, 25, D(R),,,2,180,-,-,1,-,0.5,70.2,1.5,-,6.70
Léo Jardim,Boavista, 26, GK,,,34,3060,-,-,4,-,-,47.1,0.2,2,6.70
Pedro Marques,Gil Vicente, 23, FW,,,11(4),927,5,2,-,-,1.7,66.8,0.9,-,6.70
João Mário,Porto, 21, Forward,,,4(10),372,2,3,2,-,0.6,89,0.4,-,6.70
Fransergio,Braga, 30, M(C),FW,,25(5),2280,6,1,7,2,1.6,77.6,1.5,1,6.69
Nanu,Porto, 27, D(R),M(LR),,8(4),734,-,-,1,-,0.4,82.2,0.8,-,6.69
Marcus Edwards,Vitoria de Guimaraes, 22, AM(R),,,21(12),1773,3,1,-,-,1.2,76,-,3,6.69
Lincoln,Santa Clara, 22, AM(C),FW,,25(5),2199,1,4,2,-,0.8,78,0.2,-,6.69
Mansur,Santa Clara, 28, D(L),,,26,2307,-,1,5,-,0.1,83.4,1.7,-,6.68
Lucas Mineiro,Gil Vicente, 25, M(C),,,27(6),2491,2,1,5,1,1.1,76.9,2.3,2,6.68
Antonio Adán,Sporting, 34, GK,,,32,2880,-,1,5,-,-,72.8,0.5,-,6.68
