Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Liam Millar,Charlton, 21, AM(L),,,23(4),1983,2,6,3,-,1.4,80.2,0.4,1,6.90
Matty Taylor,Oxford, 31, FW,,,41(7),3407,19,5,8,-,1.8,66.9,1.8,5,6.90
Conor McLaughlin,Sunderland, 29, D(CR),M(R),,22(3),1840,-,1,4,-,0.4,75.7,2.6,2,6.90
Gwion Edwards,Ipswich, 28, M(LR),,,29(7),2512,6,4,6,-,1.5,67.7,0.8,1,6.90
Brennan Johnson,Lincoln City, 20, AM(CLR),,,41(2),3591,11,5,10,-,2.3,74.6,0.4,4,6.90
George Cooper,Plymouth, 24, M(L),,,10(2),875,1,2,1,-,2,72.9,0.3,1,6.90
Mikael Mandron,Crewe, 26, FW,,,36(6),3165,11,4,2,-,1.5,71.9,2.8,4,6.89
Marvin Ekpiteta,Blackpool, 24, D(C),,,26(3),2386,2,2,4,-,0.4,72.8,3.7,1,6.89
Harry Chapman,Shrewsbury, 23, AM(C),FW,,16(7),1486,7,2,1,-,1.5,65.7,0.3,2,6.89
Sean McConville,Accrington, 32, M(CL),,,26(5),2384,1,5,4,1,1.5,68.8,0.6,2,6.89
Jordan Jones,Sunderland, 26, AM(CR),,,12(8),1067,3,4,1,-,1.6,84.9,0.2,3,6.88
Luke Leahy,Bristol Rovers, 28, D(L),M(L),,37(1),3253,8,3,6,-,1,60.4,3,3,6.88
Joe Wright,Doncaster, 26, D(CR),,,36(4),3197,2,1,7,-,0.3,77.5,4.3,2,6.88
Matthew Pennington,Shrewsbury, 26, D(CR),,,18(1),1606,2,1,1,-,0.3,63.9,3.6,1,6.88
Sean Clare,Burton, 24, D(R),DMC,,19(1),1569,1,3,7,-,1,71.9,1.8,-,6.88
Matthew Millar,Shrewsbury, 24, M(R),,,9,766,1,-,-,-,1.4,57.3,5.7,-,6.88
Dion Charles,Accrington, 25, FW,,,42,3698,19,3,2,1,2.7,65.9,0.4,5,6.87
Josh Vela,Shrewsbury, 27, D(R),M(C),,43(1),3818,3,2,12,1,1,77.8,2.2,1,6.87
Tom Flanagan,Sunderland, 29, D(CLR),,,15(3),1348,-,1,-,1,0.5,72.9,4.5,-,6.87
Ian Maatsen,Charlton, 19, D(L),,,31(3),2792,1,3,9,-,0.9,68.2,0.9,1,6.87
Aaron Pierre,Shrewsbury, 28, D(C),,,25(1),2251,4,-,5,1,1,59.4,4.7,1,6.87
Joshua Emmanuel,Hull, 23, D(R),,,21(7),2041,-,2,1,-,0.2,76.3,1.1,2,6.87
Josh Magennis,Hull, 30, FW,,,29(11),2548,18,5,1,-,1.6,60.5,2.6,2,6.87
Jack Whatmough,Portsmouth, 24, D(C),,,32(2),2816,2,1,5,2,0.6,70.4,3.9,4,6.86
George Johnston,Wigan, 22, D(C),,,19(3),1720,1,1,1,-,0.3,63.9,2.7,1,6.86
Callum Connolly,Fleetwood, 23, D(CR),M(CR),,40,3595,2,2,7,-,0.7,68.8,4.4,1,6.86
Curtis Tilt,Wigan, 29, D(C),,,36,3194,3,-,9,1,0.7,64.9,3.6,1,6.86
Sam Hughes,Burton, 24, D(C),,,14,1118,2,1,1,1,0.4,67.2,6.2,2,6.86
Sullay Kaikai,Blackpool, 25, AM(CL),FW,,33(3),2670,7,8,5,-,1.7,75.6,0.6,2,6.85
Fraser Horsfall,Northampton, 24, D(C),,,37(3),3430,3,-,4,-,0.8,61.6,5.1,1,6.85
Oliver Rathbone,Rochdale, 24, M(CL),,,40,3501,3,5,7,1,1.7,77.9,0.7,2,6.85
Billy Jones,Crewe, 34, D(CLR),M(R),,3,270,-,-,-,-,1,60.1,4.7,-,6.85
Tom Hopper,Lincoln City, 27, FW,,,36(6),3246,10,4,1,-,1,61.5,3.4,3,6.85
Charlie Kirk,Crewe, 23, AM(L),,,41(1),3530,6,8,3,-,1.4,77.6,0.2,4,6.85
Keane Lewis-Potter,Hull, 20, AM(L),FW,,33(10),3004,13,5,7,-,2.2,74,0.3,1,6.85
Luke Chambers,Ipswich, 35, D(CR),,,39,3540,2,2,5,-,0.4,68.6,3.4,1,6.85
Shaun Whalley,Shrewsbury, 33, AM(LR),FW,,32(6),2815,9,5,5,-,1.5,67,0.8,5,6.85
Andy Butler,Doncaster, 37, D(C),,,20,1756,-,1,3,-,0.3,83.3,4.9,-,6.84
Robert Apter,Blackpool, 18, Midfielder,,,0(1),2,-,1,-,-,1,100,-,-,6.84
Conor McGrandles,Lincoln City, 25, M(C),,,36(6),3177,4,2,10,-,0.6,79,1.3,1,6.84
Callum Camps,Fleetwood, 25, AM(CR),FW,,36(6),3228,9,2,5,-,1.7,72.9,0.7,4,6.83
Mark Hughes,Accrington, 34, D(C),,,36,3181,-,-,5,-,0.1,75.5,3.3,-,6.83
Chuks Aneke,Charlton, 27, FW,,,11(27),1527,15,2,9,2,2.3,58.8,3.4,3,6.83
Denver Hume,Sunderland, 24, D(L),M(L),,20(4),1719,1,2,1,-,0.7,74.7,0.3,1,6.83
Cameron Pring,Portsmouth, 23, D(L),M(L),,6(3),552,-,-,-,-,-,71.5,1.4,-,6.83
Tom James,Wigan, 25, D(R),,,20,1800,3,-,3,-,1.2,69,1.7,2,6.82
Andrew Shinnie,Charlton, 31, AM(CL),,,18(11),1707,3,6,2,-,0.7,81.4,0.9,4,6.82
Cameron Jerome,Milton Keynes Dons, 34, FW,,,28(6),2364,13,4,6,-,1.8,71.4,1.7,2,6.82
Sammie Szmodics,Peterborough, 25, AM(C),,,40(2),3360,15,6,3,-,2.6,77.2,0.3,5,6.82
Conor Grant,Plymouth, 26, DMC,M(L),,34(4),2833,4,11,-,-,1.2,77.1,1.2,3,6.82
Marcus Harness,Portsmouth, 25, M(CLR),FW,,42(4),3618,7,8,8,-,1.1,68.9,1,2,6.82
Eoghan O'Connell,Rochdale, 25, D(C),,,39,3394,1,1,8,-,0.6,78.6,3.2,-,6.82
Ethan Ebanks-Landell,Shrewsbury, 28, D(C),,,41,3606,1,-,8,-,0.4,62.2,4.2,1,6.82
Joe Walsh,Lincoln City, 29, D(C),,,19(4),1846,-,-,2,-,0.3,82.1,2.9,-,6.81
Nathanael Ogbeta,Shrewsbury, 20, D(L),M(L),,25,2227,2,2,2,-,1.2,81.4,0.4,1,6.81
Ayoub Assal,AFC Wimbledon, 19, AM(C),,,10(4),861,4,2,1,-,1.3,89.4,0.1,-,6.81
Oliver Norburn,Shrewsbury, 28, M(C),,,37(2),3255,4,1,13,-,0.6,77.4,1,-,6.81
Harry Pickering,Crewe, 22, D(L),,,44,3937,3,1,4,-,0.7,74.7,1.4,-,6.81
Charlie Daniels,Shrewsbury, 34, D(L),M(L),,14,1260,1,2,2,-,0.7,67.6,1.7,1,6.80
Adam Jackson,Lincoln City, 27, D(C),,,28(1),2382,1,1,4,1,0.4,80.5,3.6,1,6.80
Scott Wootton,Wigan, 29, D(CR),,,12(1),1058,1,-,2,-,0.6,68.9,4.2,-,6.80
Cameron Brannagan,Oxford, 25, DMC,,,30(3),2809,1,2,6,-,1.7,86,0.2,-,6.80
Grant Leadbitter,Sunderland, 35, DMC,,,31(11),2865,7,1,7,-,0.9,83.3,1,1,6.80
Josef Bursik,Peterborough, 20, GK,,,6,540,-,-,-,-,-,63.7,0.2,1,6.80
Zech Medley,Gillingham, 20, D(C),,,11(1),1035,-,-,-,-,0.5,56,1.8,-,6.79
Luke O'Neill,AFC Wimbledon, 29, D(CR),M(R),,24(4),1958,-,3,2,-,0.3,62.9,2.2,-,6.79
John Marquis,Portsmouth, 29, AM(C),FW,,35(6),3139,16,6,6,1,2.4,67.6,2.7,2,6.79
Tayo Edun,Lincoln City, 23, D(L),DMC,,39(5),3484,1,6,9,-,0.2,70.9,1,2,6.79
Ethan Laird,Milton Keynes Dons, 19, M(R),,,23(1),1847,-,3,5,-,0.8,71.4,2.5,-,6.79
Taylor Richards,Doncaster, 20, AM(C),,,28(13),2642,10,5,4,-,2,78.1,0.1,4,6.79
Ben Barclay,Accrington, 24, D(C),DMC,,23(3),2005,1,1,7,-,0.3,59.2,4.2,1,6.79
Elliot Lee,Oxford, 26, AM(CLR),,,17(3),1333,6,2,1,-,1.7,79,0.1,1,6.79
Lynden Gooch,Sunderland, 25, M(CLR),,,28(12),2568,4,9,4,-,1.3,72,0.5,2,6.78
Richard Smallwood,Hull, 30, DMC,,,23(4),1921,-,-,6,-,0.5,74.6,1.9,-,6.78
Jack Baldwin,Bristol Rovers, 27, D(C),DMC,,32(6),2951,1,-,6,-,0.6,67.3,3.6,-,6.78
Louis Jones,Doncaster, 22, GK,,,13,1170,-,-,-,-,-,74.8,0.5,-,6.78
Aaron Morley,Rochdale, 21, DMC,,,39(5),3498,2,7,-,-,0.6,76.5,0.9,1,6.78
Kane Hemmings,Burton, 30, FW,,,26(10),2461,15,2,7,-,1.4,66.4,3.5,2,6.77
Will Jaaskelainen,Crewe, 22, GK,,,31,2790,-,-,2,-,-,73.6,0.2,3,6.77
CJ Hamilton,Blackpool, 26, M(LR),,,19(4),1751,5,3,-,-,2.1,70.7,0.6,1,6.77
John Brayford,Burton, 33, D(CLR),M(R),,40(1),3545,4,1,3,-,0.9,62.1,4.1,1,6.77
Joseph Mills,Northampton, 31, D(L),M(L),,27,2235,-,4,5,-,0.6,58.6,2,-,6.77
Callum Lang,Wigan, 22, AM(LR),FW,,22(1),1944,9,-,3,-,2.3,69.1,1.8,-,6.77
Gary Madine,Blackpool, 30, FW,,,15(9),1427,4,1,3,-,1.8,56.6,5,2,6.77
Josh Sims,Doncaster, 24, AM(LR),,,20(8),1794,1,7,1,-,1.1,74.4,0.6,3,6.77
Alfie Jones,Hull, 23, D(C),DMC,,27(4),2405,-,-,1,-,0.2,76.1,1.7,1,6.77
Tom Pearce,Wigan, 23, D(L),,,23,1976,-,3,1,-,0.5,65.6,0.7,1,6.76
Owen Dale,Crewe, 22, AM(R),,,32(11),2876,11,2,4,-,1.5,70,0.8,2,6.76
James Hill,Fleetwood, 19, D(C),,,24(4),2196,-,1,2,-,0.5,66.9,3.9,2,6.76
Andre Dozzell,Ipswich, 22, M(C),,,42(1),3692,-,1,9,1,0.4,80.6,0.7,1,6.76
Tyreece John-Jules,Doncaster, 20, FW,,,13(5),1173,5,3,-,-,2,71.2,1,-,6.76
Lucas Akins,Burton, 32, D(R),M(CLR),FW,45,3929,9,-,3,-,1.2,66.5,3.3,-,6.75
Tendayi Darikwa,Wigan, 29, D(R),M(R),,26,2340,-,1,3,-,0.6,69.8,1,-,6.75
Elliot Embleton,Blackpool, 22, AM(CR),,,17(4),1464,2,4,1,-,1.7,75.4,0.1,-,6.75
Nathan Cameron,Wigan, 29, D(C),,,2,180,-,-,2,-,-,77.9,4.5,-,6.75
George Long,Hull, 27, GK,,,8,720,-,-,-,-,-,57.2,0.6,-,6.75
Matthew Virtue-Thick,Blackpool, 24, AM(CR),,,11(5),1033,2,-,1,-,0.8,73.5,0.9,1,6.74
Adedeji Oshilaja,Charlton, 27, D(C),DMC,,16(1),1441,1,1,6,-,0.1,72,4.8,-,6.74
James Husband,Blackpool, 27, D(CL),M(L),,27(3),2312,-,1,5,2,0.2,66.3,2.1,1,6.74
Alfie Kilgour,Bristol Rovers, 23, D(CR),,,33(2),2978,1,-,2,-,0.7,72.1,4.1,-,6.74
Marcus McGuane,Oxford, 22, M(C),,,13(2),996,-,4,1,-,1.2,84.4,0.2,1,6.74
Jayson Leutwiler,Fleetwood, 32, GK,,,16,1440,-,-,2,-,-,44.5,0.3,1,6.74
Dejan Iliev,Shrewsbury, 26, Goalkeeper,,,3,270,-,-,-,-,-,43.7,0.3,-,6.74
Max Power,Sunderland, 27, D(R),DMC,M(R),39(5),3452,5,3,4,-,1.1,79.6,1,1,6.74
Charlie Mulgrew,Fleetwood, 35, D(C),DMC,M(L),22(1),1881,1,-,-,1,0.7,68.3,3.2,-,6.74
Kieron Freeman,Swindon, 29, D(R),M(R),,2,162,-,-,-,-,0.5,68.7,2.5,-,6.74
Michael Bostwick,Burton, 33, D(C),,,26(2),2384,2,2,3,-,0.6,58.9,3.8,3,6.73
Callum Johnson,Portsmouth, 24, D(R),,,39(1),3472,-,3,4,-,0.1,73,1.5,1,6.73
Dean Lewington,Milton Keynes Dons, 37, D(CL),M(L),,43,3863,-,-,7,-,0.1,84.1,2.3,1,6.73
Ben Amos,Charlton, 31, GK,,,46,4140,-,-,3,-,-,61.2,0.5,1,6.73
Darnell Johnson,AFC Wimbledon, 22, D(C),,,11,927,-,-,1,-,0.6,67.1,4.2,-,6.73
Daniel Batty,Fleetwood, 23, DMC,,,17,1442,-,2,3,-,0.9,74.2,0.5,-,6.73
Terell Thomas,AFC Wimbledon, 25, D(C),,,17(2),1522,-,-,1,-,0.3,61.1,3.4,-,6.73
Oliver Turton,Blackpool, 28, D(CR),,,36(4),3296,1,1,3,-,0.3,70.4,1.6,-,6.73
Ched Evans,Fleetwood, 32, FW,,,11(6),1154,5,2,3,-,2.1,63.6,2.9,2,6.72
Barrie McKay,Fleetwood, 26, AM(CLR),,,15(11),1402,2,4,-,-,1,73,0.3,1,6.72
Nesta Guinness-Walker,AFC Wimbledon, 21, D(L),M(L),,25(6),2233,1,2,4,-,0.3,68.3,0.6,-,6.72
Joe Garner,Wigan, 33, FW,,,11,981,3,-,3,-,2,53.7,4.9,1,6.72
Dion Sanderson,Sunderland, 21, D(CR),,,19(7),1841,1,-,4,-,0.3,81.6,2.3,-,6.72
Ryan Williams,Portsmouth, 27, AM(CLR),FW,,33(8),2815,5,4,5,-,1.3,76.5,0.9,2,6.72
Will Aimson,Plymouth, 27, D(C),,,39(1),3437,-,1,1,-,0.5,72.4,3,2,6.72
Alex Palmer,Lincoln City, 24, GK,,,48,4350,-,1,1,-,-,70.5,0.4,4,6.72
Flynn Downes,Ipswich, 22, DMC,,,17(7),1641,-,-,6,1,0.3,86.8,1.2,1,6.72
Chris Maguire,Sunderland, 32, AM(CLR),FW,,12(22),1355,5,5,2,-,1.3,81.2,0.3,2,6.72
Sam Hoskins,Northampton, 28, M(CLR),FW,,44(2),3989,7,6,8,-,2.1,59.8,0.7,-,6.72
Harry Darling,Milton Keynes Dons, 21, D(C),,,23,2070,-,-,2,-,0.7,88.9,1.6,-,6.72
Timothy Eyoma,Lincoln City, 21, D(CR),,,37(5),3209,1,-,5,-,0.2,76.6,2.2,1,6.71
Josh Scowen,Sunderland, 28, M(CR),,,37(8),3345,1,1,7,-,0.9,82.6,1.3,-,6.71
Paul Downing,Portsmouth, 29, D(C),,,2(1),178,-,-,1,-,0.3,75.6,5,-,6.71
Carlton Morris,Milton Keynes Dons, 25, AM(C),FW,,14(4),1344,3,1,2,-,1.6,76.4,2.6,-,6.71
Alex Rodriguez,Oxford, 27, DMC,,,28(8),2388,1,1,9,-,0.2,76.2,1.2,-,6.71
Sam Finley,Fleetwood, 28, M(C),,,19(10),1694,3,1,5,-,0.9,71.5,0.6,1,6.71
Luke Offord,Crewe, 21, D(CR),,,27(1),2352,1,-,6,-,0.2,82,2.8,1,6.71
Will Keane,Wigan, 28, AM(C),FW,,25(7),2159,10,5,3,-,1.2,80.5,1.2,2,6.71
Jason Pearce,Charlton, 33, D(C),,,24(2),2143,-,2,3,1,0.5,72.1,5.5,-,6.71
Scott Twine,Swindon, 21, AM(C),,,22(3),1927,7,3,4,-,3.2,79.7,0.1,2,6.70
Josh Eccles,Gillingham, 21, M(C),,,10(2),863,-,-,1,-,0.9,68.2,0.7,-,6.70
Ryan Wintle,Crewe, 23, DMC,,,41(2),3682,2,2,4,-,0.8,83.6,1.1,-,6.70
James Bolton,Portsmouth, 26, D(CR),,,8(5),709,1,-,-,-,0.8,70.8,3.2,1,6.70
Regan Poole,Lincoln City, 22, D(CR),M(R),,21(4),1918,-,1,2,-,0.6,68.3,2.2,1,6.70
Joseph Dodoo,Wigan, 25, AM(R),FW,,12(8),1152,4,3,2,-,0.9,55.8,3.8,-,6.70
