Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Gianluigi Donnarumma,AC Milan, 22, GK,,,37,3330,-,-,1,-,-,77,0.2,1,6.80
Alexis Sánchez,Inter, 32, M(CLR),FW,,12(18),1139,7,5,-,-,1,80,0.3,2,6.80
M'Bala Nzola,Spezia, 24, FW,,,21(4),1898,11,3,5,-,1.8,84.3,1.6,2,6.79
Antonio Candreva,Sampdoria, 34, M(CLR),,,28(7),2512,5,8,1,-,1.6,77,0.1,1,6.79
Cristián Zapata,Genoa, 34, D(C),,,12,970,-,-,2,-,0.3,87.1,2.3,-,6.79
Nikola Milenkovic,Fiorentina, 23, D(CR),,,34,3036,3,1,7,1,0.6,86,3,1,6.79
Mattia Perin,Genoa, 28, GK,,,32,2880,-,-,1,1,-,60.4,0.3,3,6.78
Razvan Marin,Cagliari, 25, DMC,,,35(2),2977,3,6,6,-,0.7,87.5,0.3,1,6.78
Léo Sena,Spezia, 25, M(C),,,8(8),884,-,-,-,-,0.1,88.7,0.3,1,6.78
Armando Izzo,Torino, 29, D(C),,,24(1),2011,2,-,3,-,0.7,81.6,2,-,6.78
Francesco Caputo,Sassuolo, 33, FW,,,19(6),1702,11,5,1,-,1.7,77.7,0.4,1,6.77
Diego Demme,Napoli, 29, DMC,,,20(4),1597,2,3,6,-,0.6,89.2,0.3,-,6.77
Takehiro Tomiyasu,Bologna, 22, D(CR),,,31,2719,2,-,4,-,0.5,82.1,2.9,2,6.77
Bram Nuytinck,Udinese, 31, D(C),,,19(1),1643,1,-,1,-,0.2,84.2,1.9,-,6.77
Davide Zappacosta,Genoa, 28, D(R),M(LR),,23(2),2034,4,2,3,-,1.6,83.6,0.6,-,6.77
Tiemoué Bakayoko,Napoli, 26, DMC,,,23(9),1973,2,1,4,1,0.5,88.3,1.4,1,6.76
Stefan Radu,Lazio, 34, D(CL),,,30(1),2466,-,3,2,-,0.2,85.3,1.4,1,6.75
