Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Joe Day,-,-,-,-
Ben Blythe,-,-,-,-
Carl Winchester,0.8,0.2,-,0.5
Scott Robertson,0.7,0.5,-,0.3
Mark Sykes,1,0.4,0.1,0.4
Frank Nouble,1.2,0.2,-,1
Harrison Holgate,0.1,-,0.1,0.1
Scott Golbourne,0.1,0.1,-,-
Jimmy McNulty,0.1,-,-,0.1
Joe Lumley,-,-,-,-
Keshi Anderson,1.5,0.6,0.1,0.9
Mathieu Baudry,0.5,-,0.1,0.4
Jonathan Grounds,0.4,-,0.1,0.4
Mohammed Sangare,1,1,-,-
Callum Brittain,0.5,-,0.3,0.3
Tom Bloxham,0.8,-,-,0.8
John-Joe O'Toole,0.3,0.1,-,0.2
Mark Marshall,0.6,0.2,-,0.3
Sam Winnall,0.9,0.1,0.1,0.7
Dion Conroy,0.2,0.1,-,0.2
Robbie McKenzie,0.3,0.2,-,0.1
Dan Gardner,0.4,0.2,-,0.2
Joe Mason,1.3,0.3,0.1,0.9
Callum Reilly,0.5,0.1,-,0.3
Emeka Obi,0.8,-,-,0.8
Jonah Ayunga,1.7,0.6,-,1.1
Ben Close,0.3,0.1,-,0.2
Abraham Odoh,-,-,-,-
Rayhaan Tulloch,0.5,-,-,0.5
Jordan Lyden,0.2,-,-,0.2
Alex Newby,1.2,0.4,-,0.8
Danny Rowe,1.1,0.5,0.1,0.5
Christopher Missilou,0.8,0.5,-,0.3
Matthew Palmer,0.3,0.1,-,0.2
Alexander MacDonald,0.9,0.5,-,0.4
Abu Ogogo,1,0.7,-,0.3
Jonathan Williams,0.4,0.2,0.2,0.1
Glenn Whelan,0.2,0.2,-,-
Joel Cooper,0.5,-,-,0.5
Tyler Smith,1.2,0.1,0.1,1
Omar Bogle,1.9,0.6,0.1,1.1
Gareth Evans,-,-,-,-
MJ Williams,0.3,0.3,-,-
Callum Ainley,0.8,0.5,-,0.4
Jack Sowerby,0.6,0.4,-,0.2
Alex Perry,0.3,0.1,-,0.1
Remi Matthews,-,-,-,-
Charlie Daniels,0.6,0.4,-,0.2
Armando Dobra,0.8,0.2,-,0.6
Kieran Wallace,0.1,0.1,-,-
Daniel Udoh,0.7,0.1,0.1,0.5
Louis Thompson,0.4,0.2,-,0.2
Ryan Edwards,0.6,0.1,-,0.5
Terry Taylor,0.4,0.3,-,0.1
Adam Lewis,0.5,0.3,0.1,0.2
Jimmy Ryan,0.6,0.6,-,0.1
Dion Donohue,0.3,0.3,-,-
Cheye Alexander,0.2,0.1,-,0.1
Paul Caddis,0.3,0.2,-,0.1
Chris Porter,0.7,-,0.1,0.5
Scott Robertson,0.2,0.1,-,0.1
Matt Done,0.8,0.3,-,0.5
Declan Drysdale,0.4,0.3,-,0.1
Callum Morton,1.1,0.2,0.1,0.7
Daniel Agyei,1,0.2,0.1,0.7
Ethan Hamilton,0.8,0.6,-,0.2
Mark Little,-,-,-,-
Jordan Houghton,0.2,0.2,-,0.1
Danny Amos,0.5,0.5,-,-
Regan Slater,0.1,0.1,-,-
Gavin Bazunu,-,-,-,-
Gary Roberts,1,0.5,-,0.5
Kieran O'Hara,-,-,-,-
Keanan Bennetts,1,0.4,-,0.6
Hallam Hope,0.9,0.2,-,0.7
Paul Smyth,0.9,0.1,0.1,0.6
Dylan Levitt,1.3,1.3,-,-
Owen Gallacher,0.2,0.1,-,0.1
Jason Lokilo,0.8,0.3,-,0.5
Flynn Clarke,1.3,0.8,-,0.5
Jack Lankester,0.4,0.1,0.1,0.3
Ryan Edmondson,0.9,0.1,0.1,0.7
Jamie Proctor,1,0.3,-,0.7
Niall Mason,0.1,-,-,-
Remy Howarth,0.7,0.2,0.1,0.5
Harvey White,0.7,0.4,-,0.3
