Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Roberto Olabe,0.4,0.2,-,0.2
António Filipe,-,-,-,-
Diogo Leite,0.3,-,0.1,0.2
Steven Vitória,0.5,-,0.1,0.4
Abel Ruiz,0.8,-,0.2,0.6
Marcelo Hermes,0.6,0.4,-,0.2
Fabrício,1.7,0.9,-,0.9
Rúben Fernandes,0.3,-,-,0.2
Abdu Conté,0.4,0.3,-,0.1
Jean,0.7,0.6,-,0.1
Zié Ouattara,0.2,0.1,-,0.1
Filipe Ferreira,0.4,0.4,-,-
Beto,-,-,-,-
Afonso Sousa,1.1,0.9,-,0.2
Vincent Thill,1.2,1,-,0.2
Fábio Nunes,0.4,0.3,-,0.1
Pedro Mendes,1.3,0.3,-,1
Ruben Freitas,0.1,0.1,-,-
Ivo Pinto,0.4,0.3,-,0.1
Jhonata Robert,0.9,0.6,-,0.3
Brayan Riascos,2.3,0.8,0.2,1.2
Guga,1.1,0.9,-,0.2
Gonzalo Plata,0.1,0.1,-,-
Rafael Martins,1.5,0.4,0.2,0.9
Costinha,0.2,0.1,-,0.1
Rui Correia,0.8,0.4,0.1,0.3
Anderson Oliveira,0.7,0.4,-,0.2
João Afonso,-,-,-,-
Ricardo Alves,0.4,0.2,-,0.3
Felipe Pires,1.4,0.7,-,0.8
Abner Felipe,-,-,-,-
Sávio,0.1,0.1,-,-
Nuno Santos,0.9,0.5,-,0.4
Ewerton,1,0.6,0.1,0.3
Pedro Sá,0.3,0.2,-,0.1
Nikola Jambor,0.5,0.3,-,0.2
Daniel Bragança,0.5,0.4,-,0.1
Marco Pereira,-,-,-,-
Rashid,1.4,1,-,0.4
Diego Lopes,0.7,0.4,0.1,0.3
Francisco Moura,1,-,-,1
Anderson Silva,2,0.5,0.1,1.4
Pedro Pelágio,0.8,0.7,-,0.1
Diogo Salomão,0.5,0.2,-,0.2
Pedro Amaral,0.4,0.3,-,0.1
Nuno Tavares,0.4,0.1,-,0.3
Salvador Agra,1.6,1,-,0.6
Rafael Defendi,-,-,-,-
João Pedro,1.1,0.6,-,0.5
Larry Azouni,0.5,0.4,-,-
Bryan Róchez,1.2,0.3,0.2,0.6
Edgar Costa,0.4,0.1,-,0.2
Nuno Borges,0.4,0.4,-,0.1
Mohamed Diaby,0.3,0.2,-,0.1
Evanilson,1.1,0.1,0.2,0.8
Brian Mansilla,1,0.4,0.1,0.5
Francisco Geraldes,1,0.6,-,0.4
Rafael Camacho,1.8,0.7,0.1,1
Tomás Tavares,0.2,0.2,-,0.1
André Luis,0.9,0.1,-,0.7
João Afonso,0.2,-,0.1,0.1
Tiago Tomás,1.3,0.2,0.1,1
Reynaldo,-,-,-,-
Cristian Devenish,0.2,-,-,0.1
Malang Sarr,0.1,-,-,0.1
René,0.2,0.1,-,0.1
Koki Anzai,0.4,0.3,-,0.1
Jorge Correa,1,0.5,-,0.4
Yusupha Om Njie,1.7,0.4,0.1,1.1
Silvestre Varela,1,0.5,-,0.5
Jafar Salmani,0.5,0.3,-,0.2
André Pinto,0.3,-,0.2,0.2
Jardel,0.1,-,-,0.1
João Amaral,1,0.4,-,0.6
Lucas Piazon,0.9,0.1,-,0.8
Leandrinho,0.4,0.2,-,0.2
Vaná Alves,-,-,-,-
Fabio China,0.4,0.3,-,0.1
Joaquín Pereyra,0.9,0.8,-,0.1
Javi García,0.8,0.3,0.1,0.4
Babacar Niasse,-,-,-,-
Kenji Gorré,1.4,0.7,-,0.7
Jean Cléber,0.3,0.1,-,0.1
Yaya,0.3,0.2,-,-
Fábio Vieira,0.7,0.4,-,0.3
Abdel Jalil Zaim Idriss Medioub,0.3,0.1,0.1,0.2
Fabrício Isidoro,0.6,0.5,-,0.2
Alex Soares,0.6,0.3,0.1,0.2
Rolando,-,-,-,-
Nikola Stojiljkovic,1.4,0.1,0.2,1.1
Nélson Monte,-,-,-,-
Uilton,0.4,0.2,-,0.2
David Simão,0.7,0.5,-,0.2
Show,0.6,0.6,-,-
Easah Suliman,0.3,-,-,0.3
Antunes,0.3,0.3,-,-
Jaume Grau,0.4,0.4,-,-
Rafael Barbosa,1.4,0.9,-,0.5
Lucas Áfrico,0.9,0.2,0.1,0.6
Eber Bessa,1.1,0.6,-,0.4
Jaquité,0.3,0.3,-,-
Andraz Sporar,1.3,0.1,0.2,1
Rui Costa,1.1,0.3,-,0.8
Leonardo Campana,0.8,0.1,-,0.7
Ryotaro Meshino,1.4,0.9,-,0.5
Gustavo Assunção,0.3,0.2,-,0.2
João Lucas,-,-,-,-
Abdullahi Ibrahim Alhassan,0.6,0.2,-,0.3
Abdul Mumin,0.2,-,-,0.2
Júlio César,0.4,0.1,-,0.4
Filipe Melo,-,-,-,-
Lucas,0.2,-,-,0.2
Bura,0.1,-,-,0.1
Madi Queta,0.6,0.2,-,0.4
Ali Alipour,0.8,0.1,0.1,0.6
Arcanjo,0.6,0.4,0.1,0.1
Nathan,0.2,0.1,-,0.1
Patrick,0.7,0.3,-,0.5
Bruno Tabata,0.7,0.4,-,0.3
Guedes,1.4,0.4,-,0.9
Diogo Calila,0.4,0.2,-,0.2
Sebastián Pérez,0.6,0.4,0.1,0.1
Júlio César,0.1,0.1,-,-
Alex Pinto,0.3,0.1,0.1,0.2
Matheus Silva,0.3,0.1,0.1,0.2
Franco Cervi,0.2,0.1,-,0.1
Henrique Trevisan,0.3,-,-,0.3
Costinha,0.4,0.3,-,0.1
Andrijia Lukovic,0.8,0.8,-,-
Lucas Kal,0.2,-,-,0.1
Miguel Reisinho,0.3,0.2,-,0.2
Heriberto Tavares,1.1,0.4,-,0.8
Edwin Herrera,0.2,-,-,0.2
Chico Ramos,0.8,0.3,-,0.4
Vincent Koziello,0.4,0.2,0.1,0.1
Pedrinho,0.7,0.6,-,0.1
André Horta,0.6,0.5,-,0.1
Diogo Queirós,0.3,-,-,0.2
Vitor Carvalho,0.5,0.2,-,0.4
Ruben Lameiras,0.8,0.3,-,0.5
Kanya Fujimoto,0.4,0.2,-,0.2
Hélder Sá,1.5,1.5,-,-
João Pereira,0.2,0.2,-,-
Bruno Ramires,0.4,0.2,-,0.2
Ferro,0.3,0.3,-,-
João Pedro,0.5,0.1,0.1,0.3
Francisco Conceição,0.3,-,-,0.3
Pierre Sagna,0.3,0.1,-,0.2
André Pereira,0.9,0.3,-,0.6
Chiquinho,0.5,0.2,0.1,0.2
Henrique,0.3,0.2,-,0.1
Franck-Yves Bambock,0.2,0.2,-,-
Denis Poha,0.4,0.3,-,0.1
Tiago Almeida,0.1,-,-,0.1
Dor Jan,0.8,0.1,0.1,0.6
Ruben Del Campo,1,0.2,-,0.8
Bozhidar Kraev,1,0.6,-,0.4
Gergely Bobal,-,-,-,-
João Victor,0.6,0.3,0.1,0.3
Danny Henriques,0.3,-,-,0.3
Tim Hall,1,-,-,1
Felipe Anderson,0.2,0.2,-,-
Bruno Duarte,1,-,0.2,0.8
