Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea,League
Joe Bryan,0.5,0.3,-,0.2,Premier_league
Phil Bardsley,0.8,0.5,-,0.3,Premier_league
Josh Maja,1.4,0.2,0.2,1,Premier_league
Fabian Schär,0.7,0.4,-,0.2,Premier_league
Enda Stevens,0.5,0.1,-,0.4,Premier_league
James Tomkins,0.3,-,-,0.3,Premier_league
Ben Johnson,0.2,0.1,-,0.1,Premier_league
Morgan Gibbs-White,0.9,0.5,-,0.5,Premier_league
Ryan Fraser,0.7,0.3,-,0.4,Premier_league
Javier Manquillo,0.1,0.1,-,-,Premier_league
Carlos Vinícius,0.8,-,0.2,0.6,Premier_league
Filip Krovinovic,0.7,0.6,-,0.1,Premier_league
Harry Winks,0.3,0.3,-,-,Premier_league
Moussa Djenepo,0.5,0.3,-,0.3,Premier_league
Nampalys Mendy,0.2,0.2,-,-,Premier_league
Matej Vydra,1.3,0.1,0.1,1,Premier_league
Sean Longstaff,0.7,0.4,-,0.3,Premier_league
Erik Lamela,0.9,0.5,-,0.4,Premier_league
Keinan Davis,0.6,-,0.1,0.5,Premier_league
Ki-Jana Hoever,0.1,-,-,0.1,Premier_league
Jack O'Connell,-,-,-,-,Premier_league
George Baldock,0.4,0.1,-,0.3,Premier_league
DeAndre Yedlin,0.3,0.2,-,0.2,Premier_league
Owen Otasowie,0.7,-,-,0.7,Premier_league
Donny van de Beek,0.1,0.1,-,0.1,Premier_league
Matt Phillips,0.7,0.3,0.1,0.3,Premier_league
Ross Barkley,0.5,0.5,-,-,Premier_league
Jairo Riedewald,0.2,0.2,-,0.1,Premier_league
Jamal Lewis,0.1,-,-,0.1,Premier_league
Nathaniel Clyne,0.3,0.2,-,0.2,Premier_league
Jeff Hendrick,0.5,0.2,-,0.2,Premier_league
Eddie Nketiah,0.7,0.1,0.1,0.5,Premier_league
Michy Batshuayi,0.7,0.2,0.1,0.3,Premier_league
Hélder Costa,0.7,-,0.1,0.6,Premier_league
Billy Gilmour,0.2,0.2,-,-,Premier_league
Kevin Long,0.3,-,0.1,0.1,Premier_league
Andy Carroll,0.8,0.1,0.1,0.6,Premier_league
Fábio Silva,1.5,0.1,0.1,1.3,Premier_league
Anthony Gordon,-,-,-,-,Premier_league
James McCarthy,0.1,0.1,-,-,Premier_league
Kieran Gibbs,0.1,-,-,0.1,Premier_league
Matthew Longstaff,-,-,-,-,Premier_league
Jean-Philippe Mateta,0.6,-,0.1,0.4,Premier_league
Fabian Delph,0.1,0.1,-,-,Premier_league
Jakub Moder,1.1,0.3,-,0.8,Premier_league
Dale Stephens,0.6,0.4,-,0.1,Premier_league
Aaron Connolly,1.4,0.2,0.2,0.9,Premier_league
Sead Kolasinac,-,-,-,-,Premier_league
Jay Rodriguez,1,0.4,0.2,0.5,Premier_league
Alireza Jahanbakhsh,0.9,0.3,-,0.5,Premier_league
Axel Tuanzebe,-,-,-,-,Premier_league
Sidnei Tavares,0.5,0.5,-,-,Premier_league
