Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Rory McKenzie,1.1,0.8,0.1,0.3
Niall McGinn,0.9,0.2,0.1,0.5
Michael Johnston,0.7,0.4,-,0.3
Joe Lewis,-,-,-,-
James Brown,0.2,-,-,0.2
Marvin Bartley,0.2,-,0.1,0.1
Josh Reid,0.2,0.2,-,-
Lewis Smith,0.4,0.2,-,0.2
Billy Mckay,1.1,0.1,0.2,0.8
Kristian Dennis,1.8,0.3,0.1,1.3
Kyle McAllister,0.8,0.7,-,0.1
Junior Morias,1.4,0.4,0.1,0.9
Danny Rogers,-,-,-,-
Ryan Edmondson,0.5,-,-,0.5
Lee Erwin,1.5,0.3,0.3,1
Michael Gardyne,0.8,0.5,-,0.3
Jack Hamilton,0.4,-,0.4,-
Dylan McGeouch,0.1,0.1,-,-
Connor McLennan,0.6,0.4,-,0.2
Patryk Klimala,0.8,-,0.1,0.7
Ross Draper,0.4,0.1,0.1,0.3
Will Collar,0.2,-,-,0.2
Connor Randall,0.2,0.1,0.1,-
Elliot Parish,-,-,-,-
Sherwin Seedorf,0.7,0.2,-,0.5
Callum Smith,0.6,0.1,-,0.5
Kyle Munro,0.3,0.1,-,0.3
Kyle Magennis,0.4,0.2,-,0.1
Greg Stewart,0.4,0.2,0.2,-
Scott Wright,0.2,0.1,-,0.1
Fraser Hornby,1.3,0.3,0.4,0.6
Callum Hendry,1.1,-,0.3,0.8
Logan Chalmers,1.4,0.8,0.1,0.6
Ben Stirling,0.1,0.1,-,0.1
Stephen McGinn,0.2,-,-,0.2
Florian Kamberi,1.5,0.9,-,0.5
Jordan Tillson,0.1,-,-,0.1
Ryan Flynn,0.5,0.3,-,0.2
Harry Smith,0.6,-,0.2,0.4
Bongani Zungu,0.1,0.1,-,0.1
Colin Doyle,-,-,-,-
Scott Allan,0.1,0.1,-,-
Dillon Barnes,-,-,-,-
Markus Fjørtoft,-,-,-,-
Louis Appéré,0.4,0.1,-,0.3
Nathan Sheron,0.7,0.4,-,0.3
Justin Johnson,0.4,0.4,-,-
Daniel Whitehall,0.8,0.3,0.3,0.3
Kieran Freeman,-,-,-,-
Eamonn Brophy,1.9,0.9,0.1,0.8
Chris Long,1.1,0.5,-,0.6
Dylan Connolly,0.7,0.2,-,0.6
Gavin Reilly,0.2,-,-,0.2
Michael Devlin,-,-,-,-
Steven Bradley,0.5,-,-,0.5
James Gullan,0.2,0.1,-,0.1
Michael O'Halloran,0.5,0.2,-,0.3
Funso Ojo,0.4,0.2,-,0.2
Ísak Thorvaldsson,-,-,-,-
Eamonn Brophy,0.4,0.4,-,-
Matej Poplatnik,0.4,-,0.1,0.3
Jordan Archer,-,-,-,-
Robbie Crawford,-,-,-,-
Lars Lokotsch,0.5,-,-,0.5
Ronan Hughes,0.2,0.1,-,0.1
Lee Erwin,1.4,0.7,0.1,0.5
Boli Bolingoli-Mbombo,-,-,-,-
Ross Millen,0.1,-,-,0.1
Collin Quaner,-,-,-,-
Diaguely Dabo,0.2,0.2,-,-
Callum Hendry,1.6,0.4,0.1,1.1
Cammy Smith,-,-,-,-
Josh Mullin,0.4,-,-,0.4
Andy Winter,0.5,0.1,-,0.4
Ross Doohan,-,-,-,-
Sam Foley,-,-,-,-
Scott Tiffoney,0.9,0.1,0.2,0.7
Aymen Souda,-,-,-,-
Ryan Shanley,-,-,-,-
Shay Logan,-,-,-,-
Jordan White,0.9,0.1,0.1,0.8
Zander Clark,-,-,-,-
Max Johnston,-,-,-,-
Regan Charles-Cook,0.6,0.1,0.1,0.3
George Oakley,1.3,-,0.3,1
Brandon Mason,0.4,0.1,-,0.3
Ronald Hernández,0.3,-,-,0.3
Ross MacIver,-,-,-,-
Jermaine Hylton,0.4,0.2,-,0.2
Tunde Owolabi,1,0.1,-,0.9
Miko Virtanen,-,-,-,-
Calvin Ramsey,-,-,-,-
Alan Lithgow,-,-,-,-
Dean Cornelius,-,-,-,-
Ciaran McKenna,-,-,-,-
Jake Hastie,0.1,-,-,0.1
John Robertson,-,-,-,-
Ewan Henderson,0.5,-,-,0.5
Declan Glass,1,1,-,-
Leon Thomson King,-,-,-,-
Michael Ruth,-,-,-,-
Isaac Olaofe,0.5,-,-,0.5
Tomas Brindley,-,-,-,-
Steven Lawless,0.3,0.3,-,-
Charlie Gilmour,-,-,-,-
Armstrong Okoflex,-,-,-,-
Dylan Reid,-,-,-,-
Kerr Smith,-,-,-,-
Ethan Ross,-,-,-,-
Alexander Ferguson,-,-,-,-
Lewis Jamieson,-,-,-,-
Darren Watson,-,-,-,-
Carlo Pignatiello,1,-,-,1
Brandon Pierrick,0.3,-,-,0.3
Ryan Duncan,-,-,-,-
Bruce Anderson,0.3,-,-,0.3
Kieran Ngwenya,-,-,-,-
Salim Kouider-Aissa,0.3,0.3,-,-
Robby McCrorie,-,-,-,-
Matthew Wright,-,-,-,-
Kai Fotheringham,2,1,-,1
Cameron Harper,1,-,-,1
Deniz Mehmet,-,-,-,-
George Edmundson,-,-,-,-
Jake Eastwood,-,-,-,-
