Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Emmanuel Más,1.6,0.2,-,1.4
Guillermo Ortíz,0.3,-,-,0.3
Iván Gómez,0.6,0.6,-,0.1
Leonel Galeano,0.7,0.1,-,0.6
Gonzalo Castellani,0.9,0.8,-,0.1
Leandro Fernández,2.9,1.6,0.1,1.1
Lautaro Comas,1.3,0.4,-,0.9
Pablo Rosales,1.3,1.3,-,-
Néstor Breitenbruch,0.3,0.3,-,-
Fernando Márquez,2.3,0.4,0.3,1.5
Alexis Maldonado,0.1,-,-,0.1
Gonzalo Piovi,0.4,0.1,-,0.3
Héctor Fértoli,2,0.5,-,1.5
Matko Miljevic,1,0.7,-,0.3
Marcelo Ortiz,0.5,0.2,0.1,0.2
Nahuel Estévez,1.4,0.9,-,0.4
Guillermo Ortíz,0.3,-,-,0.3
Nicolás Navarro,-,-,-,-
Federico Milo,0.6,0.4,-,0.2
Gabriel Hauche,1.8,0.4,-,1.4
Ismael Quílez,1.2,0.9,-,0.2
Braian Romero,0.6,-,0.2,0.4
Cristian Tassano,0.5,-,0.5,-
Jeremías Ledesma,-,-,-,-
Nicolás Pasquini,0.7,0.6,-,0.1
Christian Almeida,-,-,-,-
Oscar Salomón,0.6,0.2,-,0.3
Leonardo Ponzio,0.5,0.5,-,-
Maximiliano Gagliardo,-,-,-,-
Alexis Mac Allister,1.8,1.2,-,0.7
Diego Zabala,1.8,0.9,0.1,0.9
Leonardo Sigali,0.2,-,-,0.2
Cristián Insaurralde,0.3,-,-,0.3
Juan Andrada,0.6,0.6,-,-
Gervasio Núñez,2.1,0.9,0.1,1.1
Neri Cardozo,0.6,0.4,-,0.1
Franco Armani,-,-,-,-
Emanuel Cecchini,1.5,1.5,-,-
Lautaro Torres,1.5,1,-,0.5
Rodrigo Rey,-,-,-,-
Nahuel Arena,1,0.3,-,0.7
Facundo Melivilo,1.4,0.8,-,0.7
Matías Pérez García,0.9,0.4,-,0.4
Federico Bravo,0.4,0.1,0.1,0.2
José Sand,2,0.3,0.2,1.6
Diego Rodríguez,-,-,-,-
Miguel Jacquet,0.2,-,0.1,0.1
Pablo Velázquez,0.8,0.2,0.1,0.4
Gonzalo Escobar,0.5,0.5,-,0.1
Matías Fritzler,0.3,0.2,-,0.2
Franco Sbuttoni,0.5,0.1,0.2,0.2
Martín Cauteruccio,0.8,0.3,-,0.5
Juan Méndez,1,0.7,-,0.3
Joaquín Laso,0.5,-,-,0.5
Juan Ramírez,0.9,0.4,0.1,0.4
Gastón Fernández,1,0.8,-,0.2
Emiliano Papa,0.1,0.1,-,-
Ezequiel Edison Rescaldani,1.2,0.3,0.1,0.8
Fausto Vera,1.1,0.9,-,0.3
Agustín Obando,0.5,0.1,0.1,0.4
Nahuel Barrios,1,0.6,0.1,0.3
Alejandro Donatti,1,0.2,-,0.8
Marcelo Estigarribia,0.5,0.4,-,0.1
Nelson Acevedo,-,-,-,-
Diego Rodríguez,0.2,0.2,-,-
Sebastián Moyano,-,-,-,-
Iván Erquiaga,-,-,-,-
Luciano Lollo,0.4,-,-,0.4
Luis Rodríguez,2.2,1.4,-,0.8
Jonathan Menéndez,2.3,1.3,0.2,0.8
Ezequiel Bonifacio,1.3,0.5,-,0.8
Fernando Belluschi,0.8,0.8,-,-
Nicolás Reniero,1,0.1,0.1,0.8
Héctor Fértoli,0.8,0.5,-,0.3
Facundo Mura,0.4,0.3,-,0.1
Juan Fuentes,0.2,-,0.1,0.1
Federico Lértora,0.4,0.2,-,0.2
Damián Batallini,1.5,0.5,0.1,0.9
Lisandro López,1.5,0.3,0.1,1.1
José Paradela,0.9,0.6,0.1,0.3
Nicolás Aguirre,0.8,0.5,-,0.3
Cristian Erbes,0.2,0.2,-,0.1
Cristian Díaz,0.4,0.4,-,-
Fabrizio Angileri,1.5,1.3,-,0.3
Jalil Elías,0.8,0.5,-,0.3
Alan Soñora,0.5,0.5,-,-
Nazareno Colombo,0.7,0.1,-,0.6
Facundo Bertoglio,1.5,0.8,0.2,0.5
Luís Leal,2.5,0.4,0.3,1.8
Renato Civelli,0.8,0.1,0.1,0.6
Joel Soñora,0.7,0.4,-,0.3
Jonathan Herrera,1.6,0.5,-,1.2
Lucas González,1.5,1,-,0.5
Bruno Zuculini,0.7,-,-,0.7
Diego Mercado,-,-,-,-
Matías Caruzzo,0.6,0.1,0.1,0.5
Javier Pinola,0.5,0.2,0.1,0.2
Francisco Ortega,0.2,0.2,-,-
Mariano Andújar,-,-,-,-
Rodrigo Aliendro,0.5,0.1,-,0.4
Martín Benítez,2,1.6,-,0.4
Dayro Moreno,2.1,0.7,0.1,1.2
Hugo Vera Oviedo,0.4,0.3,-,0.1
Tomás Escalante,-,-,-,-
Walter Montoya,0.9,0.6,-,0.3
Nicolás Mazzola,1.5,0.2,0.2,1.1
Ezequiel Cerutti,0.8,0.8,-,-
Martín Ojeda,1.8,1,-,0.8
Marcelo Meli,1.6,1.4,-,0.2
Mateo Retegui,1.5,0.5,-,1
Antony Silva,-,-,-,-
Alex Vigo,0.4,0.3,-,0.1
Augusto Solari,1,0.3,0.3,0.5
Federico Andrada,1,0.2,0.1,0.7
Nery Leyes,0.3,-,-,0.3
Cristian Bernardi,0.6,0.3,0.1,0.2
Brian Blasi,0.1,-,-,0.1
Lucas Barrios,1,0.3,0.3,0.3
Ariel Rojas,0.4,0.3,-,0.1
Julián Carranza,2.7,0.4,0.2,2.2
Alan Aguerre,-,-,-,-
Fernando Zuqui,0.8,0.6,-,0.2
Juan Quintero,1.8,1.6,-,0.2
Ramón Ábila,1,-,0.3,0.8
Rodrigo Arciero,0.4,0.4,-,-
Marcos Miers,0.6,0.2,-,0.5
Joaquín Pereyra,0.9,0.9,-,0.1
Adam Bareiro,1.2,0.1,0.3,0.8
Javier Méndez,0.5,0.2,-,0.2
Brian Negro,-,-,-,-
Brahian Alemán,2.5,2.1,-,0.4
Lucas Gamba,0.9,0.3,0.1,0.5
Lucas Viatri,1,0.2,0.2,0.7
Marco Torsiglieri,0.3,-,-,0.3
Santiago Rosales,2.8,1,-,1.8
Francisco Ramírez,0.8,0.3,0.3,0.2
Kevin Gutiérrez,1.1,0.9,-,0.2
Néstor Breitenbruch,0.3,0.1,-,0.2
Aníbal Moreno,1.3,1.2,-,0.1
Diego Sosa,1.3,0.9,-,0.4
Sebastián Rincón,0.7,0.1,0.1,0.6
Germán Guiffrey,0.2,-,0.1,0.1
Emanuel Olivera,0.4,-,0.1,0.4
Guillermo Acosta,1.2,0.7,-,0.5
Ignacio Scocco,1.2,0.5,0.1,0.6
Manuel Insaurralde,-,-,-,-
Lautaro Parisi,1,0.3,-,0.7
Jonathan Cristaldo,1,-,0.2,0.8
Benjamín Garré,1,-,-,1
Sebastián Ribas,1.4,0.2,0.3,1
Fabián Henríquez,1,0.7,0.1,0.3
Martín Campaña,-,-,-,-
Mauro Díaz,-,-,-,-
Juan Álvarez,0.7,0.3,-,0.5
Alexis Arias,-,-,-,-
Nahuel Gallardo,0.5,0.5,-,-
Nicolás Fernández,2.3,1,0.1,1.2
Nicolás Blandi,0.9,-,-,0.9
Ángel González,1,0.3,-,0.7
Damián Martínez,0.9,0.6,-,0.3
Francisco Manenti,0.2,-,-,0.2
Facundo Pérez,0.8,0.5,-,0.3
Andrés Chávez,1.5,0.7,-,0.8
Gabriel Alanís,0.6,0.4,-,0.3
Denis Rodríguez,1.1,0.9,-,0.2
Tomás Cardona,0.4,-,0.1,0.3
Tiago Banega,0.5,0.3,0.3,-
Diego Rodríguez,0.5,0.4,-,0.1
Lucas Albertengo,1,0.1,0.1,0.8
José Mauri,1,1,-,-
Claudio Riaño,1.2,0.2,0.2,0.8
Lucas Menossi,1,0.8,-,0.2
Jhonathan Agudelo,1.3,0.3,-,1
Javier Gandolfi,0.1,-,-,0.1
Gabriel Arias,-,-,-,-
Nicolás Bertolo,0.7,0.1,0.1,0.5
Luciano Pocrnjic,-,-,-,-
Nelson Acevedo,0.3,0.3,-,-
Valentín Burgoa,0.7,0.6,-,0.1
Darío Cvitanich,0.9,0.1,0.1,0.7
Nicolás Cordero,1.8,0.3,0.4,1.1
Gabriel Compagnucci,0.9,0.4,-,0.5
Kevin Mac Allister,-,-,-,-
Braian Galván,1.2,0.6,-,0.6
Guido Mainero,0.8,0.1,-,0.7
Wálter Andrade,1,-,-,1
Carlos Benavídez,0.3,0.3,-,-
Javier Mendoza,1.7,1.3,-,0.3
Lucas Orban,0.1,-,-,0.1
Leonardo Godoy,0.3,-,0.1,0.2
Federico Mancinelli,0.6,0.1,0.1,0.3
Guillermo Celis,-,-,-,-
Walter Pérez,0.6,0.4,-,0.1
Pedro Ojeda,0.8,0.7,-,0.1
Franco Calderon,0.3,-,-,0.3
Cristian Lucchetti,-,-,-,-
Franco Cristaldo,0.9,0.6,0.1,0.3
Juan Garro,1.2,0.3,0.2,0.7
Franco Troyansky,1.5,0.7,-,0.8
Marcelo Cabrera,1.3,0.8,-,0.5
Adrián Calello,0.2,0.1,0.1,0.1
Esteban Conde,-,-,-,-
Franco Moyano,0.3,0.3,-,-
Leandro Vella,1.7,0.6,-,1.1
Leonardo Burián,-,-,-,-
Santiago Gallucci,-,-,-,-
Marcos Rouzies,-,-,-,-
Fernando Coniglio,0.9,0.4,0.2,0.4
Iván Colman,0.9,0.6,-,0.3
Gabriel Risso Patrón,0.2,0.2,-,-
Julián Palacios,0.4,0.1,-,0.3
Pablo Galdames,1,0.7,-,0.3
Martín Payero,0.6,0.6,-,0.1
Leonardo Heredia,1.5,0.5,0.1,0.9
Francisco Grahl,0.4,0.3,-,0.1
Dario Sarmiento,0.6,0.2,-,0.4
Leandro Fernández,1.8,1.2,-,0.6
Gonzalo Verón,0.7,-,-,0.7
Braian Rivero,0.4,0.4,-,-
Marcos Angeleri,-,-,-,-
Diego Valoyes,1.4,0.4,-,1
Pedro De la Vega,1.1,0.3,0.2,0.6
Francisco Cerro,0.2,0.1,-,0.1
Franco Quinteros,0.3,0.3,-,-
Gastón Díaz,1,0.9,-,0.1
Alan Velasco,0.5,0.5,-,-
Agustín Aleo,0.2,0.1,-,0.1
Jonás Aguirre,-,-,-,-
Pablo Martinez,-,-,-,-
Junior Arias,1.4,0.3,0.1,1.1
Lucas Acevedo,0.3,-,-,0.3
Matías Miranda,0.5,0.3,-,0.2
Nazareno Solís,0.9,0.5,0.1,0.4
Jan Carlos Hurtado,1.1,0.2,0.1,0.8
Nicolás Maná,0.5,-,-,0.5
Wilson Morelo,1.3,0.2,0.4,0.7
Lucas Melano,1.1,0.2,-,0.9
Federico González,1.8,0.3,0.1,1.4
Braian Martínez,0.6,0.1,-,0.4
Cristian Ferreira,1,0.9,-,0.1
José Luis Fernández,1.1,0.8,-,0.4
Lucas Pratto,1.2,0.2,0.1,0.9
Gastón Gil Romero,0.2,0.1,0.1,-
Bautista Merlini,0.9,0.6,-,0.3
Lautaro Guzmán,0.5,0.3,-,0.3
Sebastián Palacios,1.6,0.4,0.1,1.1
Lucas Mancinelli,1,0.8,-,0.2
Nicolás Miracco,1.2,0.4,-,0.8
Mauro Bogado,1.1,0.9,-,0.1
Maximiliano Comba,0.9,0.4,-,0.5
Tomas Badaloni,1.1,0.3,0.1,0.7
Román Martínez,-,-,-,-
Fernando Evangelista,0.1,-,-,0.1
