Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Pavel Maslov,0.1,-,-,0.1
Roman Neustädter,0.4,-,0.1,0.3
Ivan Miladinovic,0.5,0.1,0.1,0.3
Ivan Novoseltsev,0.4,0.1,0.1,0.3
Georgy Schennikov,0.5,-,-,0.4
Silvije Begic,0.3,-,0.1,0.2
Aleksandr Dolgov,0.7,0.2,-,0.5
Ilya Zhigulev,0.8,0.7,-,0.2
Sergey Parshivlyuk,0.3,0.1,-,0.2
Aleksandr Troshechkin,1.1,0.6,-,0.5
Daniil Khlusevich,0.7,0.2,0.1,0.4
Timur Zhamaletdinov,1.8,0.5,0.2,1.1
Vadim Karpov,0.3,0.1,-,0.3
Mikhail Kerzhakov,-,-,-,-
Jimmy Tabidze,0.5,0.3,-,0.2
François Kamano,1.4,0.7,-,0.6
Mikhail Kostyukov,0.5,-,0.1,0.4
Evgeni Chernov,0.4,0.2,-,0.2
Arshak Koryan,1.1,0.4,-,0.6
Dmitriy Poloz,1,0.3,0.1,0.7
Evgeni Chernov,0.4,0.2,0.1,0.1
Soltmurad Bakaev,0.6,0.3,-,0.4
Éder,1.3,0.4,0.1,0.8
Daniil Utkin,1.5,0.9,-,0.6
Mohamed Konate,1.8,0.1,0.2,1.5
Grigory Morozov,0.5,0.2,-,0.3
Flamarion Junior,1.2,0.4,0.1,0.8
Aleksey Gritsaenko,0.1,-,-,0.1
Ilya Kutepov,0.4,-,0.1,0.3
Anton Piskunov,0.5,0.5,-,-
Danila Sukhomlinov,0.7,0.3,-,0.3
Ilya Martynov,-,-,-,-
Ramazan Gadzhimuradov,1.3,0.5,-,0.8
Khoren Bayramyan,1,0.3,-,0.8
Vladislav Karapuzov,1.1,0.8,-,0.3
Nikolay Kipiani,0.4,0.1,0.1,0.2
Dmitri Efremov,0.5,0.2,-,0.3
Daniil Krugovoy,0.3,0.2,-,0.1
Arnór Sigurdsson,1.3,0.4,-,0.8
Danijel Miskic,0.7,0.3,-,0.3
Goran Causic,0.9,0.7,-,0.2
Zé Luís,1.8,0.3,0.1,1.4
Pontus Almqvist,1,0.3,0.2,0.6
Oleg Aleinik,1,0.9,-,0.1
Igor Smolnikov,0.3,0.1,-,0.3
Guram Tetrashvili,0.6,0.6,-,-
Branko Jovicic,0.7,0.7,-,0.1
Zelimkhan Bakaev,1,0.4,-,0.5
Solomon Kvirkvelia,0.3,0.1,-,0.2
Pavel Mogilevets,0.3,0.2,-,0.1
Aleksandr Dovbnya,0.3,0.1,-,0.2
Danila Prokhin,0.2,0.2,-,-
Artem Sokol,0.2,0.2,-,-
Yuri Kovalev,0.6,0.2,-,0.5
Nikolai Rasskazov,0.2,0.1,-,0.1
Pavel Karasev,0.1,-,-,0.1
Nikolay Poyarkov,0.2,0.1,-,0.1
Kirill Kravtsov,0.3,0.3,-,-
Stanislav Magkeev,0.3,0.3,-,-
Stanislav Agkatsev,-,-,-,-
Evgeni Shlyakov,0.1,0.1,-,0.1
Maksim Belyaev,0.3,-,-,0.3
Marat Bystrov,0.5,0.1,-,0.3
Daniil Shamkin,0.7,0.3,0.3,-
Nikolay Komlichenko,1.1,0.2,0.1,0.8
Aleksey Rybin,0.2,0.1,-,0.2
Anton Shvets,0.7,0.3,-,0.3
Charles Kaboré,0.3,0.3,-,-
Georgy Makhatadze,0.8,0.3,-,0.5
Vyacheslav Krotov,1.1,0.4,-,0.8
Aleksandr Denisov,-,-,-,-
Aleksandr Pavlovets,-,-,-,-
Aleksandr Zuev,0.4,0.2,-,0.1
Eldor Shomurodov,1.6,0.4,0.3,1
Vyacheslav Podberezkin,0.2,0.1,-,0.2
Mihail Levashov,-,-,-,-
Shapi Suleymanov,1.4,0.6,-,0.8
Ionut Nedelcearu,0.2,0.1,-,0.1
Kirill Panchenko,1.8,0.9,-,0.9
Kirill Kombarov,0.8,0.5,-,0.3
Leon Sabua,0.5,-,0.5,-
Evans Kangwa,1,0.3,-,0.7
Dmitri Rybchinsky,0.6,0.2,0.1,0.3
Arseni Logashov,0.6,0.3,-,0.3
Ivelin Popov,1.5,1.5,-,-
Bojan Jokic,0.2,0.1,-,-
Ilya Gaponov,0.3,0.1,-,0.2
Sergei Makarov,0.3,0.3,-,0.1
Danila Khotulev,0.3,-,-,0.3
Evgeni Lutsenko,0.9,0.1,0.1,0.8
Ilzat Akhmetov,0.6,0.2,-,0.4
Ilya Kamyshev,0.4,0.3,-,0.1
Maximilian Philipp,1.3,0.4,0.1,0.7
Sébastien Thill,0.9,0.9,-,-
Kirill Bozhenov,0.5,0.3,-,0.2
Vitali Lisakovich,1.2,0.3,0.1,0.8
Vladislav Panteleev,0.9,0.6,-,0.3
Artyom Arkhipov,1.5,0.1,0.3,1.1
Roman Tugarev,1.1,0.6,-,0.5
Maksim Glushenkov,1,0.2,-,0.8
Sly,1.4,0.4,0.2,0.8
Aleksandr Rudenko,1,0.2,0.1,0.8
Ari,0.9,0.3,-,0.6
Gia Grigalava,0.5,0.1,0.1,0.3
