Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Dan Gosling,0.7,0.2,-,0.5
Rhys Norrington-Davies,0.4,0.2,-,0.2
Thomas Holmes,0.5,0.1,0.2,0.3
Matthew Olosunde,0.2,0.1,-,0.2
Adam Smith,0.3,-,-,0.2
Callum O'Dowda,1,0.5,0.1,0.5
James Collins,1.6,0.2,0.4,1
Sheyi Ojo,0.9,0.3,0.1,0.5
Jamie Lindsay,1,0.4,0.1,0.5
Maikel Kieftenbeld,0.4,0.4,-,-
Jason McCarthy,0.4,0.2,-,0.2
John Obi Mikel,0.4,0.2,-,0.2
Uche Ikpeazu,2.1,0.6,0.3,1.2
Kadeem Harris,1,0.4,-,0.6
Zak Vyner,0.2,0.1,-,0.1
Richard Wood,0.4,-,0.2,0.2
Tom Sang,0.6,0.2,-,0.3
Sam Field,0.3,0.2,-,0.2
David Junior Hoilett,1.2,0.5,-,0.7
Robert Glatzel,1,0.3,0.1,0.6
Jack Grimmer,0.3,0.2,-,0.1
Admiral Muskwe,1.6,0.3,0.3,1
Isaac Mbenza,1,0.6,-,0.4
Joel Bagan,0.1,0.1,-,-
Liam Palmer,0.4,0.1,0.1,0.3
Dennis Adeniran,0.5,0.4,-,0.1
Joe Lolley,1.3,0.8,-,0.4
Mason Bennett,1.3,0.4,-,0.9
Bartosz Bialkowski,-,-,-,-
Ryan Giles,0.7,0.4,-,0.3
Josh Windass,1.9,0.5,0.1,1.3
Jordan Archer,-,-,-,-
Jordan Thompson,0.6,0.4,-,0.2
Domingos Quina,1.3,0.9,0.1,0.3
Jason Knight,0.8,0.5,-,0.2
Thomas Kaminski,-,-,-,-
Taylor Harwood-Bellis,0.4,0.1,0.1,0.2
Lewis Travis,0.2,0.2,-,-
Nathan Wood,0.3,-,0.3,-
Jordan Clark,0.9,0.3,0.1,0.5
Osaze Urhoghide,0.1,-,0.1,0.1
Brice Samba,-,-,-,-
Adrian Mariappa,-,-,-,-
James Garner,1.1,0.8,0.1,0.2
Ryan Woods,0.1,0.1,-,-
Dan Gosling,1.2,0.5,0.1,0.6
Moses Odubajo,0.3,0.2,-,0.1
Adebayo Akinfenwa,1.2,0.1,0.2,0.8
Tyler Walker,1.3,0.2,0.2,0.9
Luke Amos,1.2,0.2,-,1
Nicholas Ioannou,-,-,-,-
Ben Pearson,0.1,0.1,-,0.1
Jack Burroughs,-,-,-,-
Romoney Crichlow,-,-,-,-
Richard Keogh,0.2,-,-,0.2
Duane Holmes,0.7,0.3,0.1,0.4
Angus MacDonald,0.8,0.2,0.1,0.5
James Bree,0.5,0.3,-,0.2
Matty James,0.3,0.3,-,-
Duncan Watmore,0.9,0.1,0.1,0.7
Conor Chaplin,1.5,0.6,-,0.9
Shandon Baptiste,-,-,-,-
Freddie Woodman,-,-,-,-
Fankaty Dabo,0.3,0.2,-,0.1
Matt Godden,1.7,0.3,0.1,1.3
Rafael Cabral,-,-,-,-
Jack Colback,0.1,-,0.1,-
Juninho Bacuna,1.3,0.9,-,0.4
Simon Sluga,-,-,-,-
Marco Stiepermann,1.6,0.8,-,0.8
Dan Potts,0.3,-,0.1,0.2
Neil Etheridge,-,-,-,-
Rarmani Edmonds-Green,0.3,-,-,0.2
Scott Sinclair,1.1,0.3,0.1,0.7
Joe Allen,0.9,0.3,-,0.6
Josh Martin,1.2,0.3,0.1,0.8
Jay Dasilva,0.1,-,0.1,-
Todd Kane,0.7,0.3,-,0.4
Hakeeb Adelakun,-,-,-,-
Harry Cornick,0.8,0.2,0.1,0.4
Joost van Aken,0.5,0.1,-,0.4
Charlie Goode,0.4,-,0.1,0.3
Jordan Obita,0.7,0.4,-,0.2
Clarke Oduor,0.2,0.1,-,0.1
Martin Cranie,0.1,-,-,0.1
Max O'Leary,-,-,-,-
Toby Peter Sibbick,-,-,-,-
Luke Berry,0.8,0.2,0.1,0.5
Ben Pearson,0.4,0.3,-,0.1
Pelly-Ruddock Mpanzu,1,0.6,-,0.3
Jack Hunt,0.1,-,-,0.1
Marvin Johnson,0.8,0.5,-,0.3
Loïc Mbe Soh,0.4,-,-,0.4
Bruno Martins Indi,-,-,-,-
Jack Stacey,0.3,0.1,-,0.2
Kamil Jozwiak,1,0.3,-,0.6
Jacob Davenport,0.5,0.3,-,0.2
Antoine Semenyo,1,0.5,0.1,0.5
Daniel Bentley,-,-,-,-
Ryan Allsop,-,-,-,-
