Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Sime Vrsaljko,-,-,-,-
Tete Morente,0.6,0.2,0.1,0.3
Cucho Hernández,1.2,0.3,0.1,0.8
Saidy Janko,0.2,-,-,0.2
Jeison Murillo,0.3,-,-,0.3
Ivan Rakitic,1.1,0.5,0.1,0.5
Roger Martí,1.4,0.2,0.2,1
Raúl García,1.4,0.4,0.1,0.9
Héctor Herrera,0.4,0.2,-,0.3
Íñigo Martínez,0.6,0.3,-,0.4
Clément Lenglet,0.3,0.1,0.1,0.1
Borja Iglesias,1.4,0.3,0.1,1
Ximo Navarro,0.4,0.3,-,0.1
Hugo Guillamón,0.3,-,-,0.2
Aarón Martín,0.3,0.1,-,0.2
Willian José,1.1,0.1,0.1,0.9
Esteban Burgos,0.4,-,0.1,0.4
Sergi Enrich,1.7,-,0.4,1.2
Daniel Cárdenas,-,-,-,-
Jorge Pulido,0.5,0.2,0.1,0.2
Kike Barja,0.7,0.3,0.1,0.3
Raúl Albiol,0.2,0.1,0.1,0.1
Pablo Hervías,0.5,0.4,-,0.1
Igor Zubeldia,0.4,0.1,0.1,0.2
Josema,0.2,0.1,-,0.1
Sergio Asenjo,-,-,-,-
Jorge Miramón,0.4,0.2,-,0.2
Aihen Muñoz,0.3,0.1,-,0.1
Óscar Duarte,0.2,-,-,0.2
Samuel Chukwueze,1.1,0.3,-,0.8
Enis Bardhi,1.4,0.8,-,0.5
Augusto Solari,0.3,0.1,-,0.2
Josan,0.5,0.1,-,0.3
Mickaël Malsa,0.7,0.5,-,0.2
Álvaro Tejero,1,1,-,-
Juan Cala,0.5,0.1,0.1,0.4
Rúben Vezo,0.2,-,-,0.1
Karim Rekik,0.2,-,-,0.2
Jorge Molina,0.7,0.1,0.1,0.6
Óliver Torres,0.3,0.2,-,0.1
Carles Aleñá,1.4,0.9,-,0.5
Toni Villa,0.7,0.2,-,0.5
Iván Villar,-,-,-,-
Luis Suárez,1.7,0.5,0.1,1.1
Enes Ünal,1.4,0.3,0.2,0.9
Paco Alcácer,1.4,0.3,0.4,0.7
Samuel Umtiti,0.2,-,-,0.2
Unai López,1,0.8,-,0.2
Aitor Ruibal,1.2,0.4,-,0.7
Raúl Guti,0.8,0.5,-,0.3
Luis Rioja,0.7,0.3,-,0.4
Jaime Seoane,0.8,0.5,-,0.3
Junior Firpo,0.1,-,0.1,-
Fabián Orellana,1,0.3,-,0.7
Rubén Alcaraz,0.9,0.7,-,0.2
Pervis Estupiñán,0.4,0.1,-,0.3
Jens Jonsson,0.4,0.3,-,0.1
Antonio Barragán,0.2,-,0.1,0.1
Yeremi Pino,0.5,0.1,-,0.5
Cristian Tello,1.2,0.7,-,0.5
Pablo Ínsua,0.2,-,-,0.2
Pape Diop,0.8,0.4,0.1,0.3
Munir El Haddadi,1.3,0.5,0.1,0.8
Dani García,0.2,0.1,-,-
Rafa Soares,0.1,-,-,0.1
Edgar Méndez,1.1,0.3,0.2,0.6
Maxime Gonalons,0.2,-,-,0.2
Germán Sánchez,0.4,-,0.1,0.2
Antonio Puertas,0.7,0.3,-,0.5
Diego Costa,0.7,-,-,0.7
Álex Remiro,-,-,-,-
Ángel Montoro,0.7,0.5,-,0.1
Ander Guevara,0.3,0.2,-,0.1
Facundo Roncaglia,0.8,0.5,-,0.2
Damián Suárez,0.3,0.3,-,-
Alberto Moreno,0.8,0.4,-,0.4
Pere Milla,0.9,0.1,0.2,0.7
Marcos de Sousa,1.4,0.2,0.3,0.9
Bruno González,0.2,-,-,0.2
Fali,0.3,-,-,0.3
David Soria,-,-,-,-
Manu Sánchez,0.2,0.1,-,0.1
Mouctar Diakhaby,0.4,0.1,0.1,0.3
Vicente Esquerdo,0.3,0.3,-,-
Quini,0.4,0.3,-,0.1
Portu,0.8,0.1,0.1,0.6
Domingos Quina,1,0.5,-,0.5
Rodrigo Ely,0.5,-,-,0.5
Tomás Pina,0.3,0.1,-,0.2
