Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Adam May,1.1,0.8,-,0.4
Jordan Clarke,0.4,0.2,-,0.2
Nicky Adams,0.5,0.1,-,0.3
Nathan Delfouneso,1,0.3,0.1,0.6
Manny Oyeleke,0.4,0.1,0.1,0.2
Jordan Moore-Taylor,0.6,0.1,0.1,0.4
William Hondermarck,1.3,1,-,0.3
Sido Jombati,0.1,-,-,0.1
Lewis Page,0.3,0.3,-,-
Lloyd Kerry,0.7,0.4,0.1,0.2
Ben Stevenson,0.4,0.3,-,0.1
Simon Power,0.6,0.2,-,0.4
Frank Nouble,1.2,0.1,0.3,0.8
Ben Richards-Everton,0.3,-,0.1,0.2
Mason O'Malley,0.2,0.1,-,0.1
Paul Coutts,0.2,0.2,-,0.1
Simeon Akinola,1.9,0.5,0.2,1.2
Ben Coker,0.2,0.1,-,0.1
Abo Eisa,1.4,0.7,-,0.7
Luke Prosser,0.3,-,-,0.3
Arthur Read,1,0.6,-,0.3
Jordan Maguire-Drew,1.5,0.7,0.1,0.7
Kelvin Mellor,0.4,0.2,-,0.2
Lewis Ward,-,-,-,-
Lloyd Isgrove,0.9,0.3,-,0.6
Hiram Boateng,0.7,0.5,-,0.2
Warren Burrell,0.3,0.1,-,0.2
Tyler Cordner,0.3,0.2,-,0.2
Chris Clements,0.5,0.4,-,0.1
Adam Crookes,0.3,0.1,0.1,0.2
Aaron Lewis,1.1,0.7,-,0.3
Dimitar Mitov,-,-,-,-
Randell Williams,1.2,0.4,-,0.8
John White,0.3,0.1,0.1,0.2
Patrick Brough,0.5,0.2,0.1,0.2
Reeco Hackett-Fairchild,1.4,0.7,0.1,0.6
Tony Craig,0.4,-,0.1,0.3
Corey O'Keeffe,0.5,0.2,-,0.2
Dean Gerken,-,-,-,-
Matthew Gilks,-,-,-,-
Harry Charsley,1.5,0.5,-,1
Jubril Okedina,-,-,-,-
Joe Riley,1.9,1.6,-,0.3
Jake Hessenthaler,0.3,0.2,-,0.2
Jökull Andrésson,-,-,-,-
George Taft,3,-,-,3
Richard O'Donnell,-,-,-,-
Ryan Delaney,0.3,-,0.1,0.2
Shamal George,-,-,-,-
James Gibbons,0.3,0.1,-,0.2
MJ Williams,0.1,0.1,-,-
Callum Burton,-,-,-,-
Kellan Gordon,0.4,0.2,-,0.2
Calvin Andrew,0.5,0.1,-,0.5
Marek Stech,-,-,-,-
Jake Lawlor,0.3,-,-,0.3
Mat Sadler,0.4,0.1,-,0.3
Kyle Letheren,-,-,-,-
Rod McDonald,0.3,-,-,0.2
Ross Marshall,0.2,-,-,0.2
Lee Novak,1.9,0.1,0.2,1.6
Cameron Norman,0.3,0.2,-,0.1
Magnus Norman,-,-,-,-
Joe Martin,0.5,0.4,-,0.1
Alister Crawford,1.6,1.2,-,0.4
Junior Brown,0.2,0.1,-,0.1
Jem Karacan,0.5,0.3,-,0.1
Lewis Spence,0.3,0.3,-,-
Priestley Farquharson,0.2,-,-,0.2
Elliot Osborne,1,0.5,-,0.4
James Jones,0.5,0.1,-,0.4
Tom James,1.8,1.5,-,0.3
Omar Sowunmi,0.3,-,0.2,0.1
Omari Patrick,2.1,1.3,-,0.8
Ryan Loft,1.4,0.3,0.2,0.9
Tyler Cordner,0.6,0.2,0.1,0.2
Dan Sweeney,0.6,0.4,-,0.2
Danny Newton,1.8,0.6,0.1,1.1
Frank Vincent,0.8,0.7,-,0.2
Wesley McDonald,1.6,1,-,0.6
George Taft,0.4,-,-,0.4
Nick Townsend,-,-,-,-
Scot Bennett,0.6,0.2,-,0.4
Oliver Banks,0.9,0.5,0.2,0.2
Lewis Thomas,-,-,-,-
Jamie Cumming,-,-,-,-
Alex Kenyon,0.4,0.2,0.1,0.2
Noah Chilvers,1,0.7,-,0.2
Luke Joyce,0.2,0.2,-,-
Owura Edwards,0.9,0.7,-,0.2
Otis Khan,0.7,0.5,-,0.2
Billy Clarke,0.8,0.5,-,0.3
Ed Francis,0.4,0.2,-,0.1
Bobby Grant,1.5,0.4,0.3,0.8
Lenell John-Lewis,2.2,0.6,0.2,1.5
Ryan Cooney,0.4,0.4,-,0.1
Kane Wilson,0.4,0.1,-,0.3
Charles Vernam,1.5,0.7,-,0.8
Sam Habergham,0.3,0.2,-,0.2
Robbie Willmott,0.5,0.1,0.1,0.4
Josh Falkingham,0.3,0.2,-,0.1
Jason Lowe,0.4,0.3,-,0.1
Craig Clay,0.7,0.4,-,0.2
Tom Beadling,0.8,0.4,0.1,0.3
Thomas Hamer,0.6,0.4,-,0.2
