Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Jean-Armel Kana-Biyik,0.3,-,0.2,0.1
Khouma Babacar,2.6,1.1,0.1,1.4
Danijel Aleksic,1.8,0.7,0.1,0.9
Loïc Rémy,1.6,0.4,0.1,1.2
Aksel Aktas,1,0.7,-,0.3
Kevin Mirallas,1.5,0.6,0.1,0.9
Selim Ay,0.2,-,0.1,0.1
Zoran Kvrzic,0.8,0.4,-,0.4
Joseph Martin Paintsil,1.5,0.5,0.1,1
Marin Anicic,0.5,-,-,0.5
Aaron Appindangoyé,0.7,0.2,-,0.5
Efe Tatli,0.7,0.3,-,0.3
Mert Hakan Yandas,1.3,0.6,0.1,0.6
Samba Camara,0.2,-,-,0.2
Mustafa Eskihellac,0.6,0.3,-,0.2
Gökhan Akkan,-,-,-,-
Fatih Kuruçuk,0.4,0.1,-,0.3
Fabiano,0.7,0.3,0.1,0.3
Berkan Kutlu,1.2,0.7,0.1,0.4
Ante Kulusic,0.2,-,-,0.2
Ismail Cipe,-,-,-,-
Artur Sobiech,0.9,-,0.1,0.8
Júnior Morais,0.2,0.1,-,-
Lamine Gassama,-,-,-,-
Fedor Kudryashov,0.1,-,0.1,0.1
Dimitrios Kolovetsios,0.4,-,0.1,0.3
Ruud Boffin,-,-,-,-
Kayacan Erdogan,-,-,-,-
Zanka,-,-,-,-
Jakub Szumski,-,-,-,-
Fatih Aksoy,0.4,0.1,-,0.3
Oguz Yilmaz,0.3,-,0.1,0.3
Ulas Zengin,-,-,-,-
Omer Bayram,0.4,0.2,-,0.2
Moryke Fofana,0.7,0.1,-,0.6
Ertugrul Taskiran,-,-,-,-
Omer Ali Sahiner,0.4,0.3,-,0.1
Balázs Megyeri,-,-,-,-
Oghenekaro Etebo,0.3,0.3,-,-
Mesut Özil,0.7,0.3,0.1,0.3
Torgeir Børven,1,-,0.2,0.8
Afriyie Acquah,0.7,0.5,-,0.3
Bright Samuel,0.7,0.1,-,0.6
Godfred Donsah,0.5,0.3,-,0.3
Erdi Dikmen,0.2,-,-,0.2
Emir Dilaver,0.1,-,-,0.1
Deni Milosevic,1,0.5,-,0.4
Manolis Siopis,0.2,0.2,-,-
Ayman Ben Mohamed,-,-,-,-
Atila Turan,0.4,0.4,-,-
Saba Lobzhanidze,1.2,0.3,0.1,0.8
Akin Alkan,-,-,-,-
Tayfur Bingöl,0.6,0.1,-,0.5
Ozer Ozdemir,0.2,0.1,-,0.1
Hasan Huseyin Acar,1.6,1,-,0.6
Muhammed Kerem Akturkoglu,1.1,0.4,-,0.7
Fabrício Baiano,0.6,0.3,-,0.3
Tolga Cigerci,0.3,0.3,-,-
Korcan Celikay,-,-,-,-
Dorukhan Tokoz,0.2,0.1,-,0.1
Eren Albayrak,0.2,0.2,-,-
Hasan Hatipoglu,0.8,-,0.2,0.6
Zlatko Tripic,0.8,0.5,-,0.4
Mikkel Diskerud,0.4,0.2,-,0.3
Claudemir,0.3,0.2,-,0.1
Tiago Lopes,0.6,0.3,-,0.3
Ramazan Kose,-,-,-,-
Ferhat Kaplan,-,-,-,-
Sidney Sam,1.2,0.5,0.1,0.6
Bogdan Stancu,1.2,0.2,0.1,0.8
Bilal Basacikoglu,0.7,0.2,-,0.5
Artem Kravets,1.6,0.2,0.1,1.2
Olarenwaju Kayode,1.2,0.2,0.3,0.7
Baris Yardimci,0.4,0.2,-,0.2
Titi,0.3,-,0.1,0.2
Zakarya Bergdich,-,-,-,-
Ricardo Gomes,2.1,0.6,0.2,1.2
Lukas Podolski,1.4,0.5,-,0.8
Damjan Djokovic,1.2,1.1,0.1,0.1
Semih Kaya,0.4,-,0.1,0.3
Aziz Behich,0.4,0.2,-,0.2
Okan Kocuk,-,-,-,-
Murat Paluli,0.3,0.1,-,0.1
Mustafa Pektemek,1.1,0.2,0.1,0.8
Robert Piris da Motta,0.7,0.2,-,0.4
Oguzhan Ozyakup,0.7,0.5,-,0.3
Oltan Karakullukcu,1,0.1,0.1,0.8
Oguz Ceylan,0.4,0.2,0.1,0.1
Mattias Johansson,0.8,0.6,-,0.2
Beykan Simsek,0.5,0.3,0.2,-
Gabriel Obertan,0.9,0.4,-,0.4
Marcelo Goiano,-,-,-,-
Adil Demirbag,0.3,0.1,-,0.3
Jonathan Bolingi,0.9,0.2,0.1,0.6
Caner Osmanpasa,0.4,-,-,0.3
Javi Montero,0.2,0.1,-,0.1
Baris Yardimci,-,-,-,-
Carlos Ponck,0.4,0.1,0.1,0.3
Sefa Yilmaz,1.1,0.2,0.1,0.8
Alaaddin Okumus,-,-,-,-
Tomas Brecka,0.1,-,-,0.1
Peter Zulj,1.4,0.4,0.1,0.8
Marafona,0.1,-,-,0.1
Alin Tosca,0.2,-,-,0.1
João Pereira,-,-,-,-
Emiliano Viviano,-,-,-,-
Levan Shengelia,1.1,0.6,0.1,0.4
Jean-Claude Billong,0.2,-,-,0.2
Marcel Tisserand,0.4,-,0.2,0.2
Jeremain Lens,0.5,0.3,0.1,0.2
