Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Fabio Carvalho,2.3,0.5,0.3,1.5
Kai Havertz,1.2,0.2,0.1,0.9
Ben White,0.3,-,-,0.3
Ayoze Pérez,1.2,0.4,0.1,0.8
Jamaal Lascelles,0.8,-,-,0.8
Mario Lemina,0.7,0.5,-,0.2
Robert Sánchez,-,-,-,-
Saïd Benrahma,1.2,0.8,0.1,0.3
Naby Keita,0.9,0.6,-,0.3
Robin Koch,0.5,0.1,0.1,0.4
Maximilian Kilman,0.4,0.1,-,0.3
John Egan,0.5,-,0.1,0.4
Curtis Jones,0.8,0.3,-,0.5
Nemanja Matic,0.3,0.3,0.1,-
Scott Dann,0.3,-,0.1,0.2
Nathan Aké,0.3,0.1,-,0.2
Joe Rodon,0.1,-,-,0.1
Neal Maupay,2.2,0.4,0.3,1.5
Gary Cahill,0.6,-,-,0.6
Cheikhou Kouyaté,0.2,-,0.1,0.1
Theo Walcott,1.4,0.6,-,0.8
Bernardo,1.3,-,0.7,0.7
Ben Davies,0.2,0.1,0.1,0.1
Édouard Mendy,-,-,-,-
Rayan Aït-Nouri,0.7,0.3,-,0.4
Bernd Leno,-,-,-,-
Luka Milivojevic,0.6,0.5,-,0.1
Aaron Ramsdale,-,-,-,-
Nathan Redmond,1.6,0.6,-,1
Joel Ward,0.1,0.1,-,-
Rúnar Alex Rúnarsson,-,-,-,-
Kasper Schmeichel,-,-,-,-
Kean Bryan,0.2,-,0.1,0.2
Ivan Cavaleiro,1.3,0.5,0.1,0.7
Alex Iwobi,0.5,0.2,-,0.3
Juan Mata,0.6,0.2,-,0.3
Jayden Bogle,1.1,0.1,0.1,0.8
Conor Coady,0.2,-,0.1,0.1
Jack Stephens,0.3,-,0.1,0.3
Bobby De Cordova-Reid,1,0.2,0.1,0.7
Marvelous Nakamba,0.2,0.2,-,-
Darren Randolph,-,-,-,-
Olivier Giroud,1.7,0.3,0.4,1
Jordan Ayew,0.8,0.2,-,0.5
Mateusz Klich,1,0.6,-,0.5
John Fleck,0.5,0.4,-,0.1
Robbie Brady,0.8,0.4,-,0.4
Jack Cork,0.3,0.1,-,0.2
Robert Snodgrass,0.5,0.1,-,0.4
Dara O'Shea,0.1,-,-,0.1
David Luiz,0.8,0.3,-,0.5
Ruben Loftus-Cheek,1.2,0.3,-,0.8
Aleksandar Mitrovic,2.2,0.4,0.1,1.7
Rui Patrício,-,-,-,-
Alex McCarthy,-,-,-,-
Steven Bergwijn,0.7,0.2,-,0.5
Neco Williams,0.3,-,-,0.3
Dele Alli,0.8,0.2,0.1,0.5
Jóhann Gudmundsson,0.9,0.5,-,0.3
Oliver Norwood,0.3,0.3,-,-
Cédric Soares,0.7,0.5,-,0.2
Ainsley Maitland-Niles,0.7,0.5,-,0.2
Joe Gomez,-,-,-,-
James Milner,0.5,0.3,-,0.1
Emil Krafth,0.4,0.3,-,0.2
David de Gea,-,-,-,-
Cengiz Ünder,1,0.9,-,0.1
Patrick van Aanholt,0.8,0.4,-,0.4
Max Lowe,0.3,0.1,-,0.1
Ashley Barnes,1.7,0.5,0.1,1
Jonny,0.1,-,-,0.1
Tom Davies,0.3,0.2,-,-
André Gomes,0.5,0.5,-,-
Vicente Guaita,-,-,-,-
Rúben Vinagre,-,-,-,-
Adam Lallana,0.7,0.2,-,0.5
Virgil van Dijk,0.8,0.2,0.2,0.4
Moussa Sissoko,0.1,-,-,0.1
Willian José,1.1,0.3,0.2,0.6
Ainsley Maitland-Niles,0.2,0.2,-,-
Marçal,0.2,0.2,-,-
Alexis Mac Allister,1.1,0.9,-,0.3
Erik Pieters,0.2,0.1,-,0.1
Ryan Fredericks,0.3,0.1,0.1,0.1
Daniel Jebbison,1,0.3,0.3,0.5
John Ruddy,-,-,-,-
Tyler Roberts,1,0.5,-,0.5
Sander Berge,0.7,0.1,-,0.5
Mohamed Elneny,0.4,0.2,-,0.2
Takumi Minamino,1.3,0.5,-,0.8
Theo Corbeanu,-,-,-,-
Ryan Bertrand,0.3,0.1,-,0.1
Dennis Praet,0.5,0.2,-,0.3
Steven Alzate,0.5,0.3,-,0.2
Bernard,0.5,0.3,-,0.2
Grady Diangana,0.7,0.2,0.1,0.5
Callum Robinson,1.1,0.4,0.1,0.6
Manuel Lanzini,0.7,0.3,-,0.4
Eric Bailly,0.2,-,-,0.2
Daniel Amartey,0.2,-,0.1,0.2
Takumi Minamino,0.8,0.2,-,0.6
Ben Osborn,0.4,0.2,-,0.2
Semi Ajayi,0.4,-,0.1,0.3
Sam Field,-,-,-,-
Tim Ream,-,-,-,-
Percy Tau,-,-,-,-
Xherdan Shaqiri,0.8,0.6,-,0.1
Joe Bryan,0.5,0.3,-,0.2
Phil Bardsley,0.8,0.5,-,0.3
Josh Maja,1.4,0.2,0.2,1
Fabian Schär,0.7,0.4,-,0.2
Enda Stevens,0.5,0.1,-,0.4
James Tomkins,0.3,-,-,0.3
Ben Johnson,0.2,0.1,-,0.1
Morgan Gibbs-White,0.9,0.5,-,0.5
Ryan Fraser,0.7,0.3,-,0.4
Javier Manquillo,0.1,0.1,-,-
Carlos Vinícius,0.8,-,0.2,0.6
Filip Krovinovic,0.7,0.6,-,0.1
Harry Winks,0.3,0.3,-,-
Moussa Djenepo,0.5,0.3,-,0.3
Nampalys Mendy,0.2,0.2,-,-
Matej Vydra,1.3,0.1,0.1,1
Sean Longstaff,0.7,0.4,-,0.3
Erik Lamela,0.9,0.5,-,0.4
Keinan Davis,0.6,-,0.1,0.5
Ki-Jana Hoever,0.1,-,-,0.1
Jack O'Connell,-,-,-,-
George Baldock,0.4,0.1,-,0.3
DeAndre Yedlin,0.3,0.2,-,0.2
Owen Otasowie,0.7,-,-,0.7
Donny van de Beek,0.1,0.1,-,0.1
Matt Phillips,0.7,0.3,0.1,0.3
Ross Barkley,0.5,0.5,-,-
Jairo Riedewald,0.2,0.2,-,0.1
Jamal Lewis,0.1,-,-,0.1
Nathaniel Clyne,0.3,0.2,-,0.2
Jeff Hendrick,0.5,0.2,-,0.2
Eddie Nketiah,0.7,0.1,0.1,0.5
Michy Batshuayi,0.7,0.2,0.1,0.3
Hélder Costa,0.7,-,0.1,0.6
Billy Gilmour,0.2,0.2,-,-
Kevin Long,0.3,-,0.1,0.1
Andy Carroll,0.8,0.1,0.1,0.6
Fábio Silva,1.5,0.1,0.1,1.3
Anthony Gordon,-,-,-,-
James McCarthy,0.1,0.1,-,-
Kieran Gibbs,0.1,-,-,0.1
Matthew Longstaff,-,-,-,-
Jean-Philippe Mateta,0.6,-,0.1,0.4
Fabian Delph,0.1,0.1,-,-
Jakub Moder,1.1,0.3,-,0.8
Dale Stephens,0.6,0.4,-,0.1
Aaron Connolly,1.4,0.2,0.2,0.9
Sead Kolasinac,-,-,-,-
Jay Rodriguez,1,0.4,0.2,0.5
Alireza Jahanbakhsh,0.9,0.3,-,0.5
Axel Tuanzebe,-,-,-,-
Sidnei Tavares,0.5,0.5,-,-
Oliver Burke,1,0.2,-,0.8
Jack Butland,-,-,-,-
Joseph Willock,0.6,-,-,0.6
Pablo Hernández,0.9,0.4,-,0.6
Nathan Tella,0.9,0.4,-,0.6
Vitinha,0.4,0.3,-,0.2
Davy Pröpper,0.6,0.3,-,0.3
Niall Huggins,-,-,-,-
Ruben Loftus-Cheek,-,-,-,-
John Lundstram,0.7,0.3,-,0.4
Ian Poveda-Ocampo,0.4,0.1,-,0.2
Niels Nkounkou,0.5,0.5,-,-
Carney Chukwuemeka,0.5,0.5,-,-
Maxime Le Marchand,0.5,0.5,-,-
Ibrahima Diallo,0.3,0.2,-,-
