Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Bruno Peres,0.4,0.2,-,0.2
Felipe Caicedo,1.2,0.1,0.2,0.9
Marco Sportiello,-,-,-,-
Salvatore Molina,0.5,0.3,-,0.2
Ashley Young,0.6,0.2,-,0.3
Pierluigi Gollini,-,-,-,-
Matteo Ricci,0.7,0.7,-,0.1
Diego Farias,1.1,0.3,0.1,0.7
Ebrima Darboe,0.6,0.6,-,-
Leonardo Pavoletti,1.3,0.1,0.4,0.8
Nicolò Rovella,0.6,0.4,-,0.2
Soualiho Meité,0.4,0.4,0.1,-
Keita Baldé,1.8,0.4,0.2,1.2
Maximiliano Olivera,-,-,-,-
Kevin Bonifazi,0.6,0.1,-,0.4
Sofyan Amrabat,0.3,0.2,-,0.2
Mattia Bani,0.5,-,0.2,0.3
Daniele Rugani,0.2,-,0.1,0.1
Nicolas Nkoulou,0.2,-,0.1,0.1
Gastón Ramírez,0.5,0.3,-,0.2
Aleksey Miranchuk,0.6,0.2,-,0.4
Botond Balogh,-,-,-,-
Danilo,0.5,-,0.1,0.3
Gaetano Castrovilli,0.9,0.4,0.1,0.5
Mattias Svanberg,1.7,1.2,0.1,0.4
Ivan Radovanovic,0.2,0.1,-,0.1
Nicolás Domínguez,0.6,0.3,-,0.3
Andrea Masiello,0.2,-,-,0.2
Walace,0.6,0.4,-,0.2
Riccardo Saponara,1.1,0.1,-,1
Ivan Provedel,-,-,-,-
Miha Zajc,0.6,0.2,-,0.4
Riccardo Improta,1,0.5,0.1,0.5
Riccardo Gagliolo,0.7,0.1,0.2,0.4
Maxime Lopez,0.3,0.1,-,0.2
Ardian Ismajli,0.4,0.1,0.1,0.2
Daniele Verde,1.5,0.5,-,1
Jakub Jankto,1.1,0.4,0.1,0.7
Soualiho Meité,0.6,0.3,0.1,0.1
Marco Silvestri,-,-,-,-
Bartlomiej Dragowski,-,-,-,-
Francesco Magnanelli,0.2,0.2,-,-
Dennis Man,1.4,0.4,0.1,0.9
Sandro Tonali,0.4,0.3,-,0.1
Nahuel Molina,0.6,0.2,-,0.4
Giulio Maggiore,1.2,0.4,0.2,0.6
Ricardo Rodríguez,0.8,0.8,-,0.1
Sasa Lukic,0.6,0.1,-,0.5
Pawel Dawidowicz,0.5,0.1,0.1,0.3
Mert Müldür,0.5,0.1,-,0.4
Juan Brunetta,0.8,0.4,-,0.4
Aleksandar Kolarov,0.9,0.9,-,-
Paolo Faragò,0.4,0.1,0.1,0.1
Sebastian Walukiewicz,0.2,-,0.1,0.1
Brian Oddei,0.4,-,-,0.4
Claudio Terzi,0.2,-,0.1,0.1
Matías Vecino,0.8,0.3,-,0.5
Samir Ujkani,-,-,-,-
Fernando Llorente,0.8,-,0.1,0.7
Germán Pezzella,0.5,-,-,0.5
Antonio Cioffi,-,-,-,-
Samu Castillejo,0.9,0.4,-,0.5
Gerard Deulofeu,1.3,0.3,0.2,0.8
Gregoire Defrel,0.8,0.4,-,0.4
Roberto Insigne,1.3,0.4,0.1,0.8
Andrea Conti,0.5,-,-,0.5
Giovanni Simeone,1.3,0.2,0.2,0.9
Juan Musso,-,-,-,-
Andreas Skov Olsen,1.2,0.5,-,0.7
Alessandro Tuia,0.3,-,-,0.2
Lorenzo De Silvestri,0.4,-,-,0.3
Marash Kumbulla,0.3,-,0.1,0.2
Pedro Obiang,0.5,0.4,-,0.1
Pasquale Schiattarella,0.4,0.1,-,0.2
Matteo Lovato,-,-,-,-
Jayden Braaf,0.5,-,-,0.5
Ronaldo Vieira,0.5,0.3,-,0.3
Sebastien De Maio,0.4,0.1,-,0.3
Federico Bernardeschi,0.5,0.2,-,0.3
Mergim Vojvoda,0.3,-,-,0.2
Iago Falque,1,0.5,-,0.5
Lennart Czyborra,0.3,0.1,-,0.2
Carles Pérez,1.1,0.4,0.1,0.6
Mato Jajalo,-,-,-,-
Goran Pandev,0.7,0.1,0.1,0.5
Valerio Verre,0.9,0.5,-,0.4
Mateo Musacchio,-,-,-,-
Danilo D'Ambrosio,0.4,0.1,0.2,0.2
Lorenzo Montipò,-,-,-,-
Emanuel Vignato,0.7,0.4,-,0.3
Paolo Ghiglione,0.4,0.3,-,0.2
Mehdi Bourabia,0.6,0.4,-,0.2
Jens Stryger Larsen,0.7,0.3,-,0.4
Joseph Alfred Duncan,0.4,0.3,-,0.1
Simone Zaza,2,0.4,0.2,1.4
Marlon Santos,0.2,-,-,0.2
Yayah Kallon,2,1,-,1
Kaan Ayhan,0.3,0.1,-,0.2
Lisandro Magallán,0.3,-,-,0.3
Edoardo Goldaniga,0.3,-,-,0.2
Artur Ionita,0.6,0.3,0.1,0.3
Giuseppe Cuomo,0.2,-,0.1,0.1
Kevin Lasagna,1.6,0.3,0.2,1.1
Bryan Reynolds,-,-,-,-
Simone Scuffet,-,-,-,-
Valentin Eysseric,0.8,0.3,-,0.5
Stefano Sensi,1,0.7,-,0.3
Gabriele Zappa,0.3,0.1,-,0.2
Gonzalo Escalante,0.3,0.2,-,-
Alessandro Deiola,0.5,0.4,-,0.1
Mamadou Coulibaly,0.7,0.7,-,-
Martín Cáceres,0.5,0.2,0.1,0.3
Mateo Musacchio,-,-,-,-
Pedro Pereira,0.4,0.2,-,0.1
Perparim Hetemaj,0.4,0.2,-,0.2
Daniele Baselli,0.3,0.2,-,0.1
Mihai Valentin Mihaila,1.2,0.4,0.1,0.8
Mohamed Fares,0.7,0.3,-,0.3
Luca Pellegrini,0.5,0.4,-,0.1
Bastos,-,-,-,-
Gianluca Frabotta,0.3,-,-,0.3
Rade Krunic,0.3,0.2,-,0.1
Wesley Hoedt,0.1,0.1,-,0.1
Pol Lirola,0.2,-,-,0.2
Igor Julio,-,-,-,-
Marco Parolo,0.3,0.1,0.1,0.2
Eddie Salcedo,1,0.2,0.2,0.6
Kevin Malcuit,0.4,0.4,-,-
Ahmad Benali,0.6,0.2,0.1,0.3
Karol Linetty,0.3,0.1,-,0.2
Faouzi Ghoulam,0.3,0.2,-,0.1
Luigi Sepe,-,-,-,-
Manolo Portanova,2.5,1.5,-,1
Alessandro Buongiorno,0.3,-,0.2,0.1
Manolo Portanova,0.3,0.3,-,-
Andrea Pinamonti,0.5,-,-,0.5
Bryan Dabo,0.5,0.3,-,0.2
Lukas Lerager,0.3,0.1,-,0.1
Davide Santon,0.5,0.1,-,0.4
Jacopo Sala,-,-,-,-
Cristiano Piccini,1,-,-,1
Jeremy Toljan,0.2,-,-,0.2
Jens Petter Hauge,0.4,0.1,0.1,0.3
Nicola Murru,0.4,0.1,-,0.3
Roberto Piccoli,0.8,0.1,0.3,0.4
Alex Berenguer,1,0.5,-,0.5
Amer Gojak,0.5,0.2,-,0.3
Luca Caldirola,0.3,-,0.1,0.2
Alan Empereur,0.3,-,-,0.3
Patric,0.3,0.2,-,-
Nahuel Estévez,0.9,0.4,0.1,0.4
Amadou Diambo,-,-,-,-
Ivor Pandur,-,-,-,-
Kevin Malcuit,-,-,-,-
Matteo Darmian,-,-,-,-
Federico Barba,0.4,0.1,-,0.3
Davide Biraschi,0.2,0.1,-,0.1
Juan Jesus,-,-,-,-
Ilija Nestorovski,1.1,-,0.1,1
Alberto Grassi,0.4,0.2,-,0.2
Jean-Daniel Akpa Akpro,0.4,0.1,-,0.3
Marko Pjaca,0.8,0.2,-,0.6
Gastón Pereiro,0.9,0.3,0.1,0.5
Riccardo Marchizza,0.3,-,-,0.3
Lautaro Valenti,0.4,0.3,-,0.1
Fabio Depaoli,0.5,0.2,-,0.3
Federico Ceccherini,-,-,-,-
Bosko Sutalo,-,-,-,-
Milos Vulic,0.7,0.4,-,0.2
Rolando Mandragora,0.9,0.6,0.1,0.2
Luca Vignali,0.2,0.1,-,0.1
Ernesto Torregrossa,0.7,-,-,0.7
Javier Pastore,-,-,-,-
Daam Foulon,-,-,-,-
Senad Lulic,0.4,0.1,-,0.3
Kevin Lasagna,2.4,0.5,0.2,1.7
Nikola Kalinic,1.3,0.1,0.2,1
Gary Medel,-,-,-,-
Mehdi Léris,0.1,-,-,0.1
Lorenzo Venuti,0.1,0.1,-,0.1
Alex Cordaz,-,-,-,-
Mitchell Dijks,0.1,-,-,0.1
Christian Pastina,-,-,-,-
Christian Oliva,-,-,-,-
Andrea Conti,-,-,-,-
Léo Duarte,-,-,-,-
Vincent Laurini,0.1,0.1,-,-
Jeroen Zoet,-,-,-,-
José Callejón,0.5,0.2,0.1,0.3
Federico Bonazzoli,1.1,0.4,0.1,0.7
Gabriele Moncini,0.8,0.2,0.1,0.5
Ragnar Klavan,0.4,0.1,-,0.3
Elio Capradossi,1,-,1,-
Vittorio Parigini,0.3,0.3,-,-
Fernando Forestieri,0.6,0.2,0.1,0.3
Sam Lammers,0.6,0.1,0.1,0.4
Eljif Elmas,0.4,0.1,-,0.3
Vedat Muriqi,1.1,0.1,0.1,0.9
Federico Mattiello,-,-,-,-
Marco Bertini,-,-,-,-
Mattia De Sciglio,1,1,-,-
Nicolò Manfredini,-,-,-,-
Adolfo Gaich,1.5,0.3,0.3,1
Salvatore Sirigu,-,-,-,-
Marco Sau,0.5,0.1,-,0.3
Ibrahima Mbaye,0.1,-,0.1,-
Amadou Diawara,0.4,0.2,0.1,0.1
Aaron Hickey,0.2,0.2,-,-
Steeve-Mike Eboa Ebongue,-,-,-,-
Iyenoma Udogie,0.2,-,0.2,-
Samuel Di Carmine,0.8,-,0.4,0.5
Ryder,-,-,-,-
Andrej Galabinov,0.7,0.1,0.2,0.4
Andrea Favilli,1.2,0.1,0.2,0.9
Antonino La Gumina,1.2,0.1,-,1.1
Paolo Faragò,1,-,-,1
Ebrima Colley,0.7,0.1,0.1,0.5
Andrés Tello,0.4,0.1,-,0.3
Jacopo Segre,0.4,0.1,-,0.3
Kwadwo Asamoah,0.2,0.1,-,0.1
Daan Dierckx,-,-,-,-
Niccolò Zanellato,0.2,0.1,-,-
Valentin Antov,0.2,0.2,-,-
Daniele Padelli,-,-,-,-
Omar Khailoti,-,-,-,-
Andrea Poli,0.2,-,-,0.2
Alberto Cerri,0.7,0.1,0.1,0.5
Federico Santander,1,0.3,-,0.8
Alessandro Berardi,-,-,-,-
Edoardo Bove,-,-,-,-
Luca Siligardi,0.5,0.3,-,0.3
Daniel Bessa,0.4,0.2,0.1,0.2
Ângelo da Costa,-,-,-,-
Emmanuel Rivière,0.6,0.1,0.1,0.3
Christian Kouamé,0.5,-,0.2,0.4
Luca Marrone,0.2,-,0.1,0.1
Vanja Milinkovic-Savic,-,-,-,-
Filippo Melegoni,0.3,0.1,-,0.1
Maxime Busi,0.3,0.2,-,0.1
Arturo Calabresi,-,-,-,-
Riccardo Saponara,-,-,-,-
Joshua Zirkzee,0.3,-,-,0.3
Vladimir Golemic,0.2,-,0.1,0.1
Lukás Haraslín,0.9,0.4,-,0.5
Alessandro Deiola,0.4,0.2,-,0.3
Joseph Alfred Duncan,0.3,0.3,-,-
Thomas Ouwejan,0.4,0.3,-,0.1
Sebastiano Luperto,0.2,0.1,-,0.1
Roberto Inglese,0.6,0.3,0.1,0.1
Mario Mandzukic,0.5,-,-,0.5
Gennaro Acampora,0.6,0.5,-,0.1
Francesco Cassata,0.1,0.1,-,-
Alessandro Tripaldelli,-,-,-,-
Johan Mojica,0.4,0.1,-,0.3
Borja Valero,0.3,0.2,-,0.1
Danilo Cataldi,0.3,0.2,-,0.2
Mattia Pagliuca,-,-,-,-
Andrea Danzi,0.5,0.5,-,-
Douglas Costa,-,-,-,-
Giacomo Ricci,-,-,-,-
Wylan Cyprien,0.5,0.5,-,-
Alessandro Di Pardo,-,-,-,-
Stefano Denswil,-,-,-,-
Jacopo Petriccione,0.2,0.2,-,-
Kevin Rüegg,0.1,0.1,-,-
Mattia Caldara,0.3,-,-,0.3
Juan Ramos,0.2,0.2,-,-
Matteo Ruggeri,0.3,-,-,0.3
Simone Iacoponi,0.2,0.1,-,0.1
Paolo Bartolomei,0.7,0.7,-,-
Denis Vavro,-,-,-,-
Valon Behrami,0.2,-,-,0.2
Vasilios Zagaritis,-,-,-,-
Jean-Victor Makengo,0.2,0.2,-,-
Federico Peluso,-,-,-,-
Felix Correia,-,-,-,-
Stefano Sturaro,0.1,0.1,-,-
Lorenzo Colombo,1,-,-,1
Carlo Pinsoglio,-,-,-,-
Drissa Camara,-,-,-,-
Federico Ricci,-,-,-,-
Lubomir Tupta,1,-,-,1
Andreas Pereira,0.5,0.3,-,0.2
Andri Fannar Baldursson,0.3,-,-,0.3
Simon Sohm,0.3,0.1,-,0.2
Fernando Llorente,0.7,-,-,0.7
Giuseppe Caso,-,-,-,-
Fabio Depaoli,-,-,-,-
Samuel Di Carmine,0.5,-,0.1,0.5
Hidde ter Avest,-,-,-,-
Luca Mora,0.3,-,-,0.3
Giovanni Crociata,-,-,-,-
Radja Nainggolan,0.8,0.5,-,0.3
Daniel Maldini,0.2,-,-,0.2
Fabio Pisacane,-,-,-,-
Luis Rojas,0.1,0.1,-,-
Mattia Sprocati,-,-,-,-
Giuseppe Di Serio,0.3,0.1,-,0.2
Musa Juwara,0.2,-,-,0.2
Kiril Despodov,-,-,-,-
Fabrizio Caligara,-,-,-,-
Vasco Regini,-,-,-,-
Stanislav Lobotka,-,-,-,-
Eduardo Henrique,0.5,0.2,0.1,0.2
Viktor Kovalenko,-,-,-,-
Vincenzo Millico,-,-,-,-
Cristian Dell'Orco,0.1,-,-,0.1
Matteo Tramoni,0.2,0.2,-,-
Davide Ghislandi,-,-,-,-
Emmanuel Gyabuaa,-,-,-,-
Jacopo Dezi,0.5,0.5,-,-
Antonio Barreca,0.7,-,-,0.7
Fabio Depaoli,1,0.5,-,0.5
Kristoffer Askildsen,0.2,0.2,-,-
Philip Yeboah Ankrah,-,-,-,-
Andrea Rispoli,0.2,0.1,-,0.1
Amad,1,1,-,-
Denis Dragus,0.4,0.3,-,0.1
Jérôme Onguéné,-,-,-,-
Márk Kosznovszky,1,-,-,1
Siriki Sanogo,-,-,-,-
Wisdom Amey,-,-,-,-
Luca Siligardi,-,-,-,-
Christian Maggio,0.3,-,-,0.3
Kacper Urbanski,-,-,-,-
Manuel Gasparini,-,-,-,-
Tomislav Gomelt,-,-,-,-
Giuseppe Mastinu,-,-,-,-
Patrick Cutrone,0.3,0.1,-,0.2
Antonio Raimondo,-,-,-,-
Giacomo Vrioni,-,-,-,-
Isaac Karamoko,-,-,-,-
Nikita Contini,-,-,-,-
Radu Dragusin,-,-,-,-
Stefano Turati,-,-,-,-
Justin Kluivert,0.5,0.5,-,-
Simone Rabbi,-,-,-,-
Tòfol Montiel,-,-,-,-
Arturo Calabresi,-,-,-,-
Nicolò Armini,-,-,-,-
Federico Ravaglia,-,-,-,-
Edoardo Vergani,-,-,-,-
Federico Marchetti,-,-,-,-
Aleksandr Kokorin,-,-,-,-
Antonio Palumbo,1,1,-,-
Nicolás Schiappacasse,-,-,-,-
Martin Palumbo,-,-,-,-
Petar Micin,-,-,-,-
Djavan Anderson,-,-,-,-
Antonio Mazzotta,-,-,-,-
Raul Moro,-,-,-,-
Riccardo Calafiori,-,-,-,-
Augustus Kargbo,-,-,-,-
Andrea Adorante,-,-,-,-
Lorenzo Del Pinto,-,-,-,-
Simone Colombi,-,-,-,-
Chaka Traorè,0.3,-,-,0.3
Nícolas,-,-,-,-
Ciprian Tatarusanu,-,-,-,-
