,Unnamed: 0,Name,Team,Age,Apps,start_bench,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,League,Tackles,Inter,Fouls,Offsides,Clear,Drb_past,Blocks,OwnG,Drb_per_game,Fouled,Off,Disp,UnsTch,Total_shots,OutOfBox,SixYardBox,PenaltyArea,KeyP,AvgP,Crosses,LongB,ThrB,Main_role,is_pos_c,is_pos_l,is_pos_r,secondary_role,is_pos_sec_c,is_pos_sec_l,is_pos_sec_r,third_role,is_pos_third_c,is_pos_third_l,is_pos_third_r,name,date_of_birth,height,foot,joined,contract_until,market_value,nationality_1,nationality_2,nationality_3
5048,5048,Marlon Pack,Cardiff,30,30,9,2692,2,2,5,1,0.4,79.6,1.8,1,6.71,Championship,0.9,0.7,1.2,0.0,1.4,0.7,0.2,0,0.5,0.7,0.0,0.2,0.3,0.4,0.2,0.1,0.1,1.0,32.4,0.5,3.2,0.0, DMC,1,0,0,None,0,0,0,None,0,0,0,Marlon Pack,1991-03-25,1.88,right,2019-08-08,2022-06-30,2700000.0,'England',None,None
5049,5049,Marlon Sundermann,Hannover,23,0,1,45,0,0,0,0,0.0,86.7,0.0,0,6.42,Bundesliga_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,3.0,0.0, GK,1,0,0,None,0,0,0,None,0,0,0,Marlon Sundermann,1998-05-16,1.86,right,2020-08-14,2021-06-30,100000.0,'Germany',None,None
5050,5050,Marnon Busch,FC Heidenheim,26,29,1,2535,1,0,3,0,0.7,70.0,0.9,0,6.83,Bundesliga_2,2.0,1.7,1.0,0.2,2.6,0.5,0.4,0,0.5,0.5,0.0,0.3,0.8,0.7,0.6,0.0,0.1,1.0,39.2,0.4,3.2,0.0, D,0,0,1,M,0,0,1,None,0,0,0,Marnon Busch,1994-12-08,1.82,right,2017-07-01,2023-06-30,1200000.0,'Germany',None,None
5051,5051,Marquinhos,PSG,27,24,1,2129,3,1,2,0,0.6,93.0,2.0,0,7.05,Ligue_1,1.1,1.1,0.6,0.4,2.9,0.4,0.4,0,0.1,0.2,0.0,0.1,0.3,0.6,0.0,0.1,0.5,0.1,69.2,0.0,4.2,0.0, D,1,0,1,DMC,1,0,0,None,0,0,0,Marquinhos,1994-05-14,1.83,right,2013-07-19,2024-06-30,75000000.0,'Brazil', 'Portugal',None
5052,5052,Marrony,Atletico MG,22,1,0,71,0,0,0,0,1.0,78.6,0.0,0,6.05,Brasileirao,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0, AM,0,1,0,FW,1,0,0,None,0,0,0,MarronyMarrony,1999-02-05,1.86,right,2020-06-16,2025-06-22,3800000.0,'Brazil',None,None
5053,5053,Marshall Munetsi,Reims,24,21,6,1929,1,0,7,1,0.4,83.4,2.1,2,6.76,Ligue_1,1.3,2.1,1.1,0.4,3.1,0.7,0.9,0,0.6,0.7,0.0,0.3,1.1,0.4,0.2,0.0,0.3,0.3,31.0,0.0,2.0,0.0, D,1,0,0,DMC,1,0,0,None,0,0,0,Marshall Munetsi,1996-06-22,1.87,right,2019-07-01,2024-06-30,2500000.0,'Zimbabwe',None,None
5054,5054,Marten Winkler,Hertha Berlin,18,0,1,1,0,0,0,0,0.0,0.0,0.0,0,6.0,Bundesliga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, FW,1,0,0,None,0,0,0,None,0,0,0,Marten Winkler,2002-10-31,1.82,right,2019-12-19,2021-06-30,200000.0,'Germany',None,None
5055,5055,Marten de Roon,Atalanta,30,33,2,3022,1,1,8,1,0.5,85.5,1.9,0,6.98,Serie_A,2.3,2.0,1.9,0.1,1.1,1.4,0.3,0,0.3,0.7,0.0,0.3,0.5,0.5,0.4,0.0,0.1,0.5,61.8,0.1,4.0,0.0, DMC,1,0,0,None,0,0,0,None,0,0,0,Marten de Roon,1991-03-29,1.85,right,2017-08-10,2024-06-30,23000000.0,'Netherlands',None,None
5056,5056,Martin Aguirregabiria,Deportivo Alaves,25,16,10,1557,0,1,1,0,0.1,71.4,0.7,0,6.38,La_Liga,1.2,1.0,0.9,0.3,1.2,0.6,0.1,0,0.1,0.9,0.0,0.2,0.5,0.1,0.0,0.0,0.1,0.5,21.1,0.5,1.2,0.0, D,0,1,1,M,0,0,1,None,0,0,0,Martin Aguirregabiria,1996-05-10,1.8,right,2018-07-01,2022-06-30,3000000.0,'Spain',None,None
5057,5057,Martin Angha,Fortuna Sittard,27,31,1,2764,0,0,5,0,0.4,77.6,2.5,0,6.54,Eredivisie,1.4,1.4,1.1,0.8,3.8,1.1,0.6,0,0.2,0.7,0.1,0.1,0.7,0.4,0.1,0.1,0.3,0.1,43.2,0.0,3.9,0.0, D,1,0,1,None,0,0,0,None,0,0,0,Martin Angha,1994-01-22,1.88,both,2019-08-26,2022-06-30,700000.0,'Switzerland', 'DR Congo',None
5058,5058,Martin Benitez,Independiente,26,9,3,691,0,0,3,0,2.0,72.9,1.2,1,6.6,Superliga,0.9,0.1,0.6,0.0,0.8,0.8,0.0,0,1.4,1.4,0.1,0.8,2.0,2.0,1.6,0.0,0.4,0.9,24.9,0.3,1.6,0.1, AM,1,1,1,FW,1,0,0,None,0,0,0,Martin Benitez,1994-06-17,1.75,right,2021-04-06,2021-12-31,4000000.0,'Argentina',None,None
5059,5059,Martin Boyle,Hibernian,28,35,1,3152,12,6,5,0,2.2,70.4,0.8,3,6.92,Premiership,0.5,0.3,0.7,0.0,0.4,0.4,0.0,0,1.1,2.6,0.6,1.2,2.5,2.2,0.6,0.2,1.4,1.3,18.1,1.3,0.6,0.0, AM,0,0,1,FW,1,0,0,None,0,0,0,Martin Boyle,1993-04-25,1.72,right,2015-07-01,2023-05-31,1500000.0,'Australia', 'Scotland',None
5060,5060,Martin Braithwaite,Barcelona,29,11,18,1164,2,2,3,0,0.8,82.2,0.6,0,6.33,La_Liga,0.3,0.2,0.4,0.1,0.2,0.2,0.0,0,0.3,0.7,0.5,0.6,1.1,0.8,0.1,0.1,0.6,0.4,9.5,0.0,0.1,0.0, AM,1,1,1,FW,1,0,0,None,0,0,0,Martin Braithwaite,1991-06-05,1.77,right,2020-02-20,2024-06-30,9000000.0,'Denmark', 'Guyana',None
5061,5061,Martin Caceres,Fiorentina,34,26,3,2241,2,2,4,0,0.5,80.3,0.9,1,6.39,Serie_A,1.0,0.5,0.7,0.3,1.7,0.7,0.5,0,0.1,0.6,0.0,0.3,0.5,0.5,0.2,0.1,0.3,0.3,31.6,0.3,2.6,0.0, D,1,1,1,M,0,0,1,None,0,0,0,Martin Caceres,1987-04-07,1.8,right,2019-08-30,2021-06-30,1000000.0,'Uruguay',None,None
