Name,Team,Age,Apps,start_bench,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,League,Tackles,Inter,Fouls,Offsides,Clear,Drb_past,Blocks,OwnG,Drb_per_game,Fouled,Off,Disp,UnsTch,Total_shots,OutOfBox,SixYardBox,PenaltyArea,KeyP,AvgP,Crosses,LongB,ThrB,Main_role,is_pos_c,is_pos_l,is_pos_r,secondary_role,is_pos_sec_c,is_pos_sec_l,is_pos_sec_r,third_role,is_pos_third_c,is_pos_third_l,is_pos_third_r
Jack Hindle,Barrow,27,1,1,65,0,0,0,0,0.0,45.5,1.0,0,6.2,League_two,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0,0.0,1.5,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0, FW,1,0,0,None,0,0,0,None,0,0,0
Emmanuel Dieseruvwe,Salford City,27,1,13,232,0,0,1,0,0.3,56.0,1.8,0,6.11,League_two,0.1,0.1,0.7,0.0,0.1,0.1,0.0,0,0.1,0.6,0.3,0.7,0.9,0.3,0.0,0.1,0.1,0.0,5.4,0.0,0.1,0.0, FW,1,0,0,None,0,0,0,None,0,0,0
Martin Smith,Salford City,25,1,3,63,0,0,2,0,0.0,83.1,0.0,0,6.09,League_two,0.3,0.3,0.5,0.0,0.0,0.0,0.3,0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.3,14.8,0.0,1.5,0.0, M,1,0,0,None,0,0,0,None,0,0,0
Marcus Barnes,Oldham,24,1,7,197,0,0,0,0,0.9,72.4,0.5,0,6.09,League_two,0.1,0.0,0.8,0.0,0.1,0.5,0.0,0,0.4,0.5,0.5,0.6,1.1,0.9,0.4,0.0,0.5,0.1,3.6,0.0,0.1,0.0, FW,1,0,0,None,0,0,0,None,0,0,0
Serge Raux Yao,Cercle Bruges,22,1,1,96,0,0,0,0,0.0,91.7,0.5,0,6.32,Jupiler_league,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,48.0,0.0,2.5,0.0, D,1,0,0,None,0,0,0,None,0,0,0
Abdul Manaf Nurudeen,Eupen,22,1,0,90,0,0,0,0,0.0,81.8,1.0,0,6.32,Jupiler_league,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,2.0,0.0, GK,1,0,0,None,0,0,0,None,0,0,0
Cristian Tassano,Rosario Central,24,1,1,162,1,0,0,0,0.5,77.6,2.5,0,6.7,Superliga,1.5,0.5,1.0,0.5,1.0,0.5,0.0,0,0.0,1.5,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,38.0,0.0,5.5,0.0, D,1,0,0,None,0,0,0,None,0,0,0
David Ayala,Estudiantes,18,1,0,80,0,0,0,0,0.0,81.6,3.0,1,7.68,Superliga,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0,5.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,4.0,0.0, M,1,0,0,None,0,0,0,None,0,0,0
Aaron O'Driscoll,Mansfield,22,1,2,62,0,0,0,1,0.0,67.6,1.0,0,5.69,League_two,1.0,0.3,0.7,0.0,1.3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,0.0,0.3,0.0, D,1,0,0,None,0,0,0,None,0,0,0
Mark Wright,Crawley,34,1,0,46,0,0,0,0,0.0,46.2,0.0,0,5.84,League_two,1.0,0.0,0.0,0.0,4.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0, M,1,0,0,None,0,0,0,None,0,0,0
Ricardo German,Crawley,22,1,3,132,0,0,0,0,0.8,65.2,0.3,0,5.91,League_two,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.3,0.3,0.0,0.5,2.0,0.8,0.0,0.0,0.8,0.3,5.8,0.0,0.0,0.0, FW,1,0,0,None,0,0,0,None,0,0,0
Kenan Dunnwald-Turan,Scunthorpe,25,1,4,135,0,0,0,0,0.6,78.0,0.2,0,5.92,League_two,0.4,0.0,1.8,0.0,0.2,0.2,0.0,0,0.0,0.6,0.8,1.0,0.8,0.6,0.2,0.0,0.4,0.4,8.2,0.0,0.0,0.0, FW,1,0,0,None,0,0,0,None,0,0,0
Jorge Sikora,Bradford,19,1,0,75,0,0,0,0,0.0,69.8,1.0,0,5.98,League_two,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,5.0,0.0, D,1,0,0,None,0,0,0,None,0,0,0
Junior Luamba,Oldham,18,1,1,73,0,0,0,0,2.0,47.1,1.5,0,6.01,League_two,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0,0.0,0.0,0.0,0.0,2.0,2.0,0.5,0.0,1.5,0.0,8.5,0.0,0.0,0.0, FW,1,0,0,None,0,0,0,None,0,0,0
Harry Kite,Exeter,20,1,3,68,0,0,0,0,0.0,64.4,0.3,0,6.01,League_two,0.0,0.0,1.0,0.0,0.3,0.0,0.3,0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.3,11.3,0.0,0.0,0.0, M,1,0,0,None,0,0,0,None,0,0,0
Ronan Darcy,Bolton,20,1,7,187,0,0,1,0,0.3,87.6,0.0,0,6.01,League_two,0.1,0.0,0.8,0.0,0.1,0.4,0.0,0,0.1,0.0,0.1,0.6,0.3,0.3,0.3,0.0,0.0,0.0,11.1,0.4,0.4,0.0, AM,1,0,0,None,0,0,0,None,0,0,0
Derick Osei Yaw,Walsall,22,1,10,179,0,0,1,0,0.1,70.0,0.1,0,6.02,League_two,0.5,0.2,0.9,0.0,0.0,0.2,0.0,0,0.2,0.5,0.2,0.5,0.8,0.1,0.0,0.0,0.1,0.1,3.6,0.0,0.0,0.0, FW,1,0,0,None,0,0,0,None,0,0,0
Markus Kuster,Karlsruher SC,27,1,0,89,0,0,0,0,0.0,55.6,0.0,0,6.76,Bundesliga_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,11.0,0.0, GK,1,0,0,None,0,0,0,None,0,0,0
Cristián Insaurralde,Newell's Old Boys,29,1,3,120,1,0,0,0,0.3,53.7,2.3,0,6.68,Superliga,1.5,0.0,1.3,0.0,0.5,0.5,0.0,0,1.0,1.0,0.0,1.8,1.5,0.3,0.0,0.0,0.3,0.0,10.3,0.3,0.3,0.0, FW,1,0,0,None,0,0,0,None,0,0,0
Arthur Allemeersch,OH Leuven,19,1,1,68,0,0,0,0,0.5,70.6,1.0,0,6.33,Jupiler_league,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0,0.0,1.0,0.5,2.0,0.0,0.5,0.0,0.0,0.5,1.0,8.5,0.0,0.0,0.0, FW,1,0,0,None,0,0,0,None,0,0,0
Javier García,Racing Club,34,1,1,137,0,0,0,0,0.0,67.4,0.0,0,7.07,Superliga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,5.5,0.0, GK,1,0,0,None,0,0,0,None,0,0,0
Chadrac Akolo,Paderborn,26,1,7,180,1,0,0,0,0.6,75.5,0.6,0,6.32,Bundesliga_2,0.4,0.0,0.3,0.0,0.0,0.0,0.0,0,0.9,0.3,0.1,0.1,1.0,0.6,0.3,0.0,0.4,0.5,6.6,0.1,0.0,0.0, AM,1,0,1,None,0,0,0,None,0,0,0
Iba May,Eintracht Braunschweig,22,1,5,144,0,0,1,0,0.0,72.7,0.3,0,5.98,Bundesliga_2,0.7,0.0,0.7,0.0,0.7,0.3,0.0,0,0.0,0.3,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.2,0.0, M,1,0,0,None,0,0,0,None,0,0,0
Oliver Sorg,Nuernberg,31,1,7,172,0,0,0,1,0.1,67.7,0.5,0,5.84,Bundesliga_2,0.3,1.0,0.5,0.0,1.1,0.5,0.0,1,0.1,0.0,0.0,0.4,0.4,0.1,0.1,0.0,0.0,0.1,7.8,0.0,0.3,0.0, D,1,1,1,DMC,1,0,0,M,0,0,1
Nick Gillekens,Royal Excel Mouscron,25,1,0,1,0,0,1,0,0.0,0.0,0.0,0,6.0,Jupiler_league,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, GK,1,0,0,None,0,0,0,None,0,0,0
Antoine Colassin,Anderlecht,20,1,6,167,0,0,3,0,0.9,70.6,0.0,0,5.99,Jupiler_league,0.3,0.3,0.4,0.0,0.0,0.1,0.0,0,0.0,0.1,0.3,0.0,0.1,0.9,0.1,0.1,0.6,0.1,4.9,0.0,0.1,0.0, M,1,0,0,None,0,0,0,None,0,0,0
Youssuf Sylla,Zulte Waregem,18,1,2,80,0,0,0,0,0.0,68.8,0.0,0,5.96,Jupiler_league,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.3,0.3,0.3,1.7,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0, FW,1,0,0,None,0,0,0,None,0,0,0
Jonás Gutiérrez,Banfield,37,1,7,150,0,0,0,0,0.0,61.9,0.5,0,6.26,Superliga,0.8,0.6,0.1,0.0,0.1,0.3,0.0,0,0.1,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.1,0.0, D,0,1,1,M,1,1,1,None,0,0,0
Enzo Ybañez,Godoy Cruz,22,1,1,91,0,0,0,0,0.0,56.5,1.0,0,6.25,Superliga,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.5,1.0,0.0, D,0,1,0,None,0,0,0,None,0,0,0
Mikael Soisalo,Zulte Waregem,23,1,1,63,0,0,0,0,0.5,65.4,0.0,0,5.65,Jupiler_league,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0,0.0,0.0,0.0,0.5,1.5,0.5,0.5,0.0,0.0,0.0,13.0,0.5,0.0,0.0, M,1,0,0,None,0,0,0,None,0,0,0
Philipp Klewin,Erzgebirge Aue,27,1,0,90,0,0,0,0,0.0,78.4,0.0,0,7.98,Bundesliga_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,8.0,0.0, GK,1,0,0,None,0,0,0,None,0,0,0
Sebastian Klaas,Osnabrueck,22,1,1,69,0,0,0,0,0.0,77.8,0.0,0,6.16,Bundesliga_2,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0, M,1,0,0,None,0,0,0,None,0,0,0
Moritz Nicolas,Osnabrueck,23,1,0,90,0,0,0,0,0.0,44.7,1.0,0,6.11,Bundesliga_2,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,6.0,0.0, GK,1,0,0,None,0,0,0,None,0,0,0
