Name,Team,Age,Apps,start_bench,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,League,Tackles,Inter,Fouls,Offsides,Clear,Drb_past,Blocks,OwnG,Drb_per_game,Fouled,Off,Disp,UnsTch,Total_shots,OutOfBox,SixYardBox,PenaltyArea,KeyP,AvgP,Crosses,LongB,ThrB,Main_role,is_pos_c,is_pos_l,is_pos_r,secondary_role,is_pos_sec_c,is_pos_sec_l,is_pos_sec_r,third_role,is_pos_third_c,is_pos_third_l,is_pos_third_r
Alfonso Pedraza,Villarreal,25,24,5,2102,1,2,8,0,0.8,80.3,1.1,1,6.64,La_Liga,1.2,1.2,1.4,0.2,1.1,0.7,0.2,1,0.8,0.8,0.0,0.8,1.7,0.8,0.2,0.0,0.5,0.9,32.1,0.9,0.6,0.0, D,0,1,0,M,0,1,0,None,0,0,0
Aleksandar Vukotic,Waasland-Beveren,25,24,2,2146,2,0,8,2,0.5,70.5,2.9,1,6.75,Jupiler_league,1.8,1.6,1.0,0.4,6.7,0.4,0.8,0,0.2,1.2,0.0,0.2,0.4,0.5,0.2,0.1,0.3,0.0,38.8,0.0,4.7,0.0, D,1,0,0,None,0,0,0,None,0,0,0
Tyrell Malacia,Feyenoord,21,24,2,2136,0,1,3,1,0.7,84.1,0.7,0,6.85,Eredivisie,1.5,1.3,1.3,0.1,0.7,0.7,0.2,0,1.3,1.2,0.1,1.3,1.5,0.7,0.4,0.0,0.3,1.0,42.0,0.7,1.9,0.0, D,0,1,0,None,0,0,0,None,0,0,0
Sergey Pesjakov,FC Rostov,32,24,0,2160,0,0,0,0,0.0,62.1,0.2,1,6.76,Russian_premier_league,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3,0.0,7.4,0.0, GK,1,0,0,None,0,0,0,None,0,0,0
Paul Caddis,Swindon,33,24,2,2088,1,2,2,0,0.3,61.5,0.5,0,6.39,League_one,1.3,0.7,0.8,0.2,0.9,0.2,0.4,0,0.3,1.7,0.0,0.3,1.0,0.3,0.2,0.0,0.1,0.8,31.6,0.5,2.7,0.0, D,0,0,1,DMC,1,0,0,M,0,0,1
Daniel Schmidt,St.Truiden,29,24,0,2160,0,0,1,0,0.0,65.8,0.2,0,6.79,Jupiler_league,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,0.0,7.4,0.0, GK,1,0,0,None,0,0,0,None,0,0,0
Luke Woolfenden,Ipswich,22,24,1,2205,1,0,3,0,0.2,80.5,2.2,0,6.91,League_one,1.1,2.2,0.9,0.6,4.2,0.4,0.7,0,0.5,0.6,0.0,0.4,0.6,0.2,0.0,0.0,0.1,0.2,55.3,0.0,4.8,0.0, D,1,0,0,None,0,0,0,None,0,0,0
Giacomo Quagliata,Heracles,21,24,1,2062,0,2,7,0,0.3,75.4,0.9,0,6.68,Eredivisie,1.7,2.0,1.1,0.2,1.7,0.8,0.1,0,1.0,1.4,0.0,1.0,1.7,0.3,0.2,0.0,0.0,0.6,32.5,0.6,1.6,0.0, D,0,1,0,None,0,0,0,None,0,0,0
Núrio Fortuna,Gent,26,24,1,2098,1,0,3,0,0.8,79.8,1.7,0,6.84,Jupiler_league,1.8,1.7,1.8,0.2,2.2,0.4,0.5,0,0.2,1.3,0.0,0.4,1.2,0.8,0.4,0.0,0.3,0.5,46.4,0.3,2.8,0.0, D,1,0,0,None,0,0,0,None,0,0,0
Josan,Elche,31,24,9,1935,4,2,3,0,0.5,82.3,0.2,3,6.56,La_Liga,1.0,0.6,0.7,0.2,0.6,0.8,0.0,0,1.2,0.9,0.0,0.7,1.2,0.5,0.1,0.0,0.3,0.5,18.9,0.6,0.6,0.0, M,0,0,1,None,0,0,0,None,0,0,0
James Hill,Fleetwood,19,24,4,2196,0,1,2,0,0.5,66.9,3.9,2,6.76,League_one,1.4,2.0,0.9,0.4,3.0,0.3,0.4,0,0.0,0.8,0.0,0.2,0.2,0.5,0.0,0.2,0.3,0.2,38.4,0.0,3.2,0.0, D,1,0,0,None,0,0,0,None,0,0,0
Orel Mangala,Stuttgart,23,24,0,2110,1,3,4,0,1.1,84.6,0.4,1,6.9,Bundesliga,1.1,1.1,1.4,0.0,1.0,0.5,0.4,0,2.2,1.2,0.0,1.8,2.1,1.1,0.7,0.0,0.4,0.8,41.6,0.0,1.3,0.0, DMC,1,0,0,None,0,0,0,None,0,0,0
Héctor Bellerín,Arsenal,26,24,1,2093,1,2,8,0,0.6,83.8,1.2,1,6.69,Premier_league,1.2,1.3,0.8,0.1,1.2,1.2,0.3,0,0.5,0.3,0.0,0.2,1.0,0.6,0.3,0.0,0.3,0.8,44.6,0.5,0.7,0.1, D,0,0,1,M,0,0,1,None,0,0,0
Shaquille Pinas,ADO Den Haag,23,24,3,2199,3,0,5,0,0.4,77.1,1.4,0,6.56,Eredivisie,1.3,1.7,1.0,0.5,3.3,0.9,1.3,1,0.3,0.2,0.0,0.2,0.4,0.4,0.1,0.0,0.3,0.1,42.3,0.1,3.3,0.0, D,1,0,0,None,0,0,0,None,0,0,0
Lucas Chaves,Argentinos Juniors,25,23,0,2070,0,0,1,0,0.0,50.0,0.5,0,6.81,Superliga,0.1,0.1,0.1,0.0,0.9,0.1,0.0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,33.0,0.0,11.7,0.0, GK,1,0,0,None,0,0,0,None,0,0,0
Uche Ikpeazu,Wycombe,26,23,8,2067,6,3,3,0,2.1,54.2,3.5,2,6.59,Championship,0.3,0.1,2.8,0.0,0.5,0.1,0.1,1,0.8,2.4,0.5,2.3,4.7,2.1,0.6,0.3,1.2,0.5,12.0,0.1,0.2,0.0, FW,1,0,0,None,0,0,0,None,0,0,0
Matías Ibáñez,Patronato de Parana,34,23,0,2070,0,0,1,0,0.0,57.9,0.3,3,6.74,Superliga,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2,0.0,10.2,0.0, GK,1,0,0,None,0,0,0,None,0,0,0
Adrien Truffert,Rennes,19,23,6,1957,1,3,3,0,0.8,87.0,0.7,1,6.61,Ligue_1,1.3,0.6,0.8,0.2,1.1,0.4,0.2,0,0.6,0.9,0.0,0.5,1.1,0.8,0.4,0.0,0.3,0.7,36.0,0.4,0.9,0.0, D,0,1,0,None,0,0,0,None,0,0,0
Ben Zolinski,Erzgebirge Aue,29,23,5,1902,2,2,5,0,1.2,70.6,0.6,1,6.47,Bundesliga_2,1.0,0.5,1.2,0.0,0.5,1.6,0.0,0,0.5,1.4,0.1,0.9,1.5,1.2,0.4,0.1,0.7,0.8,22.0,0.4,0.9,0.1, AM,1,1,1,FW,1,0,0,None,0,0,0
Rodney Kongolo,SC Heerenveen,23,23,8,2154,1,4,5,0,0.2,83.4,1.0,0,6.64,Eredivisie,1.7,1.4,1.2,0.0,1.2,1.3,0.2,0,0.8,0.8,0.1,0.8,1.3,0.2,0.1,0.0,0.1,0.5,29.9,0.0,0.8,0.1, DMC,1,0,0,None,0,0,0,None,0,0,0
Harry Darling,Milton Keynes Dons,21,23,0,2070,0,0,2,0,0.7,88.9,1.6,0,6.72,League_one,0.9,0.8,0.7,1.3,3.1,0.3,1.0,0,0.5,1.3,0.0,0.7,0.8,0.7,0.3,0.0,0.4,0.5,74.9,0.0,6.0,0.0, D,1,0,0,None,0,0,0,None,0,0,0
Emiliano Papa,Arsenal Sarandi,39,23,0,2070,0,1,4,0,0.1,79.5,0.5,0,6.66,Superliga,1.8,1.2,0.5,0.2,1.1,1.7,0.4,0,0.7,0.8,0.2,0.3,0.6,0.1,0.1,0.0,0.0,1.0,43.2,0.7,1.9,0.0, D,0,1,0,DMC,1,0,0,None,0,0,0
Sébastien Corchia,Nantes,30,23,2,2067,0,1,3,0,0.8,72.1,1.0,1,6.82,Ligue_1,2.2,1.5,0.8,0.2,1.4,1.1,0.4,0,0.7,1.7,0.0,0.6,1.0,0.8,0.6,0.0,0.2,1.1,24.9,1.3,0.8,0.0, D,0,0,1,M,0,0,1,None,0,0,0
Ramiz Zerrouki,Twente,23,23,8,1956,0,2,4,0,0.1,80.1,1.7,0,6.65,Eredivisie,2.0,1.7,1.5,0.1,1.2,1.1,0.1,0,0.3,0.7,0.0,0.5,1.1,0.1,0.1,0.0,0.0,0.4,35.9,0.1,3.1,0.0, M,1,0,0,None,0,0,0,None,0,0,0
Lucas Woudenberg,SC Heerenveen,27,23,6,2188,1,0,2,0,0.1,79.4,0.8,1,6.7,Eredivisie,2.4,1.4,1.7,0.2,2.5,0.7,0.3,1,0.1,0.4,0.0,0.1,0.8,0.1,0.1,0.0,0.1,0.6,32.2,0.7,1.7,0.0, D,0,1,0,None,0,0,0,None,0,0,0
Rhys Bennett,Carlisle,29,23,2,2053,5,0,5,0,0.7,55.9,4.4,4,7.0,League_two,1.6,1.6,0.9,0.5,4.3,0.3,0.4,0,0.2,0.8,0.0,0.1,0.6,0.7,0.0,0.4,0.3,0.2,20.5,0.0,1.7,0.0, D,1,0,0,None,0,0,0,None,0,0,0
Houssem Aouar,Lyon,22,23,7,1793,7,3,3,1,2.3,86.0,0.1,0,6.83,Ligue_1,0.6,0.6,0.7,0.0,0.1,0.6,0.0,0,1.5,0.8,0.1,1.2,1.8,2.3,0.7,0.1,1.5,1.3,32.0,0.0,1.0,0.0, M,1,1,0,None,0,0,0,None,0,0,0
Pierre Lees-Melou,Nice,28,23,6,2066,4,2,3,1,1.5,86.3,0.5,2,6.8,Ligue_1,2.3,1.0,1.2,0.0,0.9,2.0,0.5,0,0.8,0.8,0.0,0.7,0.9,1.5,1.0,0.1,0.4,0.4,40.4,0.1,2.4,0.0, M,1,1,1,None,0,0,0,None,0,0,0
Tom Pearce,Wigan,23,23,0,1976,0,3,1,0,0.5,65.6,0.7,1,6.76,League_one,1.4,1.3,0.7,0.1,2.9,0.5,0.4,0,0.7,1.2,0.2,0.4,0.9,0.5,0.3,0.0,0.2,1.0,30.6,1.9,3.0,0.0, D,0,1,0,None,0,0,0,None,0,0,0
Ángel Di María,PSG,33,23,4,1863,4,9,1,0,2.2,81.2,0.0,5,7.33,Ligue_1,1.0,0.2,0.4,0.0,0.2,1.3,0.0,0,1.5,1.0,0.3,0.8,2.1,2.2,1.1,0.0,1.1,2.6,36.8,1.8,2.1,0.3, M,1,1,1,FW,1,0,0,None,0,0,0
Maxi Rodríguez,Newell's Old Boys,40,23,0,2025,6,1,1,0,1.6,76.7,0.6,0,6.75,Superliga,0.7,0.4,0.7,0.0,0.2,0.6,0.1,0,0.9,1.7,0.4,1.3,1.7,1.6,0.4,0.0,1.2,1.3,28.0,0.3,1.7,0.1, M,1,1,0,FW,1,0,0,None,0,0,0
Sebastian Ohlsson,St. Pauli,28,23,0,2012,0,0,7,0,0.3,74.5,1.5,1,7.02,Bundesliga_2,3.6,2.1,1.7,0.3,2.6,1.0,0.5,0,0.7,1.5,0.1,0.4,1.0,0.3,0.1,0.0,0.3,0.9,35.4,0.2,2.4,0.0, D,1,1,1,None,0,0,0,None,0,0,0
Daniel Iversen,Preston,23,23,0,2070,0,0,0,0,0.0,39.7,0.5,1,6.66,Championship,0.0,0.0,0.0,0.0,1.2,0.1,0.0,1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,0.0,7.6,0.0, GK,1,0,0,None,0,0,0,None,0,0,0
Federico Ceccherini,Verona,29,23,2,1749,0,0,8,0,0.5,80.9,2.9,0,6.65,Serie_A,0.6,1.6,1.9,0.1,2.4,0.2,0.3,0,0.4,1.3,0.0,0.2,0.6,0.5,0.0,0.1,0.4,0.2,35.7,0.0,1.9,0.0, D,1,0,0,None,0,0,0,None,0,0,0
Tommy St. Jago,FC Utrecht,21,23,1,2057,0,0,2,0,0.4,87.4,2.7,0,6.95,Eredivisie,1.9,1.3,0.8,0.3,3.2,0.5,1.0,0,0.4,0.6,0.0,0.3,0.4,0.4,0.1,0.1,0.3,0.1,56.6,0.0,3.6,0.0, D,1,0,0,None,0,0,0,None,0,0,0
Thiago Mendes,Lyon,29,23,9,2242,0,1,5,1,0.7,88.3,0.8,0,6.66,Ligue_1,1.2,1.3,0.8,0.0,0.6,0.6,0.2,0,0.5,0.7,0.0,0.4,0.8,0.7,0.6,0.1,0.1,0.8,45.7,0.1,3.5,0.1, D,0,0,1,M,1,0,1,None,0,0,0
Emmanuel Onariase,Scunthorpe,24,23,3,2158,2,0,1,0,0.7,62.0,4.3,3,7.06,League_two,1.3,2.3,1.1,0.8,5.3,0.2,0.9,1,0.2,0.5,0.0,0.1,0.5,0.7,0.1,0.3,0.3,0.2,31.5,0.0,2.5,0.0, D,1,0,0,None,0,0,0,None,0,0,0
Uwe Hünemeier,Paderborn,35,23,3,2089,2,0,5,0,0.7,87.9,3.8,0,7.0,Bundesliga_2,0.7,1.7,0.9,0.8,3.7,0.5,1.0,0,0.1,0.6,0.0,0.1,0.3,0.7,0.1,0.0,0.6,0.3,61.2,0.0,5.8,0.0, D,1,0,0,None,0,0,0,None,0,0,0
Manuel Schäffler,Nuernberg,32,23,1,1972,10,3,3,0,2.0,54.9,4.6,2,7.01,Bundesliga_2,0.7,0.3,1.8,0.0,1.2,0.5,0.0,0,0.3,1.3,1.2,0.8,3.0,2.0,0.2,0.3,1.4,0.8,15.7,0.0,0.3,0.0, FW,1,0,0,None,0,0,0,None,0,0,0
Juan Cruz,Osasuna,28,23,3,1966,0,0,4,0,0.0,72.1,1.1,0,6.4,La_Liga,1.4,0.6,0.5,0.3,1.6,0.6,0.2,0,0.3,0.2,0.1,0.3,0.7,0.0,0.0,0.0,0.0,0.4,23.4,0.3,1.0,0.0, D,0,1,0,None,0,0,0,None,0,0,0
Rony Lopes,Nice,25,23,5,1798,3,1,1,0,1.5,80.0,0.3,1,6.69,Ligue_1,0.7,0.3,0.5,0.0,0.2,0.8,0.1,0,1.1,0.9,0.0,0.8,1.9,1.5,0.6,0.1,0.8,1.5,24.3,1.1,0.4,0.0, AM,1,1,1,FW,1,0,0,None,0,0,0
Burak Yilmaz,Lille,35,23,5,2057,16,5,6,0,2.4,77.6,1.4,3,7.14,Ligue_1,0.5,0.2,1.2,0.0,0.8,0.9,0.0,0,0.5,1.3,1.0,0.8,2.0,2.4,0.9,0.0,1.4,1.0,17.9,0.0,0.2,0.0, AM,0,1,0,FW,1,0,0,None,0,0,0
Óscar Duarte,Levante,31,23,6,2063,1,0,2,0,0.2,83.4,2.5,0,6.56,La_Liga,0.8,1.2,1.2,0.9,3.3,0.3,0.5,0,0.1,0.2,0.1,0.1,0.2,0.2,0.0,0.0,0.2,0.1,42.4,0.0,3.5,0.0, D,1,0,0,DMC,1,0,0,None,0,0,0
Jaime Seoane,SD Huesca,24,23,6,2066,1,1,5,0,0.8,77.6,0.9,1,6.54,La_Liga,1.7,0.6,1.5,0.1,0.4,1.4,0.2,0,0.7,1.1,0.0,0.7,1.3,0.8,0.5,0.0,0.3,0.4,29.1,0.2,2.3,0.0, M,1,0,0,None,0,0,0,None,0,0,0
José Sand,Lanus,40,23,0,2068,10,2,4,0,2.0,73.0,0.3,0,6.67,Superliga,0.3,0.1,1.0,0.0,0.5,0.7,0.0,0,0.9,0.8,1.6,2.0,3.8,2.0,0.3,0.2,1.6,1.2,22.9,0.0,0.9,0.1, FW,1,0,0,None,0,0,0,None,0,0,0
Famara Diédhiou,Bristol City,28,23,17,2127,8,1,4,1,0.9,56.1,5.2,3,6.64,Championship,0.3,0.2,0.9,0.0,0.8,0.2,0.2,0,0.3,0.8,0.4,1.0,2.5,0.9,0.3,0.0,0.6,0.4,14.3,0.0,0.3,0.0, FW,1,0,0,None,0,0,0,None,0,0,0
Osman Kakay,QPR,23,23,5,2102,1,1,4,0,0.5,78.3,1.0,1,6.63,Championship,1.3,0.8,0.9,0.5,2.3,0.7,0.5,0,0.8,0.5,0.0,1.0,2.0,0.5,0.1,0.1,0.3,0.6,34.1,0.5,1.3,0.0, D,1,0,1,M,0,0,1,None,0,0,0
Diego Rico,Bournemouth,28,23,10,2089,1,3,7,0,0.2,73.9,0.8,2,6.73,Championship,1.6,1.6,1.0,0.1,1.6,0.7,0.3,0,0.3,1.0,0.1,0.5,0.8,0.2,0.2,0.0,0.0,0.8,37.9,1.0,2.3,0.0, D,1,1,0,M,0,1,0,None,0,0,0
Daniel Bachmann,Watford,26,23,0,2070,0,0,2,0,0.0,66.7,0.3,1,6.66,Championship,0.0,0.0,0.1,0.0,0.7,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4,0.0,6.2,0.0, GK,1,0,0,None,0,0,0,None,0,0,0
Facundo Medina,Lens,22,23,1,2007,2,0,11,0,0.4,85.8,1.0,0,6.52,Ligue_1,1.6,1.6,1.4,0.2,1.8,0.6,0.4,1,0.3,0.3,0.0,0.5,0.9,0.4,0.0,0.0,0.3,0.3,65.0,0.0,4.8,0.0, D,1,1,0,None,0,0,0,None,0,0,0
Cameron Carter-Vickers,Bournemouth,23,23,0,2026,1,1,0,0,0.2,84.0,2.8,0,6.79,Championship,1.0,1.1,0.6,0.9,3.6,0.1,0.7,0,0.3,0.3,0.0,0.2,0.2,0.2,0.0,0.1,0.1,0.2,51.2,0.0,3.1,0.0, D,1,0,0,None,0,0,0,None,0,0,0
Timothée Kolodziejczak,Saint-Etienne,29,23,1,2038,0,0,4,1,0.4,83.1,1.9,0,6.55,Ligue_1,1.2,1.5,1.2,0.3,3.3,0.3,0.6,0,0.1,0.3,0.0,0.1,0.4,0.4,0.0,0.0,0.4,0.1,53.7,0.1,2.6,0.0, D,1,1,0,None,0,0,0,None,0,0,0
Kevin De Bruyne,Man City,29,23,2,2001,6,12,1,0,3.2,81.7,0.2,8,7.65,Premier_league,1.4,0.4,1.1,0.0,0.3,1.4,0.0,0,1.9,1.2,0.0,1.3,1.8,3.2,1.7,0.1,1.4,3.2,50.6,1.6,2.6,0.2, M,1,1,1,FW,1,0,0,None,0,0,0
Mat Sadler,Walsall,36,23,3,2096,1,0,3,0,0.4,61.7,3.6,1,6.63,League_two,0.9,1.1,0.3,0.2,3.6,0.1,0.4,0,0.1,0.9,0.0,0.2,0.5,0.4,0.1,0.0,0.3,0.1,33.4,0.0,2.6,0.0, D,1,0,0,None,0,0,0,None,0,0,0
Kenan Karaman,Fortuna Duesseldorf,27,23,5,2163,7,2,2,0,1.9,77.8,1.8,2,6.91,Bundesliga_2,0.3,0.0,0.6,0.0,0.4,0.3,0.0,0,1.5,1.5,0.4,1.8,2.2,1.9,0.4,0.3,1.2,1.2,19.6,0.2,0.4,0.0, AM,1,1,1,FW,1,0,0,None,0,0,0
Bart Vriends,Sparta Rotterdam,30,23,0,2020,0,0,1,0,0.6,78.2,3.1,1,6.87,Eredivisie,1.7,2.0,1.0,0.7,4.3,0.8,0.6,0,0.1,0.3,0.0,0.1,0.6,0.6,0.0,0.1,0.5,0.2,38.7,0.0,3.8,0.0, D,1,0,0,None,0,0,0,None,0,0,0
Bart Ramselaar,FC Utrecht,24,23,4,1936,4,4,2,0,1.7,79.3,0.4,1,6.85,Eredivisie,0.9,0.6,0.5,0.0,0.1,0.6,0.0,0,1.2,0.6,0.3,0.7,1.0,1.7,0.4,0.1,1.2,1.4,25.7,0.2,1.4,0.0, AM,1,1,0,None,0,0,0,None,0,0,0
Mica Pinto,Sparta Rotterdam,27,23,2,1920,1,2,5,1,0.2,73.7,0.9,1,6.61,Eredivisie,1.6,1.2,0.8,0.2,1.7,0.9,0.2,0,0.6,0.5,0.0,0.4,0.7,0.2,0.0,0.0,0.2,1.0,30.7,0.7,1.8,0.0, D,0,1,0,None,0,0,0,None,0,0,0
Marek Stech,Mansfield,31,23,1,2093,0,0,0,0,0.0,37.4,0.2,0,6.63,League_two,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6,0.0,7.0,0.0, GK,1,0,0,None,0,0,0,None,0,0,0
Funso Ojo,Wigan,29,23,0,2064,0,0,3,0,0.5,79.6,2.1,1,6.66,League_one,1.4,1.9,1.4,0.0,1.6,0.7,0.3,0,0.4,1.0,0.0,1.0,0.9,0.5,0.2,0.0,0.3,0.5,41.4,0.1,2.7,0.0, DMC,1,0,0,None,0,0,0,None,0,0,0
Ben Foster,Watford,38,23,0,2070,0,0,0,0,0.0,65.7,0.3,0,6.62,Championship,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6,0.0,6.1,0.0, GK,1,0,0,None,0,0,0,None,0,0,0
Mark Diemers,Feyenoord,27,23,6,1979,3,3,2,0,1.4,86.5,0.3,0,6.8,Eredivisie,1.4,0.7,0.7,0.0,0.4,0.8,0.0,0,0.5,2.1,0.0,1.1,1.2,1.4,0.9,0.0,0.5,1.1,38.5,0.5,1.6,0.0, M,1,1,0,FW,1,0,0,None,0,0,0
Daley Blind,Ajax,31,23,0,1964,1,1,3,0,0.7,86.6,1.9,0,7.09,Eredivisie,1.2,1.5,0.7,0.7,1.2,0.8,0.4,0,0.9,0.4,0.0,0.6,0.6,0.7,0.5,0.0,0.2,0.9,82.3,0.3,5.6,0.1, D,1,1,0,DMC,1,0,0,M,0,1,0
Devarn Green,Scunthorpe,24,23,13,1964,3,1,2,0,0.6,61.2,1.2,0,6.32,League_two,0.5,0.5,0.6,0.0,0.3,0.1,0.1,0,0.4,1.1,0.1,0.8,1.6,0.6,0.2,0.1,0.4,0.3,11.2,0.2,0.1,0.0, AM,0,1,1,None,0,0,0,None,0,0,0
Eric Oelschlägel,FC Utrecht,25,23,0,2070,0,0,1,0,0.0,66.3,0.3,0,6.49,Eredivisie,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,0.0,5.2,0.0, GK,1,0,0,None,0,0,0,None,0,0,0
Stephy Mavididi,Montpellier,23,23,12,2034,9,0,3,0,0.9,81.3,0.3,2,6.54,Ligue_1,0.5,0.4,0.9,0.0,0.1,0.4,0.0,0,1.0,0.9,0.1,1.1,2.1,0.9,0.2,0.2,0.4,0.4,13.0,0.1,0.3,0.0, AM,0,1,1,FW,1,0,0,None,0,0,0
Luis Unsain,Defensa y Justicia,26,23,0,2070,0,0,0,0,0.0,74.0,0.3,3,6.78,Superliga,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.7,0.0,8.7,0.0, GK,1,0,0,None,0,0,0,None,0,0,0
Jamilu Collins,Paderborn,26,23,1,1985,0,0,7,1,0.5,73.7,1.2,2,6.88,Bundesliga_2,2.2,2.5,0.9,0.4,1.8,0.9,0.5,0,1.3,1.2,0.0,1.2,1.5,0.5,0.5,0.0,0.0,0.3,45.7,0.3,2.7,0.0, D,0,1,0,None,0,0,0,None,0,0,0
Matthew Pollock,Grimsby,19,23,2,2083,3,0,5,0,0.6,64.0,5.9,4,6.91,League_two,1.1,1.1,1.0,0.4,4.8,0.2,0.4,0,0.0,0.9,0.2,0.1,0.2,0.6,0.0,0.2,0.4,0.2,40.8,0.0,4.5,0.0, D,1,0,0,None,0,0,0,None,0,0,0
Joe Powell,Burton,22,23,16,2243,6,7,2,0,1.6,73.1,0.9,0,6.64,League_one,0.8,0.4,1.2,0.0,0.5,0.6,0.0,0,0.4,1.1,0.1,1.4,1.5,1.6,1.3,0.0,0.4,1.1,21.3,1.2,1.4,0.0, AM,1,0,1,None,0,0,0,None,0,0,0
Allan,Everton,30,23,1,2052,0,0,6,0,0.3,85.7,0.2,0,6.77,Premier_league,3.3,0.8,1.5,0.1,1.0,2.8,0.5,0,1.3,1.3,0.0,0.8,0.9,0.3,0.2,0.0,0.1,0.7,44.0,0.0,2.4,0.0, DMC,1,0,0,None,0,0,0,None,0,0,0
John Lundstram,Sheff Utd,27,23,5,2032,0,2,8,1,0.7,84.2,0.5,0,6.23,Premier_league,0.9,0.5,0.9,0.1,0.8,1.2,0.3,0,0.5,0.7,0.0,0.7,1.0,0.7,0.3,0.0,0.4,0.7,35.7,0.4,1.8,0.0, DMC,1,0,0,None,0,0,0,None,0,0,0
Lucas Kal,Nacional,25,23,1,1986,0,0,3,0,0.2,78.4,1.3,0,6.34,Liga_nos,0.8,1.0,0.4,0.1,3.1,0.3,0.5,1,0.2,0.3,0.0,0.2,0.4,0.2,0.0,0.0,0.1,0.3,41.8,0.0,4.0,0.0, D,1,1,0,None,0,0,0,None,0,0,0
Igor Diveev,CSKA Moscow,21,23,0,2070,2,2,6,0,0.9,84.0,3.3,1,6.99,Russian_premier_league,1.4,1.7,0.9,0.3,4.5,0.6,0.7,0,0.1,0.4,0.0,0.1,0.3,0.9,0.2,0.1,0.5,0.2,55.5,0.0,6.0,0.0, D,1,0,0,None,0,0,0,None,0,0,0
Ivan Oblyakov,CSKA Moscow,22,23,4,2080,1,3,4,0,1.4,84.2,0.9,1,6.98,Russian_premier_league,1.6,1.3,0.8,0.0,0.8,0.6,0.3,0,0.4,1.0,0.0,0.7,1.1,1.4,1.2,0.0,0.1,1.4,51.9,1.0,3.6,0.0, M,1,1,0,None,0,0,0,None,0,0,0
Erdogan Yesilyurt,Sivasspor,27,23,6,1927,3,5,7,1,1.6,69.4,0.7,0,6.66,Super_lig,0.8,0.6,0.6,0.0,0.1,0.4,0.0,0,0.7,0.9,0.2,0.3,1.4,1.6,0.8,0.1,0.7,1.0,18.3,0.8,0.9,0.0, M,0,1,1,None,0,0,0,None,0,0,0
Iain Vigurs,Ross County,33,23,2,1825,1,0,13,1,0.5,80.0,1.5,1,6.5,Premiership,2.0,1.0,2.2,0.1,0.9,1.5,0.4,0,0.5,0.9,0.0,0.7,0.5,0.5,0.5,0.0,0.0,0.8,46.7,0.8,4.9,0.0, DMC,1,0,0,None,0,0,0,None,0,0,0
Gonzalo Castro,Stuttgart,33,23,3,1746,4,2,9,0,1.2,76.6,0.4,0,6.66,Bundesliga,0.8,0.3,0.6,0.0,0.4,0.6,0.1,0,0.8,0.6,0.0,0.7,1.2,1.2,0.5,0.0,0.6,1.6,30.5,1.1,1.3,0.1, D,0,1,0,M,1,0,1,None,0,0,0
Joshua McPake,Harrogate,19,23,1,2005,4,0,1,0,1.9,73.3,0.5,0,6.85,League_two,1.7,0.5,1.0,0.0,0.5,0.5,0.2,0,2.1,1.9,0.2,2.6,3.0,1.9,0.6,0.0,1.3,0.9,15.6,0.0,0.2,0.1, M,0,1,0,None,0,0,0,None,0,0,0
Shamar Nicholson,Sporting Charleroi,24,23,10,2205,9,3,3,0,2.0,62.3,4.2,2,6.76,Jupiler_league,0.5,0.3,1.0,0.0,0.6,0.3,0.0,0,0.2,0.7,0.5,1.1,1.9,2.0,0.2,0.2,1.7,0.5,17.1,0.0,0.4,0.0, FW,1,0,0,None,0,0,0,None,0,0,0
Aleksandr Martynovich,FC Krasnodar,33,23,1,2115,0,0,2,1,0.6,86.8,4.0,0,6.96,Russian_premier_league,1.3,2.6,0.8,0.6,3.5,0.5,0.5,0,0.1,0.6,0.0,0.1,0.3,0.6,0.0,0.1,0.5,0.3,65.2,0.0,5.6,0.0, D,1,0,1,None,0,0,0,None,0,0,0
