Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Jordi Osei-Tutu,1.9,1.3,0.3,0.1,1.5,0.8,0.1,-
Joe Bennett,1.4,1.1,0.8,0.1,1.4,0.5,0.3,-
Ilias Chair,0.8,0.3,1,-,0.1,0.7,0.1,-
Louis Britton,-,-,1,-,-,-,-,-
James Chester,1.4,1.2,0.7,0.6,3.6,0.4,0.5,1
Felipe Araruna,2,-,0.5,0.5,2,0.5,-,-
Sepp van den Berg,1.9,1.6,1.4,0.4,1.8,0.5,0.2,-
Geoff Cameron,1.4,1.4,1.1,0.4,2.5,0.9,0.5,-
Craig Cathcart,1.3,0.9,0.8,0.3,3.1,0.2,0.4,-
Anfernee Dijksteel,1.7,1.9,1,0.2,1.8,0.7,0.5,1
Jake Bidwell,0.6,0.6,0.9,-,2.2,0.2,0.3,-
Christopher Schindler,1.2,2,1,0.3,3,0.2,0.3,-
Asmir Begovic,-,-,-,-,0.9,-,-,-
Conor Hourihane,1,0.6,0.7,-,0.8,0.4,0.2,-
Carlton Morris,0.6,0.2,0.7,-,0.6,0.2,-,-
Joe Worrall,0.8,1.1,0.5,0.6,4.2,0.2,0.9,-
Matty Pearson,1.8,1.6,1,0.4,3.1,0.7,0.6,-
Glen Rea,1.5,1.9,1.6,0.2,2.1,1,0.4,1
Colin Kazim-Richards,0.7,0.1,1.7,-,0.7,0.2,0.1,-
Jamal Lowe,1,0.2,1.9,-,0.2,0.6,-,-
Gustavo Hamer,1.3,1.4,2,-,0.6,1.5,0.1,-
Scott Wharton,0.7,0.9,0.6,0.7,3.4,-,0.7,-
Benjamin Whiteman,1.5,1.2,0.9,0.1,1.2,0.7,0.5,-
Harvey Elliott,0.5,0.5,0.2,-,0.3,0.6,-,-
Steven Fletcher,0.5,0.3,1.2,-,0.5,0.3,0.1,-
Scott McKenna,0.7,0.9,0.5,0.3,3.2,-,0.8,-
Darnell Fisher,2.8,1.1,1.7,0.2,2.1,0.6,0.4,-
Leo Østigard,0.7,1,1.3,0.7,4.1,0.3,0.5,-
Lukas Rupp,1.7,0.8,1.2,-,0.6,0.7,0.2,-
Tobias Figueiredo,0.8,1.5,1.2,0.6,5.2,0.3,0.8,-
Cauley Woodrow,0.5,0.3,1.8,-,0.8,0.7,-,-
Diego Rico,1.6,1.6,1,0.1,1.6,0.7,0.3,-
Andy Rinomhota,1.9,1.1,1.2,-,1.1,0.5,0.2,-
Pipa,1.6,0.8,1.1,0.1,1.5,0.9,0.1,-
Jonny Howson,2,1.2,0.7,-,1.7,0.7,0.2,-
Dillon Phillips,-,-,-,-,1,-,-,-
Sam Hutchinson,1.8,1.9,1.5,0.3,2.9,0.5,0.6,-
Mads Bech Sørensen,1.1,0.9,0.8,0.5,3.5,0.3,0.4,-
Tom Lawrence,1.4,0.4,1,-,0.6,0.8,0.1,-
James McClean,1.4,0.7,1.1,0.1,1.2,1.4,-,-
Samba Sow,2.5,1.6,2.5,-,0.9,0.9,-,-
Ryan Manning,1.8,1.1,0.8,0.1,1.1,0.6,0.2,-
Chris Mepham,1.8,1.5,1.2,0.2,2.9,0.5,0.3,-
Gaëtan Bong,1,1.5,1.2,0.2,1.5,0.4,0.2,-
Alex Pearce,0.7,1.6,0.7,0.5,4.4,0.2,0.4,-
Carel Eiting,1.1,0.5,0.8,-,0.5,0.5,0.1,-
