Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Éder,0.6,0.2,1.4,-,0.6,0.3,0.2,-
Daniil Utkin,0.9,0.3,0.4,-,0.5,0.1,0.1,-
Mohamed Konate,0.2,0.2,1.5,-,0.8,0.2,0.1,-
Grigory Morozov,1.5,1,1.2,0.1,1,0.6,-,-
Flamarion Junior,0.4,0.6,1.2,-,0.3,0.2,0.1,-
Aleksey Gritsaenko,1,2.2,0.8,0.4,4.2,0.2,0.6,-
Ilya Kutepov,1.3,1.5,0.7,0.3,1.5,0.4,0.7,1
Anton Piskunov,2,0.8,0.5,0.5,3,2.3,0.5,-
Danila Sukhomlinov,2,-,1.7,-,-,1,-,-
Ilya Martynov,2.3,2.2,0.7,0.2,4.8,0.8,0.7,-
Ramazan Gadzhimuradov,0.7,0.4,1.9,-,0.2,0.5,-,-
Khoren Bayramyan,0.7,0.7,0.5,-,0.2,0.4,-,-
Vladislav Karapuzov,2.3,0.7,0.8,0.1,2.4,1.5,-,-
Nikolay Kipiani,1.1,0.4,0.7,-,0.6,0.7,0.3,-
Dmitri Efremov,1.3,0.6,0.7,-,-,1,-,-
Daniil Krugovoy,0.7,0.5,0.1,0.1,0.4,0.2,0.1,-
Arnór Sigurdsson,0.2,0.2,0.5,-,-,0.4,0.1,-
Danijel Miskic,1.3,1,1,0.1,1,0.5,0.2,-
Goran Causic,1.6,1.1,1.5,-,0.7,0.2,0.4,-
Zé Luís,0.6,0.3,0.6,-,0.4,0.3,-,-
Pontus Almqvist,1,0.3,1.2,0.1,0.2,0.6,0.1,-
Oleg Aleinik,2,1.5,1.5,-,1.7,0.9,0.3,-
Igor Smolnikov,0.9,1.2,0.8,-,0.7,0.2,-,-
Guram Tetrashvili,1.7,2.1,1.1,-,0.4,0.8,0.3,-
Branko Jovicic,1.6,1.5,1.4,0.1,0.7,0.5,0.4,-
Zelimkhan Bakaev,0.5,0.1,1.2,-,0.3,0.3,-,-
Solomon Kvirkvelia,0.5,2,0.4,0.4,6.6,0.2,1.1,1
Pavel Mogilevets,1.3,1,0.3,-,0.7,1,0.2,-
Aleksandr Dovbnya,1.2,1.6,0.8,0.5,3,0.5,0.5,-
Danila Prokhin,0.4,0.6,0.2,-,1.2,0.4,0.2,-
