Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Giacomo Raspadori,0.2,0.1,0.3,-,0.3,0.1,0.2,-
Brahim Díaz,0.7,0.1,0.5,-,0.1,0.5,-,-
Mikkel Damsgaard,1.2,0.7,0.7,-,0.3,1.4,0.1,-
Arturo Vidal,1.2,1.3,1.2,-,0.4,1.3,0.1,-
Nicola Sansone,0.8,0.3,0.9,-,0.3,0.8,-,-
Yann Karamoh,1.1,0.2,0.6,-,0.4,0.8,-,-
Cristiano Biraghi,1.2,0.8,0.8,0.2,1.4,0.5,0.3,-
Pierre Kalulu,1.4,1.5,0.7,0.2,1.5,0.3,0.2,-
Amir Rrahmani,0.8,0.5,0.7,0.5,2.4,0.2,0.9,-
Lucien Agoume,1.5,1.3,1.4,-,0.6,1.1,0.4,-
Miguel Veloso,1.2,0.6,0.9,-,1,1.2,-,-
Pau López,0.1,-,-,-,0.6,-,-,-
Borja Mayoral,0.1,-,0.3,-,0.2,0.3,-,-
Pepe Reina,-,-,-,-,0.5,-,-,-
Samir,1.3,1.9,1.3,0.2,1.9,0.5,0.6,-
Luca Ceppitelli,1.3,1.3,0.8,0.5,3,0.6,0.6,-
Koffi Djidji,2,1.4,1.1,0.7,3.5,0.5,1,-
Matteo Darmian,1.2,0.7,0.8,-,1.2,0.5,0.1,-
Roberto Gagliardini,1,0.7,0.8,-,0.5,0.8,0.1,-
Gonzalo Villar,1.3,0.7,1.5,-,0.4,1.3,0.1,-
Gianluca Lapadula,0.6,0.1,1.3,-,0.4,0.5,0.1,-
Kevin Agudelo,1.3,0.3,0.7,-,-,0.8,-,-
Matteo Pessina,0.5,0.6,0.9,-,0.2,0.6,0.1,-
Bruno Alves,0.7,1.4,1.1,0.4,4.2,0.1,0.6,-
Nicolo Fagioli,-,-,1,-,-,-,-,-
Eldor Shomurodov,0.9,0.2,1.3,-,0.3,0.9,0.1,-
Salvador Ferrer,1.1,1.3,0.8,0.5,1.9,0.8,0.2,-
Stephan El Shaarawy,0.4,0.3,0.8,-,0.2,0.7,0.1,-
Stefano Okaka,0.5,0.1,1.7,-,0.9,0.4,-,-
Joakim Maehle,0.9,0.6,0.5,-,0.2,0.6,0.1,-
Nikola Maksimovic,1.1,1.2,0.3,0.6,2.6,0.5,0.4,1
Nicola Zalewski,1,-,-,-,-,-,-,-
Federico Fazio,0.5,1.2,1,0.2,2.8,0.2,0.5,-
Adrien Silva,2,1.3,1.5,-,0.3,1.5,-,-
Jasmin Kurtic,1.4,1,1.3,-,1.6,1.4,0.1,-
Marvin Zeegelaar,1.7,1,1.6,-,1.5,0.8,0.4,-
Andrea Petagna,0.1,-,0.7,-,0.3,0.2,-,-
Federico Bonazzoli,-,-,1.5,-,-,-,-,-
Rogerio,0.9,1.1,1,0.3,1.5,0.3,0.2,-
Martin Erlic,0.9,1.5,1.4,0.8,2.5,0.3,0.6,-
Bruno Peres,0.7,0.9,0.8,0.1,0.3,0.4,0.1,-
Felipe Caicedo,0.4,0.2,1,-,0.1,0.3,-,-
Marco Sportiello,0.1,0.1,-,-,0.9,0.1,-,-
Salvatore Molina,1.3,0.6,0.8,0.1,1,0.6,0.3,1
Ashley Young,0.6,0.2,0.5,0.1,1,0.4,-,-
Pierluigi Gollini,-,-,-,-,0.7,-,-,-
Matteo Ricci,1.4,1.2,0.9,-,0.4,0.9,0.1,-
Diego Farias,0.3,0.4,0.6,-,0.1,0.6,-,-
Ebrima Darboe,1,1.6,0.6,0.2,-,1.4,-,-
Leonardo Pavoletti,0.2,0.1,1.3,-,0.9,0.6,0.1,-
Nicolò Rovella,1.5,1,1,-,0.9,1.2,-,-
Soualiho Meité,1.1,0.5,0.8,-,0.9,0.6,0.1,-
Keita Baldé,0.4,-,1.3,-,0.1,0.2,-,-
Maximiliano Olivera,1,-,0.5,0.5,4,-,0.5,-
Kevin Bonifazi,1.1,1.7,0.9,0.5,2.7,0.5,0.7,-
Sofyan Amrabat,1.3,0.7,1.9,0.1,0.4,1,0.2,-
Mattia Bani,1.3,2.2,1.1,0.2,3.1,0.3,0.4,-
Daniele Rugani,1.5,0.9,0.9,0.3,2.7,0.6,0.6,-
Nicolas Nkoulou,0.8,1.8,0.8,0.7,3.9,0.3,0.8,-
Gastón Ramírez,1.2,0.2,1.3,-,0.4,0.8,0.1,-
Aleksey Miranchuk,1,0.1,0.7,-,-,0.1,-,-
Botond Balogh,3,0.7,0.3,0.7,2.3,1,1,-
Danilo,0.9,1.5,1.1,0.5,3.3,0.6,1,-
Gaetano Castrovilli,1,1,1.2,-,0.4,0.9,0.1,-
Mattias Svanberg,1.1,0.9,1.4,-,0.6,0.9,0.1,-
Ivan Radovanovic,0.5,1.1,0.8,0.2,3.3,0.6,0.6,-
Nicolás Domínguez,1.7,0.9,0.8,-,0.7,0.8,0.3,-
Andrea Masiello,1.3,1.8,0.5,0.2,3.4,0.8,0.4,-
Walace,1.7,1.1,1,-,0.7,1.3,0.1,-
Riccardo Saponara,0.4,0.1,0.4,0.1,0.4,0.2,-,-
Ivan Provedel,0.1,0.1,-,-,0.9,0.1,-,-
Miha Zajc,0.7,0.9,0.9,-,0.6,0.8,0.1,-
Riccardo Improta,1.1,0.8,0.7,0.1,1.3,0.7,0.1,1
Riccardo Gagliolo,1.6,1.3,1,0.2,1.8,0.6,0.3,-
Maxime Lopez,0.8,0.6,0.8,-,0.3,0.9,-,-
Ardian Ismajli,1.1,1.4,1.1,0.8,2.9,0.3,0.4,-
Daniele Verde,0.2,0.4,0.1,-,0.2,0.3,-,-
Jakub Jankto,0.8,0.7,0.5,-,0.8,0.7,-,-
Soualiho Meité,0.8,0.7,0.8,-,0.6,0.8,0.1,-
Marco Silvestri,-,-,0.1,-,0.9,-,-,1
Bartlomiej Dragowski,-,-,-,-,0.8,-,-,-
Francesco Magnanelli,0.7,1.3,0.5,-,0.8,0.7,0.2,-
Dennis Man,0.9,0.1,0.4,-,0.4,1.1,-,-
Sandro Tonali,1.1,0.9,0.7,-,0.7,0.6,0.2,-
Nahuel Molina,0.9,0.7,0.6,0.1,1.3,0.9,0.1,-
Giulio Maggiore,1.8,0.6,1.8,0.1,0.6,1,0.2,-
Ricardo Rodríguez,1.3,1.3,0.8,0.1,2.2,0.6,0.3,-
Sasa Lukic,1,0.5,1.4,-,0.4,1.1,0.2,-
Pawel Dawidowicz,1.4,0.9,1.3,-,2,0.3,0.6,-
Mert Müldür,1.5,1.3,0.7,0.2,1.3,0.9,-,-
Juan Brunetta,0.2,0.1,0.9,-,0.2,0.4,-,-
Aleksandar Kolarov,0.6,1,0.4,0.1,0.9,0.1,-,-
Paolo Faragò,1.6,0.8,0.9,0.3,1.6,1.4,0.3,-
Sebastian Walukiewicz,1.4,1.9,0.9,0.7,3,0.9,0.7,-
Brian Oddei,0.4,-,-,-,0.2,0.2,-,-
Claudio Terzi,1.4,1.4,1,0.8,2.2,0.4,0.5,-
Matías Vecino,0.1,0.5,0.4,-,0.4,0.6,0.1,-
Samir Ujkani,-,-,-,-,1,-,-,-
Fernando Llorente,0.3,0.1,1.5,-,1.2,0.2,-,-
Germán Pezzella,1.1,1.1,1,0.7,3.3,0.4,0.4,-
Antonio Cioffi,-,1,-,-,-,-,-,-
Samu Castillejo,0.9,0.2,0.9,-,0.3,0.9,-,-
Gerard Deulofeu,0.2,0.2,0.5,-,-,0.8,-,-
Gregoire Defrel,0.5,0.3,0.5,-,0.1,0.3,-,-
Roberto Insigne,0.5,0.2,0.4,-,0.3,0.7,-,-
Andrea Conti,1.9,1.5,1.4,0.1,1.7,1.2,0.4,-
Giovanni Simeone,0.7,0.3,0.7,-,0.5,0.7,-,-
Juan Musso,-,-,0.1,-,0.3,-,-,-
Andreas Skov Olsen,0.7,0.1,0.5,-,0.7,0.4,-,-
Alessandro Tuia,1.4,1.3,1,0.2,3.1,0.4,0.4,-
Lorenzo De Silvestri,1.2,1,1.4,0.2,1.7,0.7,0.3,-
Marash Kumbulla,0.8,1.1,1.2,0.6,1.8,0.6,0.2,-
Pedro Obiang,1.1,0.7,0.7,-,0.8,0.7,0.2,-
Pasquale Schiattarella,1.3,1.1,1.2,0.1,1,1,0.2,-
Matteo Lovato,1,1.5,1,0.3,2,0.5,0.4,-
Jayden Braaf,-,-,0.5,-,-,0.3,-,-
Ronaldo Vieira,1.3,-,1.5,-,0.5,0.5,0.8,-
Sebastien De Maio,1,1.2,0.7,0.1,2.7,0.1,0.6,-
Federico Bernardeschi,0.3,0.5,0.5,-,0.2,0.6,0.1,-
Mergim Vojvoda,1,0.8,0.5,0.1,1.3,0.4,0.2,-
Iago Falque,0.4,-,-,-,0.1,0.5,0.1,-
Lennart Czyborra,1.1,1,0.6,-,1.4,0.5,0.1,-
Carles Pérez,0.4,0.3,0.6,-,-,1.2,-,-
Mato Jajalo,1,2,-,-,-,-,-,-
Goran Pandev,0.3,0.1,0.4,-,0.2,0.2,-,-
Valerio Verre,0.4,0.3,0.9,-,0.1,0.6,0.1,-
Mateo Musacchio,0.3,0.5,0.8,-,1,-,0.5,-
Danilo D'Ambrosio,0.8,0.2,0.6,0.1,0.7,0.5,0.4,-
Lorenzo Montipò,-,-,0.1,-,1.1,-,-,1
Emanuel Vignato,0.6,0.3,0.4,-,0.2,0.4,-,-
Paolo Ghiglione,1.2,0.6,0.8,0.1,1,0.7,0.1,-
Mehdi Bourabia,0.4,0.8,1,-,0.5,0.3,0.4,-
Jens Stryger Larsen,0.5,0.7,0.4,0.1,1.5,0.5,0.3,-
Joseph Alfred Duncan,0.9,0.8,0.8,0.1,0.4,0.9,-,-
Simone Zaza,0.5,0.1,1.2,-,0.2,0.5,-,-
Marlon Santos,0.8,1.1,1.1,0.7,1.8,0.2,0.7,-
Yayah Kallon,-,-,-,-,-,-,-,-
Kaan Ayhan,0.8,0.8,0.4,0.2,1.5,0.3,0.3,-
Lisandro Magallán,1.9,1.6,2.3,0.6,2.6,0.9,0.5,-
Edoardo Goldaniga,1.1,1.5,1.2,0.1,2.4,0.4,0.3,-
Artur Ionita,1.3,0.5,1.6,0.1,0.8,1.3,0.4,-
Giuseppe Cuomo,2,1.4,1.2,0.5,1.5,0.4,0.2,-
Kevin Lasagna,0.4,0.1,1.7,-,0.6,0.2,0.1,-
Bryan Reynolds,0.8,1.2,1,0.4,0.6,0.8,-,-
Simone Scuffet,-,-,-,-,3,-,-,-
Valentin Eysseric,0.9,0.4,0.8,-,0.4,0.4,-,-
Stefano Sensi,0.5,0.4,0.6,-,0.1,0.4,0.1,-
Gabriele Zappa,1,0.7,0.7,0.2,1.2,0.8,0.1,-
Gonzalo Escalante,1.1,0.8,0.6,-,0.5,0.8,0.1,-
Alessandro Deiola,1.1,0.9,1,-,0.8,1.3,0.2,-
Mamadou Coulibaly,3.3,0.3,1,-,-,-,-,-
Martín Cáceres,1,0.5,0.7,0.3,1.7,0.7,0.5,-
Mateo Musacchio,2,3,1,-,-,1,-,-
Pedro Pereira,1.4,0.5,0.9,0.2,1.4,0.5,0.3,-
Perparim Hetemaj,1.4,0.7,1.3,0.1,0.6,1.1,0.2,-
Daniele Baselli,0.8,0.6,0.4,-,0.3,0.3,-,-
Mihai Valentin Mihaila,0.1,0.3,0.3,-,0.4,0.6,0.1,-
Mohamed Fares,1,0.8,1.3,0.1,0.7,0.4,-,-
Luca Pellegrini,0.8,0.7,0.9,0.2,0.9,0.5,0.2,1
Bastos,1.5,-,0.5,-,1,1,-,-
Gianluca Frabotta,0.5,0.9,0.8,-,0.8,0.5,0.1,-
Rade Krunic,0.6,0.4,0.4,-,0.3,0.4,0.1,-
Wesley Hoedt,1.3,1,0.6,0.2,2.8,0.4,0.3,-
Pol Lirola,1.1,0.5,0.3,-,0.7,0.5,0.3,-
