Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,League
Antonee Robinson,1.6,1.3,0.7,0.1,1.9,0.6,0.1,-,Premier_league
Kelechi Iheanacho,0.5,0.1,1,-,-,0.5,-,-,Premier_league
João Virgínia,-,-,-,-,-,-,-,-,Premier_league
Terence Kongolo,3,2,1,1,2,-,-,-,Premier_league
Anthony Martial,0.1,-,0.7,-,0.4,0.5,0.1,-,Premier_league
James McArthur,3.2,1.3,1.8,0.1,1.6,1.3,0.2,-,Premier_league
Lewis Dunk,0.9,1,0.7,0.7,3.2,0.2,0.6,1,Premier_league
Kyle Walker-Peters,2.8,1.3,1.1,0.2,1.7,0.8,0.3,-,Premier_league
Danny Ings,0.8,0.1,0.7,-,0.7,0.6,0.1,-,Premier_league
Callum Wilson,0.5,0.3,1.5,-,0.5,0.4,0.1,-,Premier_league
Trézéguet,1.6,0.9,1.9,-,0.6,1.5,-,-,Premier_league
Timothy Castagne,1.9,1.1,0.7,0.2,1.9,0.7,0.2,-,Premier_league
Pascal Groß,1.3,0.7,0.6,-,0.4,0.9,0.1,-,Premier_league
Fabinho,1.9,1.5,1,0.5,2.2,0.9,0.3,-,Premier_league
Stuart Armstrong,1.8,0.7,1,0.1,0.6,1.5,-,-,Premier_league
Jordan Henderson,1.1,1.6,0.4,0.6,1.2,0.8,-,-,Premier_league
Aaron Cresswell,0.9,0.9,0.4,0.1,2,0.4,0.4,-,Premier_league
Chris Wood,0.4,-,1.2,-,0.6,0.4,0.1,-,Premier_league
Eberechi Eze,0.8,0.7,0.5,-,0.2,0.6,0.1,-,Premier_league
Rúben Neves,2.4,1.8,1.3,0.1,1.1,1.4,0.3,-,Premier_league
Fernandinho,1.5,1.1,1,0.1,0.8,1.1,0.1,-,Premier_league
Timo Werner,0.6,0.2,0.8,-,0.2,1,-,-,Premier_league
Pascal Struijk,1.8,1.7,1,0.2,3.1,0.4,0.8,-,Premier_league
Tyrone Mings,0.9,1.1,0.6,0.4,4.7,0.2,1.1,1,Premier_league
Jonjo Shelvey,1.3,1.2,1,-,1.3,0.9,0.5,-,Premier_league
Leandro Trossard,0.9,0.7,0.8,-,0.1,0.7,0.1,-,Premier_league
Andreas Christensen,0.6,1.2,0.5,0.4,2.9,0.5,0.8,-,Premier_league
Joachim Andersen,1.1,1.4,1.3,1.1,4.8,0.4,0.4,-,Premier_league
Karl Darlow,-,-,-,-,1.7,-,-,-,Premier_league
Calum Chambers,0.7,1,0.7,0.2,3.6,0.5,0.2,-,Premier_league
Rob Holding,1.4,0.8,0.8,0.5,4,0.6,0.9,1,Premier_league
Anwar El Ghazi,0.6,0.2,0.6,-,0.4,0.6,-,-,Premier_league
Conor Hourihane,-,-,0.3,-,0.5,0.5,-,-,Premier_league
Abdoulaye Doucouré,1.8,1.3,0.8,0.1,0.9,1,0.2,-,Premier_league
Amad,1,-,0.7,-,0.3,-,0.3,-,Premier_league
Pablo Fornals,1.3,1.1,0.8,-,0.2,1.9,-,-,Premier_league
Pierre-Emerick Aubameyang,0.4,0.2,0.4,-,0.5,0.6,-,1,Premier_league
Ben Godfrey,1.8,1.1,0.5,0.3,3.5,0.5,1.2,1,Premier_league
Che Adams,0.7,0.1,0.8,0.1,0.5,0.3,0.1,-,Premier_league
Adam Webster,1,1.6,0.8,0.3,2.9,0.4,0.6,-,Premier_league
Kyle Bartley,0.9,1.3,1,0.5,5.3,0.4,1.2,-,Premier_league
Emile Smith Rowe,0.7,0.5,0.3,-,0.5,0.6,0.1,-,Premier_league
Allan,3.3,0.8,1.5,0.1,1,2.8,0.5,-,Premier_league
Kyle Walker,1.2,0.6,1,0.3,0.9,0.3,0.3,-,Premier_league
Josh Brownhill,1.4,2.1,1.1,-,1.1,0.9,0.3,-,Premier_league
Aymeric Laporte,0.8,0.7,0.6,0.6,1.8,0.3,0.4,-,Premier_league
Ferran Torres,0.5,0.1,0.7,-,0.3,0.5,-,-,Premier_league
Nicolas Pépé,0.7,0.4,0.4,-,0.4,0.5,-,-,Premier_league
Ross Barkley,0.3,0.2,0.5,-,0.3,0.5,-,-,Premier_league
Hugo Lloris,-,-,-,-,0.5,-,-,-,Premier_league
Willy Boly,1.6,1.5,0.7,0.2,4,0.5,0.6,-,Premier_league
Dan Burn,1.9,1.1,1.3,0.1,2.6,1,0.3,1,Premier_league
Sébastien Haller,0.9,0.3,1.5,0.1,0.4,1,0.1,-,Premier_league
Ezri Konsa,0.7,0.8,0.5,0.4,4.4,0.1,1.3,-,Premier_league
Jarrod Bowen,0.7,0.6,0.4,-,0.1,0.5,-,-,Premier_league
Matt Doherty,1.7,1.4,1.2,0.2,2.1,1.2,0.3,-,Premier_league
Thomas Partey,1.8,1,0.8,-,0.6,1.3,0.2,-,Premier_league
Joelinton,1.1,0.3,0.8,-,0.7,0.7,0.1,-,Premier_league
Christian Pulisic,0.7,0.4,0.5,-,0.3,0.5,0.1,-,Premier_league
Marc Albrighton,1.1,0.5,0.3,0.1,0.6,0.9,0.1,-,Premier_league
Çaglar Söyüncü,1.2,1.2,0.8,0.6,3.4,0.6,0.4,-,Premier_league
Alphonse Areola,-,-,-,-,1.1,0.1,-,-,Premier_league
Christian Fuchs,2,1.8,1.6,-,3.3,0.8,0.4,-,Premier_league
Sam Johnstone,-,0.1,-,-,1,-,-,-,Premier_league
Alisson,0.1,0.1,-,-,1.3,-,-,-,Premier_league
Granit Xhaka,1.6,0.8,1.3,-,1.2,0.9,0.2,-,Premier_league
Tosin Adarabioyo,1.1,1.3,0.5,0.8,5.8,0.6,0.6,1,Premier_league
Angelo Ogbonna,0.9,1.1,1,0.5,4.1,0.3,0.4,-,Premier_league
Gabriel Magalhães,1.1,1.1,1,0.5,3.2,0.3,0.8,-,Premier_league
Callum Hudson-Odoi,1,0.3,0.5,-,0.2,0.6,-,-,Premier_league
Tariq Lamptey,1.5,1.7,1.9,0.1,0.8,0.6,0.1,-,Premier_league
David McGoldrick,0.9,0.1,1.3,-,0.7,0.5,0.1,-,Premier_league
Mason Greenwood,0.4,0.2,0.5,-,-,0.5,-,-,Premier_league
Martin Ødegaard,0.6,0.1,0.1,-,0.4,0.7,-,-,Premier_league
Sergio Reguilón,1.7,1.2,1,0.3,1.5,0.9,0.3,1,Premier_league
Conor Townsend,1.8,1.4,0.6,0.1,2,0.8,0.6,-,Premier_league
Ozan Kabak,2.1,1.3,1.3,0.9,3,0.3,0.2,-,Premier_league
Matthew Lowton,1.6,1.6,0.6,0.3,2.3,1.2,0.4,-,Premier_league
Pablo Marí,1.5,0.9,0.8,0.6,2.9,0.5,0.7,-,Premier_league
Robin Olsen,-,-,-,-,0.7,-,-,-,Premier_league
David Button,-,-,-,-,2,-,-,-,Premier_league
Fabián Balbuena,1.7,1.8,0.9,0.4,4.4,0.6,0.4,-,Premier_league
Rhys Williams,0.7,0.7,0.4,0.4,2.9,-,0.3,-,Premier_league
Hakim Ziyech,0.6,0.4,0.8,-,-,0.6,-,-,Premier_league
Jan Bednarek,1,2.3,0.8,0.8,3.7,0.7,0.8,1,Premier_league
Japhet Tanganga,0.8,0.5,1.8,0.3,2.2,0.3,0.8,-,Premier_league
Tyrick Mitchell,3.4,1.1,0.4,0.2,2.4,0.9,0.5,-,Premier_league
Ethan Ampadu,2.3,2,1,0.2,3.3,1,0.8,1,Premier_league
Tammy Abraham,0.3,0.2,1,-,0.8,0.3,-,-,Premier_league
Fraser Forster,0.1,-,0.1,-,2,0.1,-,-,Premier_league
Victor Lindelöf,0.8,1.1,0.8,0.6,3.3,0.4,0.5,-,Premier_league
Kenny Tete,2.2,1.2,1.3,0.2,2,0.4,0.2,-,Premier_league
Chris Basham,2.2,1.6,0.8,0.3,3.3,0.8,0.5,-,Premier_league
Héctor Bellerín,1.2,1.3,0.8,0.1,1.2,1.2,0.3,-,Premier_league
Daniel Podence,0.5,0.5,0.6,-,0.1,0.7,-,-,Premier_league
