Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Murray Davidson,1.9,0.9,1.5,-,1.1,0.6,0.1,-
Ciaron Brown,1.6,1.3,0.9,0.5,2,0.4,0.6,-
Jeando Fuchs,1.7,2,1.9,-,1,0.7,0.1,-
Dan McNamara,1.8,1.5,0.7,-,1.3,0.8,0.1,-
Scott Wright,0.8,0.1,0.8,-,0.1,0.3,-,-
Ethan Erhahon,1.7,1.8,1.1,0.1,0.8,0.9,0.1,-
Albian Ajeti,0.3,0.1,0.9,-,0.3,0.4,-,-
Ilkay Durmus,1.4,0.9,1,-,0.7,0.8,0.1,-
Matthew Kennedy,0.8,0.6,0.4,-,0.9,0.6,0.2,-
Nathan Patterson,1,0.6,0.4,-,2.1,0.1,-,-
Calum Butcher,1.8,1.3,1.7,-,1.6,0.6,0.2,-
Jermain Defoe,0.2,0.1,0.4,-,-,0.1,-,-
Leigh Griffiths,0.1,-,0.3,-,0.2,0.2,-,-
Alex Iacovitti,0.8,1.2,0.9,0.5,5.4,0.4,0.8,1
Jack Fitzwater,1.1,1.9,1.5,0.6,3.4,0.4,0.8,1
Jake Carroll,1.1,1.3,0.7,0.3,2.8,0.5,0.8,-
Charlie Lakin,2.1,0.7,0.9,-,1.2,0.7,0.1,-
Greg Kiltie,0.9,0.3,1.1,-,0.2,0.6,-,-
Max Stryjek,-,-,-,-,0.9,-,-,-
Alan Forrest,1.3,0.6,0.7,-,0.5,0.8,-,-
Callum Morris,1.2,2.1,0.8,0.9,5.3,0.3,0.9,1
Nathan McGinley,1.4,0.7,0.3,0.1,1.4,0.1,0.4,-
Jak Alnwick,-,-,-,-,0.7,-,-,-
Jason Holt,2.1,1,1.4,-,1,1,0.1,-
Barry Maguire,1,1.1,0.6,-,1,1,0.1,-
Tomas Rogic,0.5,0.2,1,-,0.3,0.2,0.1,-
Bruce Anderson,0.3,0.1,1,-,0.3,0.1,-,-
Stephen O'Donnell,1.3,1.3,0.8,0.2,2,0.7,0.3,-
David Templeton,0.4,0.3,0.9,-,-,1,-,-
Josh Mullin,0.7,0.3,0.8,-,0.4,0.9,-,-
Scott Bain,-,-,-,-,0.5,-,-,-
Calum Waters,1.5,1.6,0.9,0.2,2.8,0.5,0.2,-
Nicke Kabamba,0.5,0.3,1.7,0.1,0.4,0.3,0.1,-
David Moyo,0.5,0.3,0.9,-,1.2,0.5,0.3,-
Greg Leigh,0.5,1.1,0.5,-,1.4,0.3,0.5,-
Scott Arfield,0.6,0.3,0.8,-,0.3,0.6,0.1,-
Christopher Kane,0.8,0.4,1.4,-,0.3,0.4,0.1,-
Nicky Clark,0.3,0.4,0.7,-,1.1,0.3,0.2,-
Sam Cosgrove,0.3,0.1,2.3,-,0.2,0.6,-,-
Tom Grivosti,1.2,0.8,0.6,0.6,1.8,0.6,0.2,-
Coll Donaldson,1.2,1.5,1.1,0.8,4.8,0.8,0.6,-
Scott Martin,2.7,0.8,2,0.1,1,1.5,0.3,-
Ross Laidlaw,-,-,-,-,1.1,-,-,-
Sam Foley,1.7,1.5,1.8,0.4,2.5,0.7,0.5,-
Scott Pittman,1.3,0.7,1.5,-,0.9,0.6,0.2,-
Josh Doig,1.5,0.8,0.5,0.1,1.1,0.8,0.4,-
Stephen Kelly,1.1,1,0.7,-,1.1,0.6,0.3,1
Craig Conway,0.3,0.3,0.5,-,0.1,0.5,0.1,-
Liam Polworth,0.4,0.5,0.6,-,1,0.5,-,-
Ian Harkes,1.2,1.1,1,-,1.1,0.8,0.2,-
Marios Ogkmpoe,0.3,0.2,1.1,-,0.4,0.4,0.1,-
Luke Bolton,1.6,0.9,1,-,0.7,0.7,0.2,-
Jaze Kabia,0.8,0.1,0.8,-,0.4,0.5,-,-
Aaron Tshibola,1.1,0.9,1.8,-,1,0.9,0.5,-
Jason Naismith,1.4,0.3,0.9,-,1.9,0.4,0.2,-
Zeno Rossi,0.6,1.3,0.2,0.2,2.7,0.6,0.7,-
Leo Fuhr Hjelde,1.8,2,1,0.1,3.3,0.9,0.8,-
Aaron Taylor-Sinclair,1,0.8,1.5,0.5,1.5,0.3,0.8,-
Steve Lawson,1.5,0.9,0.9,-,0.5,0.1,0.2,-
Brandon Barker,0.6,-,0.9,-,-,0.4,-,-
Efe Ambrose,0.8,1.2,0.8,0.3,2.7,0.5,-,-
Tyler Magloire,1.1,0.4,0.4,0.7,4.3,0.4,0.4,-
Adam Montgomery,1.5,0.5,1.5,-,-,-,-,-
Vasilios Barkas,-,-,-,-,0.3,-,-,-
Charlie Trafford,1.6,1.3,1.2,-,1.1,0.7,0.1,-
Jack Simpson,0.8,0.2,1.2,1,3.2,0.6,0.4,-
Callum Booth,0.8,0.8,0.4,-,0.8,0.4,0.1,-
Iain Vigurs,2,1,2.2,0.1,0.9,1.5,0.4,-
Brandon Haunstrup,1.4,1.4,0.6,0.3,1.5,0.3,0.2,-
Dean Campbell,1.6,0.9,0.8,0.1,1.1,1.1,0.1,-
Marc McNulty,0.6,0.2,1.2,-,0.2,0.3,-,-
Liam Kelly,-,-,-,-,0.5,0.1,-,-
Liam Grimshaw,1.9,0.6,0.7,0.1,2.9,0.8,0.4,-
Djibril Diani,0.5,1.3,0.3,-,0.5,0.3,0.3,-
Oli Shaw,0.3,0.2,0.5,-,0.2,0.4,0.1,-
Craig Bryson,2,-,1,-,-,1,-,-
Jonathan Obika,0.3,0.1,0.9,-,0.4,0.4,0.1,-
Lewis Neilson,1.1,1,0.7,0.7,1.6,0.4,0.2,-
Guy Melamed,0.4,0.1,1.2,-,0.1,0.4,-,-
Aaron Chapman,0.2,-,-,-,0.5,0.2,-,-
Blair Spittal,1,0.4,0.2,-,0.8,0.2,-,-
Jackson Longridge,2.4,1.9,1.1,0.2,1.5,1,-,-
Glenn Middleton,0.8,0.4,0.3,-,0.2,0.7,-,-
Lewis Stevenson,0.8,0.8,0.3,0.1,1,0.2,0.1,-
Olivier Ntcham,0.2,0.3,0.6,-,0.2,0.6,0.1,-
Chris Cadden,1,0.3,0.5,-,0.8,0.2,-,-
Curtis Main,0.6,-,1.9,-,0.4,0.1,0.1,-
Harry Robinson,1,-,-,-,-,-,-,-
Cameron MacPherson,0.9,0.3,0.7,-,0.4,0.5,0.1,-
Scott Robinson,0.7,0.4,0.8,-,0.1,0.4,-,-
Craig Sibbald,1.3,0.8,1.2,-,0.8,1.2,0.2,-
Peter Pawlett,0.8,0.7,1.7,-,0.4,1,0.2,-
Melker Hallberg,0.9,0.3,0.9,-,0.4,0.4,0.2,-
George Stanger,1.7,-,-,-,4,0.7,-,-
Brian Easton,1,1.3,0.9,0.6,4.4,0.6,0.8,1
Jack McMillan,1.3,1.1,0.6,-,1.8,0.9,-,-
Jamie Hamilton,1.4,1.2,0.7,0.2,2.2,0.4,0.4,-
Callum Lang,0.6,0.5,1.5,-,0.2,0.8,-,-
Dillon Powers,0.6,0.5,0.6,-,1.3,0.4,0.3,-
Mitchell Pinnock,0.6,0.4,0.6,-,0.1,0.6,0.1,-
Cedric Itten,0.3,0.1,1.1,-,0.2,0.1,0.1,-
Jermaine Hylton,0.6,0.8,0.6,-,0.1,0.3,-,-
Craig Bryson,1.3,1.2,1.1,-,0.4,0.5,0.3,-
Tony Andreu,1.5,1,1.3,-,0.3,1.5,0.2,-
Harrison Paton,1.1,0.8,1.1,-,0.6,1.2,0.2,-
Youssouf Mulumbu,1.3,0.8,0.7,-,0.3,0.7,0.2,-
Trevor Carson,-,0.1,0.1,-,0.5,-,-,-
Carl Tremarco,0.8,1.4,0.7,0.2,1.6,0.5,0.2,-
Paul McMullan,0.6,0.4,0.3,-,0.5,0.3,-,-
Clévid Dikamona,0.7,1.8,0.8,0.5,4.1,0.3,0.5,-
Karamoko Dembele,1,-,0.2,-,-,-,-,-
Stephen Mallan,0.8,0.4,0.6,-,0.3,0.6,0.1,-
Jack MacKenzie,1.8,1,0.8,0.3,3,0.8,0.3,-
Lee Hodson,1.1,0.8,0.6,0.1,1.2,0.6,0.7,-
Reegan Mimnaugh,0.9,0.6,0.8,-,0.7,0.4,0.4,-
Drey Wright,0.8,0.4,0.4,0.1,0.6,0.3,0.1,-
Zech Medley,0.7,1,0.9,1.1,3.3,0.3,0.4,-
Stevie May,0.4,0.1,0.5,-,0.3,0.5,0.1,-
Nathan Thomas,0.3,-,0.5,-,0.2,0.5,-,-
Rory McKenzie,1.1,0.5,0.6,0.1,0.4,1.1,0.1,-
Niall McGinn,0.2,0.1,0.4,-,-,0.2,-,-
Michael Johnston,0.3,-,0.3,-,-,0.3,-,-
Joe Lewis,-,-,-,-,0.5,-,-,2
James Brown,0.8,0.4,0.6,-,1.8,0.4,0.2,-
Marvin Bartley,1.6,1,1.6,-,0.6,0.7,0.2,-
Josh Reid,1.5,1.5,1.3,0.1,1.9,1.1,0.2,-
Lewis Smith,1.8,0.6,1,-,0.4,0.8,-,-
Billy Mckay,0.2,0.2,0.7,-,0.2,0.2,-,-
Kristian Dennis,0.1,0.1,0.4,-,-,0.3,-,-
Kyle McAllister,0.2,0.1,0.5,-,0.1,0.2,-,-
Junior Morias,0.3,0.3,0.7,-,0.5,0.1,-,-
Danny Rogers,-,-,-,-,0.7,-,-,1
Ryan Edmondson,0.2,0.1,0.5,-,0.2,0.1,0.1,-
Lee Erwin,-,0.3,1,-,0.3,0.5,-,-
Michael Gardyne,0.3,0.4,0.4,-,0.2,0.4,0.1,-
Jack Hamilton,0.2,-,1,-,-,0.4,-,-
Dylan McGeouch,0.8,0.5,0.4,-,0.6,0.5,0.3,-
Connor McLennan,0.7,0.5,0.6,0.1,0.7,0.5,0.1,-
Patryk Klimala,0.2,0.1,0.4,-,0.2,-,0.1,-
Ross Draper,1.4,0.5,1.9,0.1,1.3,1.4,0.3,-
Will Collar,2.2,1.2,0.7,-,2.2,1.3,0.3,-
Connor Randall,1,1.1,0.6,0.1,2.3,0.5,0.1,-
Elliot Parish,-,-,-,-,0.7,-,-,-
Sherwin Seedorf,0.1,0.5,1,-,0.4,0.4,-,-
Callum Smith,0.7,0.2,0.5,-,0.2,0.1,-,-
Kyle Munro,0.3,0.3,0.8,0.1,1,0.5,0.1,-
Kyle Magennis,0.4,0.8,1.1,-,0.8,0.4,0.1,-
Greg Stewart,0.2,-,0.4,-,-,0.2,-,-
Scott Wright,0.4,0.2,0.3,-,0.1,0.2,-,-
Fraser Hornby,0.4,-,1.1,-,0.8,0.2,-,-
Callum Hendry,0.3,0.1,0.6,-,0.3,0.5,0.1,-
Logan Chalmers,1,0.3,0.4,-,0.7,0.9,0.1,-
Ben Stirling,1.6,0.8,0.8,0.1,2.1,0.6,0.5,-
Stephen McGinn,0.6,0.2,0.8,-,-,0.2,-,-
Florian Kamberi,0.7,0.1,1.5,-,0.3,0.5,-,-
Jordan Tillson,1.1,0.7,1.1,-,1,0.8,0.1,-
Ryan Flynn,0.7,0.5,0.5,-,0.7,0.4,-,-
Harry Smith,-,-,1.6,-,0.4,-,-,-
Bongani Zungu,0.1,0.4,0.4,-,0.3,0.1,0.1,-
Colin Doyle,-,-,0.1,-,0.4,-,-,-
Scott Allan,0.6,-,0.4,-,0.4,1.3,0.1,-
