Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Facundo Almada,1.7,0.7,1,0.3,1.7,0.3,-,-
Lucas Chaves,0.1,0.1,0.1,-,0.9,0.1,-,-
Gastón Togni,0.2,-,0.4,-,0.4,0.2,0.2,-
Jonathan Sandoval,1.4,1.3,1.2,0.4,1.7,1,0.3,-
Fernando Torrent,2.4,0.6,1.1,0.1,1.2,1.4,0.2,1
Pablo Pérez,2.4,0.5,2.3,-,0.6,1.9,-,-
Jonathan Schunke,0.7,1,0.7,0.6,5,0.4,0.8,1
Gino Perruzzi,2.3,0.8,1.3,0.3,1.9,1,0.1,-
Diego García,1.3,0.9,0.6,-,0.1,1.6,-,-
Luciano Abecasis,1.5,-,1,-,2.5,-,-,-
Tomás Guidara,2.1,1.1,1.1,0.1,1.4,0.4,0.1,-
Agustín Bouzat,2,0.5,1.1,-,1.2,1.2,0.2,-
Mauricio Arboleda,-,-,0.1,-,0.8,0.1,-,-
Marco Ruben,1.3,-,1.6,-,0.4,1.1,0.3,-
Matías Escudero,1.8,2.2,1,0.4,3.9,1.1,0.9,-
Franco Soldano,0.5,0.2,1.5,-,1.2,0.8,0.3,-
Daniele De Rossi,0.6,2,1,0.4,1.8,0.6,0.6,-
Manuel Guanini,1,0.8,1.5,0.8,3.7,0.8,0.8,-
Gerónimo Poblete,2.7,1.7,1.4,0.2,1.1,1.1,0.3,-
Marcelo Herrera,2.3,1.4,1,0.1,1.2,1,0.3,-
Francis Mac Allister,3.9,0.8,2.2,-,0.5,2.2,0.2,-
Luis Unsain,-,-,-,-,0.6,-,-,1
Alexis Soto,1.4,1.8,1.8,0.5,1.1,0.6,0.3,-
Cecilio Domínguez,1,0.3,0.5,-,0.1,0.9,0.1,-
Andrés Roa,1.8,0.3,1.3,-,-,0.8,-,-
Matías Esquivel,1.7,0.9,0.7,-,-,0.7,0.1,-
Eugenio Mena,2.3,1.8,1.3,0.3,2.8,1,0.1,1
Lucas Barrios,0.6,0.1,1.6,0.1,0.6,0.5,-,-
Jonathan Bottinelli,1.1,2.4,0.9,0.9,5.4,0.4,0.7,-
Saúl Salcedo,1.3,1,0.9,0.6,4.3,0.6,0.5,-
Raúl Loaiza,1.9,1.8,1.4,0.1,1.8,0.8,0.7,-
Marcelo Herrera,1,2.2,1.2,1,8.4,1,2.2,-
Leonel Di Plácido,3.1,2,1.9,0.1,1.4,1.7,-,-
Leandro Díaz,0.3,0.2,1.8,-,0.6,0.6,0.2,-
Gianluca Ferrari,1.8,2.5,0.5,0.8,5.3,0.5,1,-
Marcelo Díaz,0.9,1.3,1.1,0.3,1.4,0.7,0.1,-
Matías Rojas,1.4,0.3,1,-,0.4,1.2,0.1,-
Fabricio Bustos,2.3,0.8,0.9,0.1,1.5,0.8,0.3,-
Marcos Sánchez,1.2,1.4,0.4,-,1.2,0.4,0.2,-
Luis Abram,1.4,1.3,0.8,0.4,3.4,0.5,0.4,-
Nicolás Capaldo,2.5,1.5,1.9,-,0.7,1.2,0.1,-
Jonathan Galván,3,2,0.7,0.3,3.7,0.7,-,-
Santiago Gentiletti,1.7,1.5,0.9,0.7,3.5,0.8,0.5,-
Juan Cavallaro,1.1,0.4,0.3,-,0.2,1.2,-,-
Maxi Rodríguez,0.7,0.4,0.7,-,0.2,0.6,0.1,-
Agustín Almendra,1.8,1.5,1,-,0.8,2,0.2,-
Juan Cruz Komar,1.2,1.3,0.9,0.6,3.9,0.4,0.8,-
Matías Ibáñez,-,-,-,-,0.6,-,-,-
Ezequiel Bullaude,1.5,0.5,1,-,0.5,1,-,-
Nicolás Tripicchio,1.7,0.5,2,0.2,1.2,1,0.3,-
Guido Herrera,-,-,-,-,1,-,-,-
Matías Nani,2,1.8,0.8,0.8,3.8,0.5,0.7,1
