Name,KeyP,AvgP,Crosses,LongB,ThrB
Andraz Sporar,0.5,7.8,0.1,0.1,-
Rui Costa,0.6,7.4,0.2,0.1,-
Leonardo Campana,0.1,5.8,-,-,-
Ryotaro Meshino,0.5,8.7,0.1,0.3,0.1
Gustavo Assunção,0.2,42.7,-,3,-
João Lucas,-,24.5,0.1,2,-
Abdullahi Ibrahim Alhassan,0.3,25.7,0.1,1.8,-
Abdul Mumin,-,45.3,-,3.3,-
Júlio César,-,28.4,0.1,2.1,-
Filipe Melo,0.1,14.1,-,0.3,-
Lucas,-,19.2,-,1.4,-
Bura,0.1,15.8,0.1,2.4,-
Madi Queta,0.4,8.6,0.1,0.4,0.1
Ali Alipour,0.4,8.2,-,0.2,-
Arcanjo,0.2,12,0.3,0.6,-
Nathan,0.2,7.1,0.1,0.5,-
Patrick,0.2,7.1,0.1,-,-
Bruno Tabata,0.4,12.4,0.5,0.9,0.1
Guedes,0.6,10.6,0.1,0.4,-
Diogo Calila,0.6,14.6,0.8,0.4,-
Sebastián Pérez,0.2,20.5,-,1.8,-
Júlio César,1.4,13.3,1.1,0.3,-
Alex Pinto,0.5,20.9,0.9,0.9,-
Matheus Silva,0.2,17,0.1,0.7,-
Franco Cervi,0.7,19.8,0.4,0.6,-
Henrique Trevisan,0.3,5.3,-,0.5,0.3
Costinha,0.8,11.3,0.3,0.8,0.1
Andrijia Lukovic,0.2,19.1,0.1,0.7,-
Lucas Kal,0.3,41.8,-,4,-
Miguel Reisinho,0.8,15.5,-,1.3,-
Heriberto Tavares,0.4,7.7,0.1,0.1,-
Edwin Herrera,0.3,31,0.3,2.3,-
Chico Ramos,0.6,20.2,0.4,1.1,-
Vincent Koziello,0.6,14.2,0.2,0.1,0.1
Pedrinho,0.1,12.3,0.2,0.4,-
André Horta,0.4,23.4,-,1.3,0.1
Diogo Queirós,-,45.6,-,3.7,-
Vitor Carvalho,0.3,25.9,-,1.4,-
Ruben Lameiras,0.5,13.9,0.3,1,0.1
Kanya Fujimoto,0.5,11.7,0.3,0.5,-
Hélder Sá,-,29.5,-,0.5,-
João Pereira,0.3,24.7,0.2,0.5,-
Bruno Ramires,0.3,13,-,0.8,-
Ferro,0.3,43.5,-,4,-
João Pedro,0.1,4.7,-,-,-
Francisco Conceição,0.1,7.3,0.1,0.4,-
Pierre Sagna,0.1,11.5,0.2,1.1,-
André Pereira,0.2,7.1,-,0.1,0.1
Chiquinho,0.3,14.3,0.1,0.6,-
Henrique,0.5,9.3,0.7,0.2,-
Franck-Yves Bambock,0.2,25,-,1.8,-
Denis Poha,0.4,17,0.5,1,-
Tiago Almeida,0.1,19.5,-,0.7,-
Dor Jan,0.3,5.3,0.1,-,-
Ruben Del Campo,0.2,8.2,0.2,-,-
Bozhidar Kraev,0.1,9.1,-,0.1,-
Gergely Bobal,-,2.5,-,-,-
João Victor,-,11.1,0.3,0.4,0.1
Danny Henriques,-,25.6,-,1.8,-
Tim Hall,-,-,-,-,-
Felipe Anderson,0.4,10.8,-,0.2,0.2
Bruno Duarte,0.2,8.6,0.2,0.1,-
Naoufel Khacef,0.4,16,0.4,0.5,-
Ibrahima Camará,0.2,15.9,0.1,1.3,-
Ukra,0.4,12.2,0.1,0.6,-
Matheus Reis,0.1,22.9,0.1,1.5,-
Lucas,0.4,6.8,0.1,0.1,-
Eduardo Quaresma,-,58.5,-,2,-
Cássio Scheid,0.2,26.8,0.1,3.7,-
Welinton Júnior,0.3,8.4,0.3,0.4,0.1
Francisco Teixeira,0.1,6.7,0.3,0.4,-
Jorge Benguché,0.5,7.3,-,0.1,0.1
Dyego Sousa,0.8,13.4,-,0.2,-
Henrique Gomes,0.2,20.4,-,0.8,-
Gonçalo Franco,0.2,15.8,-,0.8,-
Nicolas Janvier,0.1,19.8,0.2,1.9,-
Denis Poha,0.4,39.8,0.2,2.4,-
Tarantini,0.3,21.9,-,1.3,-
Witi,0.7,16.7,0.5,1,-
Licá,0.3,11,0.1,0.2,-
Hernani Infande,-,5,-,-,-
Michael,-,23.5,-,8.5,-
Guga,0.3,17.5,-,0.8,-
Jordan van der Gaag,-,4,-,-,-
Nené,0.3,17.7,0.1,2,-
Hugo Seco,0.4,4.4,-,0.1,-
Dejan Kerkez,-,9,-,0.5,-
Carraça,-,9.5,-,0.5,-
Bilel Aouacheria,0.3,10.1,0.3,0.3,0.1
Djalma,0.6,4.3,-,-,-
Rúben Macedo,0.4,7.6,0.4,0.2,-
Calvin Verdonk,0.1,21.6,0.1,1.4,-
Alaa Abbas,-,5.8,-,-,-
Caio Secco,-,25,-,6,-
Ruben Micael,0.7,26.8,0.1,1.9,-
Afonso Figueiredo,0.5,30,0.1,1.4,-
César Sousa,-,-,-,-,-
Jacob Maddox,-,8.7,0.3,0.3,-
Zé Luís,1,1,-,-,-
Jean Patric,0.3,5.8,0.3,-,-
Cauê,0.1,15.8,-,0.5,-
Souleymane Anne,0.1,3,0.2,0.1,-
Ronan,0.4,7.2,0.1,0.2,-
Ricardo Vaz Tê,0.6,8.1,-,0.2,-
Jefferson Galego,0.1,2.9,-,-,-
Bertrand Yves Baraye,0.4,7.9,-,0.1,0.1
Jonas Carls,1,44,1,2,-
Casagrande,-,4,-,-,-
Derik Lacerda,0.2,3.9,-,-,-
Abbas Ibrahim,0.4,12.1,-,1.1,-
Bruno Moreira,0.2,6.8,-,0.3,-
Gabrielzinho,0.4,6.6,0.1,0.1,-
Shahriar Moghanlou,0.1,6.7,-,0.3,-
Milson,0.4,7,0.2,0.1,-
Jeriel De Santis,0.3,1.8,-,-,-
Miguel Luís,0.4,8.8,0.1,0.6,0.1
Andreas Samaris,-,15.8,-,0.7,-
Boubacar Hanne,-,5.2,-,0.2,-
Dieguinho,0.7,4.7,-,-,-
Anderson Cruz,0.1,8.4,0.1,0.3,-
Andreas Karo,-,24.3,-,1.3,-
Tim Söderström,0.2,17.3,0.2,0.5,-
Paulinho,0.2,14.9,0.3,1.2,-
Matchoi Djaló,-,6.7,-,-,-
Hugo Marques,-,19.8,-,6.8,-
Miullen,0.1,3.6,-,-,-
Guilherme Schettine,0.2,4,-,0.1,-
Cristian Tassano,-,10,-,0.5,-
Marcelinho,-,2,-,-,-
João Neto,0.2,7.2,-,0.3,-
Tomislav Strkalj,0.3,8.2,-,0.2,0.1
Miguel Bandarra,1,10.7,0.7,1.3,-
Ivan Zlobin,-,32,-,6,-
Pedro Marques,-,4,-,1,-
Mamadou Loum,-,1.3,-,-,-
Marcello Trotta,0.5,8.3,-,0.2,-
Edi Semedo,0.2,2.8,0.1,-,-
Marco Matias,0.3,8.9,0.1,0.3,-
Dário Essugo,-,3,-,-,-
Kibe,-,4.5,-,-,-
Romário Baró,0.1,7.1,-,0.3,-
Mabrouk Rouai,0.7,15.7,-,0.7,-
Diogo Teixeira,-,7,-,-,-
Adriano Castanheira,0.2,7.1,0.1,0.1,-
Riccardo Piscitelli,0.1,26.5,-,5.2,-
Júnior Brandão,0.3,4.2,-,0.1,-
Kuku Emmanuel Fidelis,-,3.5,-,0.2,-
Rodrigo Martins Gomes,-,1.3,-,-,-
Noah Jean Holm,0.1,4,-,0.1,-
Fernando Medeiros,0.4,10.1,0.3,0.7,-
André Paulo,-,1,-,1,-
Musa Juwara,0.7,3.3,0.3,0.3,-
Lyle Foster,0.6,6.6,-,0.2,-
François-Xavier Fumu Tamuzo,0.3,5.4,0.3,-,-
Renan,-,4.5,-,-,-
Lucas Silva,0.2,6.5,-,0.7,-
Bruno Moreira,0.4,7.5,-,-,-
Walterson,-,1.5,-,-,-
Richard Rodrigues,-,4.8,0.1,0.1,-
Rubén Oliveira,-,2.7,-,-,-
Martín Calderón,0.1,15.3,-,1.3,-
Tiago Morais,0.3,4.8,-,0.3,-
Rui Fonte,-,5.2,-,-,-
Rúben Fonseca,0.7,5.3,-,-,-
Iván Marcano,-,8,-,-,-
Jota Gonçalves,-,4.5,-,0.5,-
José Marcelo,-,2,-,-,-
Mile Svilar,-,24,-,5,-
Alhassan Wakaso,-,11.6,-,0.3,-
Carlos Vinícius,1,1,1,-,-
Chima Akas,-,7,-,0.5,-
David Tavares,-,8.5,-,0.1,-
Lucas Marques,-,9,-,1.5,-
Robinho,0.3,9.3,-,1.3,-
Alvarinho,0.3,3.8,-,-,-
Ricardo Ferreira,-,1,-,1,-
Sori Mané,-,4.5,-,-,-
Joel Sousa,-,28,-,3,-
Diogo Silva,-,0.3,-,-,-
Gustavo Viera,-,-,-,-,-
Zé Oliveira,-,1,-,-,-
Léo Vieira,-,-,-,-,-
Bracali,-,-,-,-,-
Caju,-,1,-,-,-
Nilton Varela,-,3.8,-,-,-
Alejandro Gómez,0.1,12.6,-,1.4,-
Lee Seung-Woo,-,5,0.3,0.3,-
Dani Morer,0.4,20,0.7,0.7,-
Ahmed Isaiah,-,1,-,-,-
Vladan Danilovic,-,12.1,-,1.4,-
Facundo Ferreyra,-,6,-,-,-
Cristián Borja,-,32,-,1,-
Manuel Namora,-,1.5,-,-,-
Abdul Wahab Ibrahim,-,13,-,1,-
Abou Ouattara,-,-,-,-,-
Edgar Pacheco,-,1.5,-,-,-
Sassá,-,2.9,-,-,-
Toni Martínez,-,24,-,1,-
Leandro Silva,-,-,-,-,-
Tomás Silva,-,10,-,1,-
Guilherme Oliveira,-,9,-,2,-
Diogo Costa,-,20,-,5,-
Vitor Oliveira,-,1,-,-,-
Jorge Pereira,-,22,-,-,-
Charles,-,28,-,5,-
Quentin Beunardeau,-,26,-,3,-
