Name,KeyP,AvgP,Crosses,LongB,ThrB
Matty Blair,0.7,30,0.2,1.1,-
Devante Rodney,0.8,18.4,0.3,0.9,-
Archie Collins,0.8,49.3,0.2,2.5,-
Lawrence Vigouroux,-,34.6,-,7.7,-
Joel Randall,1.2,22.3,0.3,0.7,-
Josh Coulson,0.4,48.3,-,3.8,-
Farrend Rawson,0.1,30.9,-,2.1,-
Jay Spearing,0.6,48.8,0.1,3.8,-
Callum Cooke,1.3,34.6,0.5,2.2,-
Nathan Ralph,0.3,33.3,0.1,0.9,-
Carl Winchester,0.7,44.7,0.1,3.4,-
Calum MacDonald,0.5,44.5,0.4,1.8,-
Glenn Morris,-,31.6,-,7.8,-
George Francomb,0.7,38.9,0.4,2.3,-
Nathaniel Knight-Percival,0.1,18.7,-,1.4,-
Kevin Lokko,-,24,-,2,-
Sam Lavelle,0.1,23.9,-,1.8,-
Neal Eardley,1.4,36.9,1.2,3.5,-
Alfie McCalmont,0.9,35.6,0.1,3.3,0.1
Josh March,0.7,8.4,0.2,0.1,-
Declan John,1,42.1,0.6,1.7,-
Liam Feeney,2.3,35.2,3,2.4,-
Josh Doherty,0.8,29,0.6,2.6,-
Jack Sparkes,1,24.3,1.1,1.7,-
Jack Armer,0.8,26.5,0.7,2.2,-
Josh Kay,1.2,20.7,0.7,1.6,-
Bobby Thomas,0.5,29,0.1,2.5,-
Zak Jules,0.4,34.1,0.2,1.5,-
Kieran Lee,1.2,43.4,0.3,1.7,0.1
Daniel Kemp,1.3,24.9,1,1.3,-
James Wilson,0.8,13.4,0.1,0.5,-
Daniel Happe,0.2,55.4,-,4.9,-
Nick Anderton,0.7,24.5,0.2,1.7,-
Ryan Fallowfield,0.9,41.5,0.7,2.6,0.1
Liam Shephard,0.8,37.4,0.7,2.8,-
Nathan Ferguson,0.5,32.4,0.3,2.3,-
Tom Dallison-Lisbon,0.2,26.3,-,1,-
Joss Labadie,0.4,26.5,-,1.1,0.2
Calvin Miller,1.1,13.1,0.8,0.7,-
Gime Toure,0.9,12.4,0.2,0.3,-
Luke Hendrie,0.6,40.3,0.4,3.2,-
Jack Iredale,0.6,25,0.6,1.8,-
Robbie Gotts,1,23.8,0.6,1,-
Jordan Bowery,1.1,24.4,-,0.3,-
Alfie May,0.7,16.3,0.1,0.7,-
Alex Hartridge,0.2,33.7,-,3.6,-
Oscar Threlkeld,0.6,37.8,0.1,3,-
Odin Bailey,1.1,18.8,0.7,0.9,0.1
Darron Gibson,-,31,-,3.6,-
Jobi McAnuff,1,28.3,1,1.3,0.1
Levi Sutton,0.8,25.9,0.1,0.9,-
Jake Eastwood,-,26,-,9,-
Danny Rowe,0.6,14.1,0.1,0.4,-
Luke Hannant,1.2,30.1,0.9,2.3,-
Max Melbourne,0.8,30,0.4,1.1,-
Toumani Diagouraga,0.6,24.8,-,1.4,-
Tom King,0.1,30.1,-,5.6,-
Jack Muldoon,1.2,18.7,0.2,1,0.1
Ryan Haynes,1.2,25.3,1.4,1.4,-
Paul Lewis,0.4,21.6,0.1,0.4,-
Alfie Beestin,0.7,28,0.1,1.8,0.1
Harry Seaden,-,13,-,4,-
James Pardington,-,14.5,-,2,-
Adam Thompson,-,44.3,-,1.7,-
Ian Lawlor,-,30,-,6.2,-
Adam May,0.4,33.7,0.1,2.7,-
Jordan Clarke,0.2,34.9,0.3,2.5,-
Nicky Adams,1.7,35,1.6,3,-
Nathan Delfouneso,0.6,17,0.2,0.8,-
Manny Oyeleke,0.6,26.7,0.1,1.2,0.1
Jordan Moore-Taylor,0.5,42.1,-,4.1,-
William Hondermarck,2,17,-,0.3,-
Sido Jombati,0.4,35.8,0.1,2.8,-
