Name,KeyP,AvgP,Crosses,LongB,ThrB
Bartosz Bialkowski,-,20.6,-,5.8,-
Ryan Giles,0.9,24.3,1.2,1.3,-
Josh Windass,0.7,19.1,0.3,0.8,-
Jordan Archer,-,29.8,-,6,-
Jordan Thompson,0.9,23.8,1.2,1.3,-
Domingos Quina,0.7,22.8,0.4,0.8,-
Jason Knight,0.6,32.3,0.3,0.9,-
Thomas Kaminski,-,36.3,-,6.9,-
Taylor Harwood-Bellis,0.2,46.2,-,2.9,-
Lewis Travis,0.4,29.5,0.2,0.8,-
Nathan Wood,0.3,26.8,-,3.3,-
Jordan Clark,0.5,22.2,0.4,0.9,-
Osaze Urhoghide,0.1,25.9,-,0.8,-
Brice Samba,0.1,29.2,-,6.9,-
Adrian Mariappa,0.1,27,0.1,1.3,-
James Garner,0.7,26.2,1,1.1,0.1
Ryan Woods,0.7,43,0.1,4.3,-
Dan Gosling,0.2,18.4,0.1,0.5,-
Moses Odubajo,0.2,22.6,0.3,1.1,-
Adebayo Akinfenwa,0.7,11.4,-,0.1,-
Tyler Walker,0.2,8.7,-,-,-
Luke Amos,0.8,24.8,0.2,1,-
Nicholas Ioannou,1.6,40.6,1,1,-
Ben Pearson,0.2,38.6,0.1,1.9,-
Jack Burroughs,0.5,21.5,-,-,-
Romoney Crichlow,-,32.5,-,1.5,-
Richard Keogh,0.2,54.5,-,2,-
Duane Holmes,0.9,21.7,0.5,0.8,-
Angus MacDonald,0.2,22.1,0.1,2.3,-
James Bree,1.1,25.5,1.2,0.5,-
Matty James,0.6,26.7,0.6,1.1,-
Duncan Watmore,0.6,9.9,-,-,-
Conor Chaplin,1.2,21.1,0.3,0.4,0.1
Shandon Baptiste,2,6,-,-,-
Freddie Woodman,-,28,-,6.6,-
Fankaty Dabo,0.4,28.5,0.4,1.6,-
Matt Godden,0.6,11,-,0.1,-
Rafael Cabral,-,31.6,-,6.1,-
Jack Colback,0.4,30.8,0.1,1.6,-
Juninho Bacuna,0.9,28.7,0.5,1.5,0.1
Simon Sluga,-,28.1,-,7.2,-
Marco Stiepermann,1,22.9,0.1,0.8,-
Dan Potts,0.1,27.5,-,1.2,-
Neil Etheridge,0.1,26.9,-,8,-
Rarmani Edmonds-Green,-,34.5,-,3,-
Scott Sinclair,0.4,16.1,0.1,0.4,-
Joe Allen,0.7,37.5,0.2,1.1,0.1
Josh Martin,0.7,17.9,-,0.3,0.2
Jay Dasilva,0.5,28.7,0.4,1.1,-
Todd Kane,0.7,32.8,0.7,1.5,-
Hakeeb Adelakun,-,21,1,0.5,-
Harry Cornick,0.8,12.8,0.6,0.4,-
Joost van Aken,0.1,31,-,2.2,-
Charlie Goode,-,34.9,-,2.3,-
Jordan Obita,0.6,16.2,1,1.4,-
Clarke Oduor,0.2,19.7,0.3,0.7,-
Martin Cranie,0.2,37.2,0.2,1.7,-
Max O'Leary,-,36.7,-,8.3,-
Toby Peter Sibbick,-,16.9,-,1.3,-
Luke Berry,0.9,21.3,1.1,1.1,-
Ben Pearson,0.7,43.4,0.1,2.9,-
Pelly-Ruddock Mpanzu,0.7,28.7,0.2,1.7,-
Jack Hunt,0.6,29,0.6,2.8,-
Marvin Johnson,0.8,14.9,0.6,0.7,-
Loïc Mbe Soh,0.4,34,-,2.3,0.1
Bruno Martins Indi,-,49.5,-,3,-
Jack Stacey,0.6,25.3,0.4,1,-
Kamil Jozwiak,0.6,19.2,0.3,0.3,-
Jacob Davenport,0.5,20.7,0.1,1.1,-
Antoine Semenyo,0.5,13.3,0.2,0.2,-
Daniel Bentley,-,30.8,-,8.5,-
Ryan Allsop,0.2,35.2,-,12,-
Romal Palmer,0.3,14.9,0.1,0.4,-
Philip Zinckernagel,1,18.3,0.5,0.3,0.1
Tom Barkhuizen,0.6,18.7,0.3,0.7,-
Adam Davies,0.1,27.6,-,6.4,-
Ádám Nagy,0.3,27.5,0.2,0.9,-
Tom Dele-Bashiru,-,11,-,0.5,-
Tyreeq Bakinson,0.3,29.7,-,1.4,-
Andre Wisdom,0.1,41.7,-,2.8,-
Josh Dacres-Cogley,0.2,27.6,0.4,2,-
Andrew Omobamidele,-,53.8,-,2,-
Emiliano Marcondes,0.7,17.9,0.2,0.8,-
Richard Stearman,-,42.5,-,1.7,-
Dominic Gape,-,18.4,0.1,1.1,-
Declan Rudd,-,31.7,-,8.2,-
Ryan Giles,0.6,10.3,1.5,0.9,-
