Name,KeyP,AvgP,Crosses,LongB,ThrB
Sergi Enrich,0.6,16.2,0.1,0.6,-
Daniel Cárdenas,-,27.6,-,5.5,-
Jorge Pulido,0.2,48.5,0.1,2.8,-
Kike Barja,0.5,12.9,0.4,0.5,-
Raúl Albiol,0.1,58.6,0.1,4,-
Pablo Hervías,1.1,19.4,1.1,0.7,-
Igor Zubeldia,0.2,50,0.1,2.6,-
Josema,0.2,30.2,0.2,1.9,-
Sergio Asenjo,-,31,-,5.6,-
Jorge Miramón,0.6,30.7,0.6,1.6,-
Aihen Muñoz,0.4,32.3,0.8,1.5,-
Óscar Duarte,0.1,42.4,-,3.5,-
Samuel Chukwueze,1,17.8,0.2,0.3,0.1
Enis Bardhi,0.8,30.8,0.7,2,-
Augusto Solari,0.6,11.1,0.5,0.6,-
Josan,0.5,18.9,0.6,0.6,-
Mickaël Malsa,0.3,39.4,-,2.5,-
Álvaro Tejero,1.5,33,1.5,3,-
Juan Cala,0.1,26.7,-,3.3,-
Rúben Vezo,0.1,42,-,3.7,-
Karim Rekik,0.3,39.1,0.1,0.7,-
Jorge Molina,0.6,14.1,-,0.4,0.1
Óliver Torres,0.8,29.3,0.3,3.5,-
Carles Aleñá,1.1,23.6,0.8,1.3,-
Toni Villa,0.6,16.2,0.3,0.8,-
Iván Villar,-,28.6,-,5.7,-
Luis Suárez,0.6,10.2,-,0.4,-
Enes Ünal,0.5,12.1,-,0.2,-
Paco Alcácer,0.6,9.7,-,0.3,-
Samuel Umtiti,0.1,47.3,-,1.3,-
Unai López,0.7,37.7,0.3,3.9,-
Aitor Ruibal,0.9,18.8,0.1,0.5,-
Raúl Guti,0.2,35.5,0.1,2.1,-
Luis Rioja,0.7,14.6,0.6,0.5,-
Jaime Seoane,0.4,29.1,0.2,2.3,-
Junior Firpo,0.7,29,0.1,-,-
Fabián Orellana,1.1,22.5,0.6,1.4,-
Rubén Alcaraz,0.3,37,0.1,3.9,-
Pervis Estupiñán,0.7,20.1,0.8,0.8,-
Jens Jonsson,0.3,19.7,-,1,-
Antonio Barragán,0.4,41.1,0.4,2.6,-
Yeremi Pino,0.4,12.3,-,0.3,0.1
Cristian Tello,0.7,16.2,0.2,0.5,-
Pablo Ínsua,0.1,37.2,-,2.8,-
Pape Diop,0.4,26.2,0.1,2.2,-
Munir El Haddadi,0.5,13.5,0.2,0.5,-
Dani García,0.3,38,-,3.2,-
Rafa Soares,0.8,24.9,0.9,2.5,-
Edgar Méndez,0.5,11.7,0.4,0.5,-
Maxime Gonalons,0.3,28.3,-,2.4,-
Germán Sánchez,-,28.5,-,2.4,-
Antonio Puertas,0.5,15.7,0.2,0.4,-
Diego Costa,0.6,10.3,0.1,0.3,-
Álex Remiro,-,28.5,-,6.9,-
Ángel Montoro,1,27.9,0.9,3.4,-
Ander Guevara,0.5,45.6,-,2.7,-
Facundo Roncaglia,0.3,25.4,0.2,2.5,-
Damián Suárez,0.6,30.1,0.6,2.7,-
Alberto Moreno,-,16.4,-,0.6,-
Pere Milla,0.4,18,0.1,0.5,0.1
Marcos de Sousa,0.3,8.1,-,0.2,-
Bruno González,-,29.5,-,2.4,-
Fali,0.2,20.7,0.1,2.4,-
David Soria,-,30,-,10.8,-
Manu Sánchez,0.9,25.1,0.6,0.9,-
Mouctar Diakhaby,-,38,-,2.6,-
Vicente Esquerdo,0.5,23.5,0.3,1.3,-
Quini,0.2,18.8,0.3,0.9,-
Portu,0.7,13.6,0.3,0.1,-
Domingos Quina,0.6,11.1,-,0.5,-
Rodrigo Ely,0.4,20.3,-,2.1,-
Tomás Pina,0.2,27.5,-,0.9,-
Diego Lainez,0.6,15.8,0.3,0.3,-
Marvin Park,0.5,17.5,-,-,-
Ivan Saponjic,-,9,-,-,-
Joseph Aidoo,0.1,24.9,-,1.3,-
Néstor Araújo,0.1,48,-,2.9,-
Pedro Mosquera,0.5,44.6,0.1,3.4,-
Fernando Pacheco,-,25.4,-,8.6,-
Sidnei,-,47.4,0.1,2.7,-
Jon Moncayola,0.5,31.4,0.2,3,-
Jon Morcillo,0.8,12.8,1,0.4,-
Andrés Guardado,0.3,32.3,-,2.5,-
Rubén Yáñez,-,23.8,-,8.6,-
Luuk de Jong,0.3,9.9,-,0.1,-
Isco,0.8,27.4,0.2,1.2,-
Jeremías Ledesma,-,29.5,-,10.9,-
Jon Guridi,0.2,21,0.1,0.5,-
Allan-Roméo Nyom,0.5,20.9,0.7,1.3,-
Sergio Postigo,0.1,39.5,0.1,3.2,-
Rui Silva,-,31.4,-,9.2,-
Roberto Torres,0.5,19,0.8,1.7,-
Óscar De Marcos,0.5,23.8,0.2,1,-
Mikel Vesga,0.4,30.1,-,1.9,-
Carlos Bacca,0.2,6.9,-,0.2,-
Rodrigo Battaglia,0.1,32.3,-,1.5,-
Diego González,0.1,39.1,-,2.6,-
Dani Calvo,-,33.5,-,2,-
Pedro López,0.3,22.1,0.5,0.9,-
Borja García,1,25.9,0.1,1,-
Rober Pier,0.2,46.3,-,4.5,-
Marcos Mauro,0.1,20.4,-,1.7,-
Pepe Sanchez,0.7,22,-,1,-
Mikel Rico,0.6,26.7,0.3,1.7,-
Anthony Lozano,0.4,8.5,0.1,0.1,-
Marko Dmitrovic,0.1,27.7,-,8.9,-
Mikel Balenziaga,0.3,31.9,0.4,1.2,-
Denis Cheryshev,0.8,13,0.4,0.5,-
Aitor Fernández,-,26.7,-,4.4,-
Eugeni Valderrama,0.7,25.3,0.7,0.7,-
Kevin Vázquez,-,33.6,0.1,1.3,-
Denis Vavro,0.1,28.7,-,1.9,-
Ander Barrenetxea,0.5,11.9,0.2,0.4,-
Joseba Zaldua,0.6,23.5,0.8,0.7,-
Helibelton Palacios,0.3,21.6,0.5,1,-
Pedro Bigas,-,29.8,-,4.4,-
Nacho,1,34.5,0.6,2.1,-
Shon Weissman,0.6,10.3,-,0.1,0.1
Víctor Laguardia,0.1,33.6,-,4.3,-
Unai García,0.2,25.2,-,3.2,-
Oihan Sancet,0.5,14.4,-,0.4,-
Oier Sanjurjo,0.5,25.2,0.2,1.2,0.1
Cote,0.6,36.6,1.1,3.2,-
Nemanja Radoja,0.1,32.3,-,1.7,-
Fernando Niño,0.2,7.5,0.1,0.2,-
Jordi Masip,-,28.1,-,7.3,-
Jorge Pombo,0.6,13.8,0.2,1,-
Miralem Pjanic,0.6,39.3,0.1,0.8,-
Juan Cruz,0.4,23.4,0.3,1,-
Domingos Duarte,0.2,32.9,-,2.8,-
Johan Mojica,0.6,31.9,0.6,2.4,-
Carlos Neva,0.3,17,0.3,0.8,-
Kike Pérez,0.5,21.5,-,1.3,-
Coke,0.3,22.9,0.1,1.8,-
Trincão,0.3,13.3,-,0.1,-
Roberto López,0.4,12.5,0.4,0.4,-
Joel Robles,0.1,26.4,-,5.8,-
Dimitri Foulquier,0.3,23.4,0.2,1.7,-
Nikola Vukcevic,0.3,24.5,-,0.9,0.1
Paulo Gazzaniga,0.1,27.4,-,7.8,-
Abdoulaye Diaby,1,8,-,-,-
Emre Mor,0.3,9.9,0.1,0.4,-
Jon Pacheco Dozagarat,-,50,-,-,-
Juan Pérez,-,26.3,-,7.3,-
Víctor Díaz,0.5,16.6,0.5,1.1,-
Pedro León,0.8,10.3,1.2,0.4,-
Martín Aguirregabiria,0.5,21.1,0.5,1.2,-
Xabier Etxeita,0.1,28.8,-,2.5,-
Óscar Rodríguez,0.6,14.8,0.4,0.7,-
Iván Marcone,0.3,45.8,-,3.5,-
Martín Montoya,0.8,26.2,0.2,1.2,-
Darko Brasanac,0.3,18.5,0.1,0.1,-
