Name,KeyP,AvgP,Crosses,LongB,ThrB
Frederic Frans,0.1,27.6,-,1.5,-
Cameron Humphreys-Grant,0.2,47.5,0.1,4.3,-
Loris Brogno,0.6,12.7,0.4,0.4,-
Isaac Nuhu,1.3,13.4,0.1,0.9,-
Yan Vorogovskiy,0.8,22.6,0.3,1,-
Nicolas Penneteau,0.1,36.9,-,12.3,-
Sheldon Michael Louis Bateau,0.1,39.5,-,1.8,-
Théo Defourny,-,25.2,-,5.9,-
Lucas Lissens,-,51.5,-,1.5,-
Mark McKenzie,0.2,38.1,-,2.5,-
Timothy Derijck,0.2,40.2,-,3.2,-
Jules van Cleemput,1,16,-,1,-
Stefano Denswil,0.2,31.8,0.3,1.1,0.1
Mathieu De Smet,0.9,14.4,0.8,1.6,-
Bruno Godeau,0.1,36.1,-,2,-
Amara Baby,0.5,15,0.1,0.3,-
Denis Prychynenko,0.1,25.1,0.1,2.4,-
Alessandro Albanese,0.8,19,0.2,1.6,-
Ari Freyr Skulason,0.8,23.9,0.3,2,0.1
Bruno Xadas,1.2,18.6,1.3,0.8,-
Robbe Decostere,0.4,33.1,0.4,1.9,-
Koji Miyoshi,1,18.6,0.4,0.5,0.1
Aurélio Buta,0.8,24.9,0.7,0.8,-
Felix Bastians,0.7,30.4,0.4,1.2,-
Robbie D'Haese,0.5,19.1,0.4,0.5,-
Pierre Bourdin,0.4,21.5,0.2,0.8,-
Guillaume Hubert,0.1,24.6,-,6.3,-
Tim Kleindienst,0.5,14.8,-,0.2,0.1
Charles Vanhoutte,0.6,29.4,0.3,2.1,0.1
Anthony Musaba,0.6,18,0.2,0.3,-
Ignace van der Brempt,0.3,17.7,0.1,0.9,-
Igor Plastun,0.2,43.3,-,3.6,-
Frederik Jakel,0.2,40.4,-,1.7,-
Pape Habib Gueye,0.6,14.5,0.1,0.2,-
Mory Konate,0.3,24.8,-,1.5,-
Jordi Amat,0.2,40.9,-,3.7,-
William Balikwisha,1,9,0.5,-,-
Andrija Vukcevic,0.4,21.4,0.4,1,-
Santiago Colombatto,1.5,38.7,0.8,2.5,0.1
Facundo Colidio,0.8,14.4,0.2,0.6,-
Marko Bakic,0.7,30,0.2,2.5,-
Adam Jakubech,-,29.4,-,9.3,-
Johanna Omolo,0.3,28.4,-,1.4,-
Bruny Nsimba,0.4,7,0.2,-,0.2
Gaetan Hendrickx,0.3,30.5,0.8,2,-
Éder Balanta,0.2,25.4,-,1.8,-
Katuku Tshimanga,0.1,17.8,-,1.5,0.1
Brendan Daniel Hines-Ike,0.3,37.8,-,3.4,-
David Bates,0.1,42.9,0.1,2.9,-
Aleksandar Boljevic,0.3,12.9,0.6,-,-
Ferdy Druijf,0.7,11.6,-,0.5,-
Benoit Poulain,0.1,39.1,-,2.8,0.1
Mohamed Réda Halaimia,0.6,18.9,0.3,0.9,-
Oleksandr Filippov,0.9,14.1,0.5,0.5,0.1
Anderson Niangbo,0.7,18.7,0.1,0.4,-
Duje Cop,1.3,13.1,1,0.5,-
Marko Kvasina,0.4,10.6,-,0.1,-
Brecht Dejaegere,1,8,-,-,-
Jacob Bruun Larsen,0.6,15.3,-,0.6,-
Nana Ampomah,0.6,9.6,0.2,0.5,-
Teddy Chevalier,1.1,21.9,0.3,0.9,0.1
Dries Wuytens,0.1,42.9,-,3.4,-
Bastien Toma,0.3,30.1,-,1,0.2
Nill De Pauw,0.6,21,0.7,0.7,-
Jordan Botaka,0.6,25.8,0.3,0.4,-
Nemanja Antonov,1,34.5,0.5,4,-
Abdulia Sanyang,0.7,10.4,0.2,0.5,-
